rank	username	minecraft:picked_up/minecraft:black_banner
1	beeperbeeper5	405
2	kekhon	339
3	Mahoose	314
4	lordpipe	158
5	Eraxa	153
6	burbankbuilder28	149
7	joethahobo	137
8	rarrq	135
9	Legendosh	117
10	Werbe	108
11	fluddd	102
12	Maenara	90
13	Historical_Sand	73
14	xolstoi	65
15	Akoot_	62
16	Hyp3rion_	61
17	TheShyPig	56
18	pintsizedrogue	54
19	EcksD	53
20	binman420	51
21	eitanzaki	47
21	TheSecondLord	47
23	Lez_	46
24	PigDab	44
24	sp00ky_ghost977	44
24	ConnorDanky_	44
27	Soplight	42
28	Blackberry1310	40
29	Smoke____	37
30	Hermanni__	36
31	luseis	33
32	500am	32
33	_Dean_123	31
34	ShedJr_	30
34	KingMatthew506	30
36	BobDeBouwer1337	29
36	Eczbek	29
38	Sral7	27
39	MattieHD	26
39	FreakGenius	26
41	Onennon	25
41	SaintJosie	25
41	Blaiku	25
41	Enderxz3	25
45	DarlaMeow	24
45	HellsSponge	24
45	NameGenerat0r	24
45	Winston_Ingram	24
49	Fildyr	23
50	I_Am_Mushkin	22
50	Cryptacity	22
50	Snowflowe	22
50	Kynigito	22
54	Blu3beast	21
55	Fullut	20
55	Tyrannosplart	20
57	lorpus	17
57	Di_infiri	17
57	Arceus1975	17
57	LAVA129	17
57	Spacewardharpy7	17
62	6king6colt6	16
62	YungMaki	16
64	EMC_	15
64	noam464	15
66	KarlKaek	14
66	MrExplorer	14
66	ProfessorBee	14
66	SuperPooch06	14
70	jnp_gaming	13
71	teslawolf38	12
71	Inbefour	12
73	LexMakesHistory	11
73	TheTommyGun63	11
73	FelixPSY375	11
76	CliffEmAll	10
76	mwrty	10
76	2Stout	10
76	AlexxO_o	10
76	_Karmaa	10
81	titanlax	9
81	Mattesco	9
81	Deathkob	9
81	Optiprimus	9
81	tsitrawhy	9
86	T045RTY	8
86	xxPipperDipperxx	8
86	ApophisNova	8
86	HyperCave	8
86	BlankityMcBlank	8
86	Steelynan	8
86	MyNamaSheff	8
93	PazinGaming	7
93	thescout7	7
93	Stiar	7
93	gabriels543	7
97	SquadMonster	6
97	RobotMinion101	6
97	Xclax101	6
97	SingedBread	6
97	xzvu	6
97	thedhub	6
103	Merv__	5
103	ImpavidArcher	5
103	Alteriity	5
103	SteveCraftBlocks	5
103	MakeHistory157	5
103	layabout100	5
103	SammiWolfGirl	5
103	cichy096	5
111	Frozil20	4
111	hm947	4
111	LionelHutzESQ	4
111	Reamdin	4
111	fade_emerge78823	4
111	Rebytre	4
111	Skylord_Luke	4
111	StinkyDiplomat	4
111	Kowcio_	4
111	__tomato	4
111	Njensen7	4
111	Ezekson	4
123	Krasnal1337	3
123	Mr_Byzantine	3
123	TildaAndrea	3
123	CompAir	3
123	SaucyDark	3
123	Incinere	3
123	Kamflame10	3
123	r123moore	3
123	TheDankPlatypus	3
123	Winklepicker279	3
123	CarltheCuck	3
123	Rocco_Lane	3
123	epiksk8erduck	3
123	wirelesstree	3
123	NomadicRobin_	3
123	MyNameIsDakar	3
123	JoCoLi	3
123	Leithz6	3
123	WyngGoy	3
123	Kyrum2169	3
123	Quotary	3
123	UrbanPlanningEx	3
145	Groovy_MoonBird	2
145	Natty	2
145	Huwulling	2
145	m_be9	2
145	TheDiamondCG	2
145	groggregg42	2
145	NotKaden_	2
145	Jackattack53	2
145	thewindmillman	2
145	KeruNatsema	2
145	IamCL4SSY	2
145	_Bguette_	2
145	Groundler	2
145	Racengan	2
145	MovingFish7	2
145	geekbird	2
145	SSytex_X	2
145	lcvezra	2
145	Nekomin0	2
145	Sheldor097	2
145	jcool7	2
145	Kubeusz2010	2
145	bladeefan2009	2
168	heysushii	1
168	JohnnyFyes	1
168	CloroxBleach385	1
168	soundad	1
168	gren_ben	1
168	_Razaria	1
168	tsohomie	1
168	stevewithclout	1
168	Bowba123	1
168	Ganjier	1
168	TheFlfthHorseman	1
168	Euclidoris	1
168	sipl2	1
168	Mercadies	1
168	jushykins	1
168	Ardennes	1
168	catandmoose	1
168	DarkDescent2392	1
168	Smashic	1
168	set67	1
168	himak1	1
168	LeauVox4921	1
168	arcanemagic	1
168	Mobstr	1
168	Lil_Breadboy	1
168	Jonafrog99	1
168	Zythose	1
168	andy_rex	1
168	_Boipl_	1
168	CrateOfBoxes	1
168	pappaberg	1
168	seramalen	1
168	FishyBoy3811	1
168	thgrocks	1
168	Drewen24	1
168	Rasmanden	1
168	audiocracked	1
168	CyberDlck	1
168	Fuhrer_Teemo	1
168	rotten_mango	1
168	lillips	1
168	Fuad_R	1
168	jacobsoy	1
168	Lekol	1
168	claivin	1
168	Quaintster	1
168	GoofySilly	1
168	SkateboardR6	1
168	Dusk_95	1
168	moolerbooler	1
168	Seashimi	1
168	teakings	1
168	Conrad139	1
168	Razzgriz	1
168	_JrTurtle_	1
168	UCP_TheKingK	1
168	Luigipunch989	1
168	SpacesickPrism	1
168	CalebDHawk	1
168	Mr_Teddiursa_K	1
168	BreadBacon	1
168	Nicserso	1
168	vandmanden	1
168	TechnoNinja64	1
168	PlasticOtari	1
168	calamariclam_I	1
168	DkansK	1
