rank	username	minecraft:picked_up/minecraft:goat_horn
1	thewindmillman	1173
2	Iamthejo	64
3	Mahoose	28
4	Kowcio_	25
5	luseis	24
6	Alteriity	22
7	corvidpartyfor6	18
8	pintsizedrogue	17
9	Luminad3	12
10	binman420	11
11	ImpavidArcher	10
11	rarrq	10
11	CuzIm2Kev	10
14	Hyp3rion_	9
14	FishisTTV	9
16	DinoDoctor_	8
16	MrKrabOnCoke	8
18	olliebollie48	7
18	mihimihimihi	7
18	iSammael	7
21	joethahobo	5
21	Jackattack53	5
21	Rebytre	5
21	iElijah	5
25	Lez_	4
25	Smashic	4
25	AlexxO_o	4
25	Soplight	4
25	PlasticOtari	4
30	FazeObama69	3
30	SyntheticSurgeon	3
30	Blackberry1310	3
30	Crowman1	3
30	lillips	3
30	RoofTyler	3
30	Fuad_R	3
30	Jahbouris	3
30	ItsDeltaMC	3
30	Eczbek	3
30	CattSoup	3
41	soundad	2
41	q_wq	2
41	Huwulling	2
41	_themselves	2
41	rebichuu	2
41	TheDankPlatypus	2
41	UCP_TheKingK	2
41	RealGroot	2
41	Smoke____	2
50	Merv__	1
50	Frozil20	1
50	Wooptey	1
50	beeperbeeper5	1
50	TheSecondLord	1
50	MattieHD	1
50	KGTV	1
50	Marbz_	1
50	TheWildMateo	1
50	Mandroch	1
50	Elastiq	1
50	Akoot_	1
50	weabis	1
50	wwwwinnebagoooo	1
50	KujikawaRisechi	1
50	non089	1
50	ZoomieZoomie	1
50	gooseboi_69	1
50	Enderxz3	1
50	Legendosh	1
