rank	username	minecraft:picked_up/minecraft:jungle_pressure_plate
1	_TCARREIRA_	105
2	Njensen7	92
3	pintsizedrogue	19
4	Prodiginus	17
4	kinas45y5	17
6	rarrq	16
6	Freak_Genius	16
8	jnp_gaming	15
9	KingMatthew506	12
10	SaucyDark	9
11	Mahoose	7
12	loveseeker	4
13	mwrty	3
13	Nicky19	3
13	PlasticOtari	3
16	Merv__	2
16	noam464	2
16	TheWildMateo	2
16	Werbe	2
16	Airem_Core	2
16	stahouo	2
22	Mowelan	1
22	AuroraValkyrie	1
22	eitanzaki	1
22	ShedJr_	1
22	Swexti	1
22	Fullut	1
22	eviltunix	1
22	Hyp3rion_	1
22	TheShyPig	1
22	Maenara	1
22	Jiminie	1
22	claivin	1
22	Blaiku	1
22	Warlord324	1
22	SvenskaHugo	1
22	oxfordschool	1
