rank	username	minecraft:picked_up/minecraft:light_gray_concrete_powder
1	Hyp3rion_	150828
2	Jackattack53	33645
3	noam464	14871
4	hanaryheatwave	11314
5	Groundler	8275
6	Di_infiri	6813
7	lillips	2744
8	thescout7	1953
9	thewindmillman	1910
10	joethahobo	1725
11	Blaiku	1445
12	Blu3beast	1173
13	Mahoose	1094
14	Snowflowe	1029
15	Kakolbus	960
16	fffMike	918
17	SkateboardR6	908
18	Inchef	896
19	ConnorDanky_	747
20	Blackberry1310	661
21	__tomato	603
22	mihimihimihi	538
23	Ailmast	512
24	iSammael	497
25	The_slideV3	462
26	Akoot_	461
27	MousePlays	427
28	TeenMomTom	415
29	kekhon	408
30	Zoeyfortnite	406
31	NatalieTW	384
32	PhantomsGhost_	381
33	YungMaki	334
34	Nicserso	261
35	Swexti	237
36	TechnoNinja64	205
37	Ssor69	203
38	BumbleBeever	192
39	AdmiralSmoke	167
40	Truckoss	163
41	Cryptacity	160
42	ImpavidArcher	156
43	Onennon	132
44	_Bguette_	128
45	Enderxz3	117
46	eitanzaki	86
47	Spenduh	84
48	EcksD	80
49	HellsSponge	79
50	pintsizedrogue	70
51	Lez_	68
52	CueMix	65
52	NameGenerat0r	65
52	KingMatthew506	65
55	Uzbeki_John	64
55	UCP_TheKingK	64
57	Skylord_Luke	62
58	Cowison	61
58	F_Uhre	61
60	PlasticOtari	56
61	shadowthemonkey	53
62	jcool7	52
63	lorpus	45
64	non089	44
65	Mattesco	42
66	NotMeanttoChange	36
67	oscminus	35
67	claivin	35
69	lordpipe	30
70	beeperbeeper5	28
70	thebaddruid	28
72	Historical_Sand	27
73	Rumpletaezer	23
74	Manaateee	22
75	Winston_Ingram	21
76	stellarjay	20
77	CalebDHawk	19
78	Merv__	18
78	Ezekson	18
80	r123moore	16
80	Tyrannosplart	16
82	Eraxa	15
83	LordSpeed37	14
84	500am	13
85	m_be9	12
85	Krowuss	12
85	_Mythic____	12
85	Soplight	12
85	Sral7	12
90	oreee	11
91	jnp_gaming	10
92	6king6colt6	9
92	PortlyPete69	9
94	luseis	8
95	bigstankyy	7
96	RoskobiOne	6
96	Quaintster	6
96	The_SlideV5	6
99	I_Am_Mushkin	5
99	Jackster03	5
99	ROY4LE	5
99	EveryonesUncle	5
99	alderban107	5
104	_Huge_Male_	4
104	Incinere	4
104	Fullut	4
104	surfinggiraffejp	4
104	drunkeeez	4
104	AJplaysMC_	4
104	RobotMinion101	4
104	Elastiq	4
104	the_russell1611	4
104	C0oOK13M0N5T3R	4
104	BlankityMcBlank	4
115	PazinGaming	3
115	Rox_The_Box	3
115	TheSecondLord	3
115	Hiryu27	3
115	IamCL4SSY	3
115	Biites	3
121	teslawolf38	2
121	Frozil20	2
121	Comma__	2
121	xxPipperDipperxx	2
121	gcaisawesome	2
121	Winklepicker279	2
121	Jiminbub	2
121	Shogunite	2
121	cog	2
121	Yahir091	2
121	Sheldor097	2
121	Powowowow	2
121	skrongus	2
134	CoffeeNoir	1
134	heckface	1
134	redikul	1
134	Covalents	1
134	yheece	1
134	Chromary	1
134	ApophisNova	1
134	Werbe	1
134	TheShyPig	1
134	Rasmanden	1
134	Soap_Bender	1
134	DolphinLaugh	1
134	Spacewardharpy7	1
134	Segotep999	1
134	xzvu	1
134	Glumb0	1
134	Dreamdbr14	1
134	Njensen7	1
134	MyNamaSheff	1
134	Jimb0nat0r	1
134	xolstoi	1
134	_Dri_	1
134	remmisrat	1
134	h2p_emrld	1
