rank	username	minecraft:picked_up/minecraft:honeycomb
1	thewindmillman	141145
2	noam464	62607
3	Hyp3rion_	14066
4	Mr_Byzantine	4504
5	HellsSponge	2801
6	EcksD	2528
7	PhantomsGhost_	2430
8	pintsizedrogue	2342
9	Ryker	2193
10	Kakolbus	1565
11	Yamdalorian	1441
12	SpacesickPrism	1417
13	Fullut	1248
14	EMC_	1218
15	eitanzaki	1063
16	hanaryheatwave	1024
17	00000000-0000-0000-0009-01ff0c3e5e4f	924
18	Mahoose	867
19	TheWickedBird	864
20	Mattesco	800
21	Onennon	780
22	EveryonesUncle	756
23	Lez_	665
24	FreakGenius	664
25	Lord_Jord	660
26	lordpipe	588
27	Jackattack53	573
28	MAns_44	546
29	orxngejuice	540
30	TheSecondLord	522
31	Huwulling	497
32	bl1ss0	495
33	joethahobo	480
34	excelsionprime	459
35	Alteriity	451
36	Di_infiri	441
37	luseis	400
38	12Magner05	382
39	Manaateee	363
40	Kowcio_	349
41	KingMatthew506	345
42	Werbe	342
43	DrowsyOracle	309
44	_witch_craft_	307
45	xxPipperDipperxx	262
46	EngagedGrub41	249
47	RatatJuice	231
48	XxCookiequeenxX	216
49	Krowuss	197
50	fffMike	192
51	MSK__	191
52	beeperbeeper5	189
53	djancak	168
54	Reneedium	153
55	Legendosh	146
56	jnp_gaming	143
57	RoskobiOne	141
57	Awyrlas	141
59	CheifJumbo	140
60	Marbz_	132
61	sp00ky_ghost977	123
62	Rebytre	108
63	groofles	105
64	Jimb0nat0r	103
65	Eczbek	96
66	Blackberry1310	94
67	Covalents	93
68	wx4z	87
69	philandr	84
69	StinkyDiplomat	84
71	ConnorDanky_	82
72	ImpavidArcher	79
73	doublemaki	78
74	MakeHistory157	75
74	PlasticOtari	75
76	Spaghettatron	73
77	TheKingK_	67
77	TwinTowerV2	67
79	Druid95	66
80	lorywithay	64
80	Luminad3	64
80	smogfrogg	64
83	Pofen	63
84	Soplight	62
85	AltnumberF4	61
86	RebelAndroid	60
86	Crowman1	60
88	ShedJr_	59
89	ReSynced	57
90	Enderxz3	55
91	NameGenerat0r	54
92	Steelynan	49
93	AlexxO_o	48
93	Twighst	48
95	masskedman	45
96	Eraxa	44
97	KeruNatsema	42
98	monky_irl	41
99	Synthoum	39
100	Avocadogerms	36
100	Thunder_bird4337	36
102	bloodbiter	33
103	Groovy_MoonBird	32
104	Akoot_	31
105	jacxhadow	30
106	PortlyPete69	28
107	Incinere	27
107	MightyWertu	27
107	Nicserso	27
110	Ezekson	26
111	kekhon	24
111	sarahlynn00	24
111	zToasty69z	24
111	07shiny	24
115	MinttyFressh	21
115	prizm_	21
115	ScootOfBoot	21
115	RadarHz	21
115	WYFYoyo	21
120	k_ce	20
121	Buuck_	19
122	_stets	18
122	Morgf	18
122	yheece	18
125	livingdaydreams	15
125	T045RTY	15
125	AuroraSkies	15
128	Merv__	13
128	nattybears	13
128	es0th	13
131	6king6colt6	12
131	DinoDoctor_	12
131	Prismyst	12
131	Vizzoid	12
131	Ozixar	12
131	Hahaa_0	12
131	Blaiku	12
131	Lord_Doob	12
131	Luigipunch989	12
140	IlkeCookes_	11
141	500am	9
141	Arceus1975	9
141	oscminus	9
141	Penguinllama517	9
141	Blu3beast	9
141	robonya_	9
141	2blox_	9
148	GLLogan2	8
148	lorpus	8
150	SteveCraftBlocks	7
151	Jovaphobic	6
151	teslawolf38	6
151	royal_2	6
151	Saucepeh	6
151	thebaddruid	6
151	TheShyPig	6
151	nagyvad	6
151	SammiWolfGirl	6
151	FishisTTV	6
160	SexcMf	5
161	claivin	4
162	Deu_Stew	3
162	shineh10	3
162	Frozil20	3
162	MrExplorer	3
162	Scathra	3
162	Nach0Bear	3
162	ROY4LE	3
162	Gamergirl420628	3
162	craaaash	3
162	_Duckery	3
162	Boipl	3
162	NNikitas	3
162	Jimi7hits	3
162	NomadicRobin_	3
162	fkGrim	3
162	KlausVonStiglitz	3
162	DarlaMeow	3
162	Fuad_R	3
162	_Mythic____	3
162	Pumpkin_P_Patch	3
162	Sheldor097	3
162	MisfitsMike	3
162	Kiki_Majiki	3
162	TechnoNinja64	3
186	chipklip	2
186	iElijahi	2
186	XboxPanda	2
186	738b4f65-6cbd-4ead-ba31-c14211abfb06	2
186	Samificator	2
186	Spacewardharpy7	2
192	BPTY4618	1
192	natasha_blush	1
192	Dark_Crusader21	1
192	0ost	1
192	Secret_Canary	1
192	Inchef	1
192	corpsecity	1
192	duqboy	1
192	elliebelle107	1
