rank	username	minecraft:picked_up/minecraft:leather_boots
1	noam464	318
2	Kaf1y	183
3	thewindmillman	90
4	kekhon	69
5	Smoke____	67
6	Fullut	60
7	joethahobo	53
8	Mahoose	50
8	Akoot_	50
10	TheShyPig	47
11	TechnoNinja64	45
12	Soplight	43
13	beeperbeeper5	41
14	Blackberry1310	38
15	pintsizedrogue	37
16	Ezekson	36
17	LordSpeed37	35
18	Di_infiri	34
19	censorsheep	33
20	El_Jalapeno	32
21	MyNameIsJobo	31
22	Hyp3rion_	29
22	SingedBread	29
24	Spacewardharpy7	28
25	rarrq	27
26	Freak_Genius	26
27	Werbe	25
27	Xclax101	25
29	fffMike	24
29	Legendosh	24
31	Onennon	22
31	HellsSponge	22
31	Racengan	22
31	Kubeusz2010	22
35	Myszoaz	21
35	Kkanot	21
35	Blaiku	21
35	djancak	21
39	Eraxa	19
40	Frozil12	18
41	eitanzaki	17
41	jacxhadow	17
41	PigDab	17
41	_TCARREIRA_	17
45	Bandito_Roamer	16
45	RebelAndroid	16
45	Rebytre	16
48	_Virify_	15
48	ShedJr_	15
48	whoaluv	15
48	aec9	15
48	lordpipe	15
48	Steelynan	15
48	EcksDofficial	15
55	eviltunix	14
55	Snowflowe	14
55	Maenara	14
55	Jiminie	14
55	fluddd	14
55	WyngGoy	14
61	set67	13
61	Lord_Jord	13
61	EveryonesUncle	13
61	Deathkob	13
61	Kyrum2169	13
61	oxfordschool	13
61	EcksD	13
68	Merv__	12
68	TheSecondLord	12
68	himak1	12
68	SuperPooch06	12
68	ayamefag	12
68	SvenskaHugo	12
68	Kowcio_	12
68	SammiWolfGirl	12
68	cichy096	12
77	EMC_	11
77	Sleek_Storm_721	11
77	m_be9	11
77	Winklepicker279	11
77	selectrix	11
77	NomadicRobin_	11
77	Enderslayerxz3	11
84	KarlKaek	10
84	500am	10
84	Z3braYTIL	10
84	Mewar	10
84	Kakolbus	10
84	ApophisNova	10
84	ooga47	10
84	Fildyr	10
84	MyNamaSheff	10
93	PhantomsGhost_	9
93	SteveCraftBlocks	9
93	thescout7	9
93	gabriels543	9
93	Rumpletaezer	9
93	Zythose	9
93	Bumpy419	9
93	sp00ky_ghost977	9
93	YungMaki	9
102	Froste131	8
102	ExtraDumb	8
102	ssleepless	8
102	T045RTY	8
102	Ardennes	8
102	BilboBaggins23	8
102	Arceus1975	8
102	masskedman	8
102	Lord_Zacler	8
102	MakeHistory157	8
102	jcool7	8
102	Njensen7	8
102	Skippeh	8
102	kinas45y5	8
102	Zoeyfortnite	8
117	Drlzyy	7
117	6king6colt6	7
117	ImpavidArcher	7
117	tuckerdoodle	7
117	mwrty	7
117	platinumzero	7
117	CollinMH06	7
117	Jackattack53	7
117	BronkerBrum	7
117	ebanana	7
117	claivin	7
117	Blu3beast	7
117	pixelviolin	7
117	bloomkieren	7
117	ediballbearings	7
117	JayToe	7
133	MunkaKris	6
133	q_wq	6
133	Jackster03	6
133	H72l9w	6
133	12Magner05	6
133	Kamflame10	6
133	Leyna3	6
133	RodSerlingCringe	6
133	Hisiste	6
133	monky_irl	6
133	tartanboy	6
133	jnp_gaming	6
145	Ryker	5
145	livingdaydreams	5
145	CoffeeNoir	5
145	SpaceGrenadier	5
145	fr0stss	5
145	tramizu	5
145	picardred	5
145	_Nuf	5
145	slkiey	5
145	Awyrlas	5
145	ROY4LE	5
145	r123moore	5
145	loveseeker	5
145	Donutt	5
145	fred870d	5
145	_naturell	5
145	thgrocks	5
145	wezzzi	5
145	KnightmareD	5
145	TheSeismicDuck	5
145	chipklip	5
145	1442	5
145	NameGenerat0r	5
145	DASH_X7	5
145	FlashMigma	5
145	Segotep999	5
145	Spenduh	5
145	PortlyPete69	5
145	anbbang	5
145	2blox	5
145	h2p_emrld	5
176	seanitoo	4
176	Menthas	4
176	fanofbands101	4
176	Cowison	4
176	pZygh0st	4
176	Firecracker320	4
176	Franco093	4
176	NinjaKnifeKill	4
176	SquadMonster	4
176	heckface	4
176	BobDeBouwer1337	4
176	Megarboh	4
176	UncreativeArtist	4
176	xxPipperDipperxx	4
176	gcaisawesome	4
176	breadbowlgamer	4
176	Windo_licker	4
176	seramalen	4
176	jewbacaman	4
176	KeruNatsema	4
176	Sky_light_KING	4
176	Katsuragi0243218	4
176	Syropatathe	4
176	drumine	4
176	QueenShuvi	4
176	DeGodz4life	4
176	SkateboardR6	4
176	AvaRosey	4
176	Nagasaki_Riku	4
176	stavgod	4
176	Kijiki	4
176	Luigipunch989	4
176	GlitchyPlate810	4
176	CalebDHawk	4
176	KingMatthew506	4
176	_AAZAR	4
212	_NieToksikpl_	3
212	dimondking777	3
212	_stets	3
212	soundad	3
212	FujiBS	3
212	Ailmast	3
212	KingFaenor	3
212	I_Am_Mushkin	3
212	Nesquiczek	3
212	bigstankyy	3
212	Hpdinosaur	3
212	Paleshield	3
212	Wooptey	3
212	youhjjhhhjj	3
212	Ssor69	3
212	FirsTimeGamingTV	3
212	Vizzoid	3
212	dopplexd	3
212	Frxnkz	3
212	CliffEmAll	3
212	jushykins	3
212	paranoid_plant	3
212	Nach0Bear	3
212	Inchef	3
212	Xalithia	3
212	NoxxxxiS	3
212	Covalents	3
212	Paintz	3
212	Kubelz	3
212	XboxPanda	3
212	CharlieButt	3
212	pumpfonzo	3
212	TheDankPlatypus	3
212	Ch4osDoom64	3
212	__Fanda__	3
212	Chromary	3
212	burbankbuilder28	3
212	Voxin2K	3
212	Kouridragon	3
212	Shiirazuku	3
212	MousePlays	3
212	fxiryglitch	3
212	FishyBoy3811	3
212	PuFY	3
212	ToastedGamingYT	3
212	fw3xywashere	3
212	DTwenty	3
212	NYJ	3
212	_Bguette_	3
212	The_Quack_Dealer	3
212	Toiton	3
212	GoofyBread	3
212	DarlaMeow	3
212	MovingFish7	3
212	Airem_Core	3
212	07shiny	3
212	Fizznut909	3
212	stahouo	3
212	lcvezra	3
212	obzii	3
212	DennyKai	3
212	Hermanni__	3
212	TheOuterCore	3
212	smogfrog	3
212	Lowjinx	3
212	vandmanden	3
212	WYFYoyo	3
212	00000000-0000-0000-0009-01f898304150	3
280	Jovaphobic	2
280	YinToYin	2
280	abramgray	2
280	RoskobiOne	2
280	dabloons	2
280	teslawolf38	2
280	Healthing	2
280	xXTheWolfmanXx	2
280	error10101	2
280	Saltymart	2
280	SaucyDark	2
280	TooManyDuck	2
280	Tolhart	2
280	Incinere	2
280	Caystelly	2
280	Natty	2
280	awesomeoneme	2
280	Historical_Sand	2
280	Swexti	2
280	IWorkAtIkea	2
280	nocturne78	2
