rank	username	minecraft:picked_up/minecraft:bubble_coral_fan
1	Kouridragon	853
2	Legendosh	425
3	pintsizedrogue	370
4	thewindmillman	350
5	Enderxz3	304
6	ImpavidArcher	294
7	TheShyPig	201
8	doublemaki	194
9	Jackattack53	167
9	Hyp3rion_	167
11	Di_infiri	166
12	El_Jalapeno	140
13	500am	131
14	12Magner05	100
15	RoskobiOne	99
16	noam464	97
17	Nicserso	96
18	MattieHD	95
19	Alteriity	93
20	HellsSponge	86
21	AuroraValkyrie	82
21	Mahoose	82
21	skroobiez	82
21	_Dean_123	82
25	Merv__	77
25	Lez_	77
25	luseis	77
28	Mewar	72
29	Fullut	71
30	ApophisNova	66
30	MyNamaSheff	66
32	j5ylim	64
33	kekhon	60
34	livingdaydreams	55
35	lordpipe	52
36	XxCookiequeenxX	50
37	Vetral1	49
38	eiC_	48
39	Vanni9	44
40	Kura2218	43
41	tsohomie	40
42	Jovaphobic	37
42	Inbefour	37
44	Spacewardharpy7	34
44	EcksD	34
46	Xalithia	33
47	Onennon	32
48	IdeallyGrey	30
49	Kakolbus	29
49	Marbz_	29
51	mihimihimihi	27
52	_3Stump_	26
53	KingMatthew506	25
54	Snowflowe	24
54	Maenara	24
56	__tomato	23
57	beeperbeeper5	22
57	victorLIE	22
57	AvaRosey	22
57	Powowowow	22
61	Xclax101	21
61	Yamdalorian	21
61	TheWickedBird	21
64	Blackberry1310	20
65	mymayowasgone	19
65	Ssor69	19
65	urbeans	19
65	craaaash	19
69	Archsam	18
69	Krowuss	18
69	Pumpkin_P_Patch	18
69	djancak	18
73	Iagoku	17
73	surfinggiraffejp	17
75	Noah_Bez	16
76	Bandito_Roamer	15
76	PigDab	15
76	TechnoNinja64	15
79	joethahobo	14
79	Deathkob	14
79	Luigipunch989	14
82	HolyVenom	13
82	TheSeismicDuck	13
82	Kowcio_	13
85	Rumpletaezer	12
85	EdGalbraith	12
85	Druid95	12
85	pixelviolin	12
85	PortlyPete69	12
85	h2p_emrld	12
91	SaucyDark	11
91	ratglock	11
91	EveryonesUncle	11
94	T045RTY	10
94	_Nat666	10
94	MyNameIsJobo	10
94	Arceus1975	10
98	eitanzaki	9
98	legal_tax_evader	9
98	burbankbuilder28	9
98	GooseWithin	9
98	Manaateee	9
98	Blaiku	9
98	SpacesickPrism	9
98	Quotary	9
98	Jimb0nat0r	9
107	TheSecondLord	8
107	excelsionprime	8
107	r123moore	8
107	TheDankPlatypus	8
107	Rebytre	8
107	KeruNatsema	8
107	censorsheep	8
107	Typadopoulos	8
107	ZoharGoldMine	8
107	Steelynan	8
107	PlasticOtari	8
118	ShedJr_	7
118	_witch_craft_	7
118	Bumpy419	7
118	Voxin2K	7
118	aec9	7
118	MightyWertu	7
118	Fizznut909	7
118	ZeroKraken	7
126	dimondking777	6
126	RatatJuice	6
126	Historical_Sand	6
126	Samificator	6
126	NameGenerat0r	6
126	Quaintster	6
132	hm947	5
132	Prismyst	5
132	catandmoose	5
132	lpinfinity	5
132	Hiryu27	5
132	RobotMinion101	5
132	groofles	5
132	Jiminbub	5
132	Karbl	5
132	miramyu	5
132	_i_ERROR_i_	5
132	diggydog67	5
144	BodaciousCake	4
144	titanlax	4
144	gamerlord1324	4
144	Kynigito	4
144	AlexxO_o	4
144	FreakGenius	4
144	SkateboardR6	4
144	iSammael	4
144	sp00ky_ghost977	4
144	stellarjay	4
144	fffMike	4
144	erkada	4
144	HesDemonPants	4
144	Sral7	4
144	Biites	4
159	diamondgolem35	3
159	Stynxy	3
159	emrekn	3
159	xxPipperDipperxx	3
159	hanaryheatwave	3
159	Eerini	3
159	Jimi7hits	3
159	Akoot_	3
159	Factoroni	3
159	MakeHistory157	3
159	laron58	3
170	6king6colt6	2
170	tuckerdoodle	2
170	Cryptacity	2
170	bloodbiter	2
170	Inchef	2
170	Covalents	2
170	CollinMH06	2
170	domagawha	2
170	oscminus	2
170	_Cloverbelle_	2
170	fw3xy	2
170	fkGrim	2
170	KlausVonStiglitz	2
170	YungWali	2
170	claivin	2
170	MAns_44	2
170	IAmTheWalrus910	2
170	AssFullaCum	2
170	SammiWolfGirl	2
170	Ir0npack	2
170	Skippeh	2
170	ConnorDanky_	2
192	Groovy_MoonBird	1
192	Apollo_993	1
192	dudcreeper	1
192	robertsnose	1
192	CoffeeNoir	1
192	xPixelRainx	1
192	MinttyFressh	1
192	Studio4x32	1
192	UncreativeArtist	1
192	benediktine1	1
192	Donutt	1
192	Cruncy_	1
192	audiocracked	1
192	balin55	1
192	The_slideV3	1
192	Blu3beast	1
192	Gus2005	1
192	WyngGoy	1
192	Eraxa	1
192	Spenduh	1
192	MilleGrug	1
192	LuvLuvLove	1
192	FishisTTV	1
