rank	username	minecraft:picked_up/minecraft:tube_coral
1	thewindmillman	267
2	El_Jalapeno	130
3	Kouridragon	123
4	Di_infiri	111
5	Enderxz3	92
6	Jackattack53	79
7	pintsizedrogue	74
8	Legendosh	68
9	500am	59
10	12Magner05	52
11	kekhon	40
12	ImpavidArcher	37
13	TheShyPig	34
14	_Dean_123	29
15	beeperbeeper5	28
15	YungMaki	28
17	Fullut	24
18	livingdaydreams	21
19	Mahoose	19
19	Hyp3rion_	19
19	lordpipe	19
22	Blackberry1310	18
23	Merv__	16
24	RoskobiOne	14
24	Kakolbus	14
24	luseis	14
27	Xalithia	13
27	Vetral1	13
27	Akoot_	13
30	Nicserso	12
31	Quaintster	10
32	Jovaphobic	8
32	SaucyDark	8
32	ApophisNova	8
32	HellsSponge	8
32	Kowcio_	8
32	MyNamaSheff	8
38	AlexxO_o	7
38	Kura2218	7
38	lcvezra	7
41	Deathkob	6
41	PortlyPete69	6
41	Steelynan	6
41	Quotary	6
45	AuroraValkyrie	5
45	Lez_	5
45	Rumpletaezer	5
45	RobotMinion101	5
45	Onennon	5
45	Inbefour	5
45	KlausVonStiglitz	5
45	RoofTyler	5
45	_Karmaa	5
45	mihimihimihi	5
45	__tomato	5
45	diggydog67	5
57	Iagoku	4
57	ratglock	4
57	surfinggiraffejp	4
57	burbankbuilder28	4
57	Werbe	4
57	Jiminbub	4
57	Xclax101	4
57	Blaiku	4
57	Dusk_95	4
57	WyngGoy	4
67	Bandito_Roamer	3
67	ShedJr_	3
67	tsohomie	3
67	joethahobo	3
67	Historical_Sand	3
67	Ssor69	3
67	Mewar	3
67	noam464	3
67	eiC_	3
67	Marbz_	3
67	Hiryu27	3
67	Maenara	3
67	TheSeismicDuck	3
67	XxCookiequeenxX	3
67	Karbl	3
67	Typadopoulos	3
67	djancak	3
67	Luigipunch989	3
67	Ezekson	3
67	TechnoNinja64	3
67	PlasticOtari	3
67	Sral7	3
67	h2p_emrld	3
90	bigstankyy	2
90	Alteriity	2
90	IWorkAtIkea	2
90	titanlax	2
90	eclipseboi	2
90	r123moore	2
90	Covalents	2
90	Noah_Bez	2
90	benediktine1	2
90	TheDankPlatypus	2
90	legal_tax_evader	2
90	Arceus1975	2
90	Snowflowe	2
90	Rebytre	2
90	ZA07	2
90	groofles	2
90	audiocracked	2
90	MakeHistory157	2
90	Soplight	2
90	GlitchyPlate810	2
90	fffMike	2
90	ConnorDanky_	2
90	EcksD	2
90	Biites	2
114	dudcreeper	1
114	dimondking777	1
114	SmashingPump	1
114	CoffeeNoir	1
114	Prismyst	1
114	urbeans	1
114	Stynxy	1
114	shyshyannne	1
114	emrekn	1
114	Inchef	1
114	xxPipperDipperxx	1
114	MyNameIsJobo	1
114	SuperPooch06	1
114	Azmodan_246	1
114	Voxin2K	1
114	F_Uhre	1
114	aec9	1
114	Jimi7hits	1
114	fw3xywashere	1
114	fkGrim	1
114	balin55	1
114	censorsheep	1
114	Spacewardharpy7	1
114	AvaRosey	1
114	iSammael	1
114	ZoharGoldMine	1
114	IdeallyGrey	1
114	SpacesickPrism	1
114	ZeroKraken	1
114	Powowowow	1
114	Smoke____	1
