rank	username	minecraft:picked_up/minecraft:purple_terracotta
1	Awyrlas	2464
2	Hyp3rion_	600
3	pintsizedrogue	580
4	TheSecondLord	236
5	joethahobo	230
6	thewindmillman	206
7	EMC_	166
8	YungMaki	136
9	Rumpletaezer	131
10	PortlyPete69	124
11	Legendosh	108
12	Inbefour	103
13	bigstankyy	81
14	Eraxa	73
15	rarrq	61
16	sxc_	56
17	EcksD	48
18	Kakolbus	43
19	nocturne78	36
20	DarlaMeow	32
21	Sral7	19
22	lordpipe	13
23	Bandito_Roamer	12
23	Lord_Jord	12
25	oxfordschool	11
26	duqboy	5
26	chipklip	5
28	AuroraValkyrie	4
28	Mahoose	4
28	kekhon	4
28	NameGenerat0r	4
32	mwrty	3
32	Smoke____	3
34	elicobnoah	2
34	noam464	2
34	Jiminbub	2
34	Spacewardharpy7	2
34	Steelynan	2
39	ColeSnyder	1
39	500am	1
39	Inchef	1
39	ROY4LE	1
39	TheShyPig	1
39	jake314810	1
39	Freak_Genius	1
39	__Auspicious	1
39	stahouo	1
39	PlasticOtari	1
39	The_SlideV5	1
