rank	username	minecraft:picked_up/minecraft:spruce_hanging_sign
1	Moofyman	30
2	Enderxz3	29
3	milltesco	25
4	LuvLuvLove	19
5	craaaash	18
6	TheWickedBird	14
7	Merv__	10
8	Mr_Byzantine	7
9	SnowyAvi	6
9	Mattesco	6
9	TheKingK_	6
12	bl1ss0	5
12	pixelviolin	5
14	PazinGaming	4
14	mymayowasgone	4
14	Koalander	4
14	cuddlyMonster	4
14	Buuck_	4
14	Soplight	4
20	ZaneABrain	3
20	Huwulling	3
20	Pumpkin_P_Patch	3
20	SpacesickPrism	3
24	j5ylim	2
24	FiguraDei	2
24	KamFurnace	2
27	Archsam	1
27	TheSecondLord	1
27	philandr	1
27	Samificator	1
27	pennyswan	1
27	Jimb0nat0r	1
