rank	username	minecraft:picked_up/minecraft:iron_axe
1	12Magner05	2041
2	Hyp3rion_	395
3	Segotep999	187
4	Lez_	180
5	Smashic	149
5	Soplight	149
7	Fuad_R	148
8	noam464	144
9	thewindmillman	139
10	beeperbeeper5	138
11	Werbe	118
12	Spacewardharpy7	116
13	Sral7	113
14	EMC_	99
15	AdmiralSmoke	73
16	pixelviolin	55
17	Lord_Jord	52
18	Da_Boss_Rani	42
19	eitanzaki	38
20	Blaiku	37
21	luseis	31
22	FishisTTV	30
23	Akoot_	28
24	RebelAndroid	25
25	Legendosh	24
26	SmashingPump	23
27	pintsizedrogue	21
27	Bumpy419	21
29	PlasticOtari	20
30	HellsSponge	19
31	El_Jalapeno	18
31	YungMaki	18
31	TechnoNinja64	18
34	ShedJr_	17
35	Apollo_993	16
35	Alteriity	16
37	diamondgolem35	15
37	FirsTimeGamingTV	15
37	TheSecondLord	15
37	bloodbiter	15
37	FreakGenius	15
42	dimondking777	14
42	Merv__	14
42	Historical_Sand	14
42	cheerytomato	14
42	sp00ky_ghost977	14
47	Lord_Zacler	13
47	xzvu	13
49	Sleepy_Time_	12
49	Onennon	12
49	IAmTheWalrus910	12
49	Zoeyfortnite	12
53	Bandito_Roamer	11
53	GingerNeutron	11
53	thescout7	11
53	Di_infiri	11
53	jcool7	11
53	EcksD	11
59	Jackattack53	10
59	ApophisNova	10
59	Racengan	10
59	Eraxa	10
59	MyNamaSheff	10
64	seanitoo	9
64	_Virify_	9
64	_Nat666	9
64	kekhon	9
64	r123moore	9
64	Arceus1975	9
64	Rebytre	9
64	Blu3beast	9
64	SammiWolfGirl	9
73	Frozil20	8
73	Mahoose	8
73	joethahobo	8
73	Blackberry1310	8
73	m_be9	8
73	_Cloverbelle_	8
73	Maenara	8
73	sufjanlover	8
81	lotarp	7
81	rarrq	7
81	ThePoliteG	7
81	Ecplosive	7
81	Vetral1	7
81	lizardfightclub	7
81	mihimihimihi	7
81	07shiny	7
81	Seindi	7
90	Jovaphobic	6
90	PhantomsGhost_	6
90	6king6colt6	6
90	ImpavidArcher	6
90	YairZaki	6
90	tsohomie	6
90	Euclidoris	6
90	MattieHD	6
90	Fullut	6
90	intropass	6
90	Kakolbus	6
90	TheShyPig	6
90	WeebleSock	6
90	Druid95	6
90	Kowcio_	6
90	SpacesickPrism	6
90	Skippeh	6
90	anbbang	6
90	cichy096	6
90	Jimb0nat0r	6
110	ImNotYuqii	5
110	KomputerDude	5
110	MoistMicrowave	5
110	MinePowerz	5
110	Kamflame10	5
110	Gingayy	5
110	IceYoung	5
110	jambvds	5
110	Tyrannosplart	5
110	Meatlaugh	5
110	ewpunk	5
110	ThatMan_Dave	5
110	Xclax101	5
110	lordpipe	5
110	ProbsNotNova	5
110	Deguns123	5
110	_KuruKuru	5
110	ConnorDanky_	5
110	tompup	5
110	Kateesaur	5
130	jessemgaming	4
130	T045RTY	4
130	ivorico	4
130	Swexti	4
130	Ssor69	4
130	Cryptacity	4
130	corvidpartyfor6	4
130	Sloths_Ender	4
130	_Dean_123	4
130	set67	4
130	emrekn	4
130	ROY4LE	4
130	shadowthemonkey	4
130	Chromary	4
130	_Boipl_	4
130	seramalen	4
130	cedric72	4
130	YahooScreen9000	4
130	Leyna3	4
130	kubagod03	4
130	wezzzi	4
130	fw3xy74	4
130	SpouHn	4
130	Manaateee	4
130	censorsheep	4
130	MovingFish7	4
130	CheifJumbo	4
130	WyngGoy	4
130	SvenskaHugo	4
