rank	username	minecraft:picked_up/minecraft:jungle_leaves
1	Blackberry1310	3271
2	PigDab	2355
3	Kubelz	2322
4	Hyp3rion_	2299
5	sebastiensaborio	2196
6	mwrty	1854
7	EveryonesUncle	1734
8	Soplight	1700
9	Merv__	1531
10	_Dean_123	1482
11	HellsSponge	1353
12	Xclax101	1295
13	CoffeeNoir	1275
14	lordpipe	1268
15	cedric72	1165
16	Xalithia	1080
17	titanlax	1065
18	WET_WET_WET	1019
19	TheShyPig	967
20	Fullut	939
21	HesDemonPants	935
22	MyNameIsJobo	921
23	Onennon	830
24	ROY4LE	809
25	BronkerBrum	806
26	Mahoose	744
27	PlasticOtari	729
28	Freak_Genius	716
29	Hoid_the_Roamer	712
30	YungMaki	693
31	ImpavidArcher	650
32	beeperbeeper5	578
33	TheSecondLord	564
34	Cryptacity	563
35	ShedJr_	545
36	oxfordschool	534
37	H72l9w	522
38	Factoroni	507
39	Frozil12	495
40	Winklepicker279	487
41	500am	424
42	CollinMH06	408
43	lillips	376
44	DemTechAlpha	375
45	kinas45y5	364
46	ese_wn_po	362
47	Jonte0599	328
48	KarlKaek	325
49	Historical_Sand	303
50	noam464	277
51	Kamflame10	251
52	TechnoNinja64	249
53	Smoke____	240
54	__tomato	235
55	ZaneABrain	231
56	PeteO1995	227
57	SvenskaHugo	224
58	Marbz_	221
59	Incinere	218
60	Deerfoot	217
61	Ze_BaronKrigler	208
62	AlphaWolfPlaysMC	198
63	EcksD	181
64	OfficerAnvil	177
65	pintsizedrogue	176
66	MightyWertu	175
67	_Bguette_	170
68	Werbe	161
68	AssEatrAndLicker	161
70	SaucyDark	159
70	IWorkAtIkea	159
72	Snowflowe	156
73	PegLegPete93	154
74	breadbowlgamer	151
75	fluddd	150
76	CookTheChef3	137
77	Meatlaugh	132
78	Swexti	125
79	epiksk8erduck	124
80	Cocoamallows	123
81	Arceus1975	120
82	Deathkob	117
83	himak1	113
84	peachfuzz1267	104
85	kekhon	103
86	RodSerlingCringe	99
87	T045RTY	98
88	Bandito_Roamer	95
89	Nicky_H225	88
90	Spacewardharpy7	87
91	123louis456	81
92	MixerDixer	76
93	Jackattack53	75
93	KlausVonStiglitz	75
95	KingMatthew506	73
96	chipklip	72
97	NotMeowMix	71
98	I_Am_Mushkin	64
99	MelodyGaysharks	58
100	Prodiginus	53
100	set67	53
102	WhyTho_1	52
103	Lukeee33	51
104	funnyblitz123	44
104	DiamondShaff	44
106	Di_infiri	38
107	Notta	36
108	Rumpletaezer	33
109	stavgod	32
110	burbankbuilder28	27
111	AuroraValkyrie	26
112	RefluxRatio	21
113	Legendosh	20
114	eitanzaki	19
114	Comma__	19
116	_Hayt	18
116	Airem_Core	18
118	2Stout	17
118	thewindmillman	17
120	Corbsman	15
120	El_Jalapeno	15
122	PhantomsGhost_	14
122	Blaiku	14
124	Scathra	12
125	Jared6969	11
125	Zythose	11
127	XxCookiequeenxX	10
127	Kowcio_	10
129	loveseeker	8
129	Razzgriz	8
129	Jij0	8
129	_TCARREIRA_	8
129	Ezekson	8
134	Kyrum2169	7
135	EMC_	6
135	KeruNatsema	6
135	Toiton	6
135	MakeHistory157	6
135	Optiprimus	6
140	Blu3beast	5
141	BilboBaggins23	4
141	Bumpy419	4
141	Afinnity	4
141	Leyna3	4
141	LexMakesHistory	4
146	RebelAndroid	3
146	Lord_Jord	3
146	TheSeismicDuck	3
149	Ailmast	2
149	ProfessorBee	2
149	thescout7	2
149	Awyrlas	2
149	benediktine1	2
149	ItsAki_	2
149	natajimi	2
149	JESS_THE_RERE	2
149	claivin	2
149	Nycteus_	2
149	djancak	2
149	Dogcorn69420	2
149	Skippeh	2
149	Sral7	2
163	_stets	1
163	NinjaKnifeKill	1
163	rarrq	1
163	SteveCraftBlocks	1
163	sp00ky_ghost977	1
163	CalebDHawk	1
163	jnp_gaming	1
