rank	username	minecraft:picked_up/minecraft:pink_concrete
1	thewindmillman	7194
2	Jackattack53	5100
3	lordpipe	4848
4	QuiCreans	2186
5	EveryonesUncle	1630
6	PigDab	804
7	Yamdalorian	791
8	Lez_	786
9	beeperbeeper5	758
10	xxPipperDipperxx	646
11	LordSpeed37	585
11	Legendosh	585
13	royal_2	525
13	ROY4LE	525
15	doublemaki	395
16	_Huge_Male_	368
17	jnp_gaming	364
18	Spacewardharpy7	311
19	pintsizedrogue	300
20	Deguns123	240
21	TheSecondLord	238
22	Tyrannosplart	221
23	remmisrat	212
24	obzii	209
25	Tobinator_007	207
26	ConnorDanky_	203
27	Kowcio_	188
28	CornOnTheCobalt	187
29	MakeHistory157	167
30	Manaateee	149
31	joethahobo	132
32	xzvu	131
33	cutelilreno	121
34	Spaghettatron	120
35	CacheOut	103
36	Fullut	98
37	noam464	91
38	Hyp3rion_	85
39	__tomato	80
40	IAmTheWalrus910	71
41	LexMakesHistory	67
42	RoboTramp7865	65
43	1Byrd1	64
44	EcksD	61
45	k_ce	60
46	CollinMH06	57
47	Ezekson	54
48	Mattesco	37
48	emreknugrlu	37
50	HellsSponge	28
51	SvenskaHugo	26
52	Avocadogerms	25
53	Ahketen	17
54	Frozil20	16
55	chipklip	13
55	IlkeCookes_	13
57	500am	12
57	OreTheBear	12
59	luseis	10
60	hanaryheatwave	8
60	lunkuku	8
60	FiguraDei	8
60	Jimb0nat0r	8
64	ShedJr_	7
64	Cyntrical	7
66	Mahoose	6
66	Arceus1975	6
68	Truckoss	5
68	TheKingK_	5
70	HyperCave	4
70	TheShyPig	4
70	IamCL4SSY	4
73	eitanzaki	3
73	rarrq	3
73	12Magner05	3
73	SteveCraftBlocks	3
73	Werbe	3
73	JESS_THE_RERE	3
73	blackeemperor	3
73	robonya_	3
81	ketaminmann	2
81	mariominejedi	2
81	Wowful	2
81	_Mythic____	2
81	pixelviolin	2
81	Quotary	2
87	Sleek_Storm_721	1
87	Archsam	1
87	Historical_Sand	1
87	pr33tu	1
87	lorpus	1
87	craaaash	1
87	MousePlays	1
87	NameGenerat0r	1
87	Blaiku	1
87	Buuck_	1
87	Eraxa	1
87	Pumpkin_P_Patch	1
87	Spenduh	1
87	TechnoNinja64	1
