rank	username	minecraft:picked_up/minecraft:barrel
1	EveryonesUncle	849
2	OtariCharlie	749
3	pintsizedrogue	677
4	500am	571
5	Freak_Genius	542
6	lordpipe	386
7	Di_infiri	362
8	Historical_Sand	351
9	Mahoose	329
10	EcksDofficial	318
11	jacxhadow	311
12	TheShyPig	309
13	Snowflowe	297
14	Onennon	276
15	beeperbeeper5	270
16	xxPipperDipperxx	219
16	Racengan	219
16	Eraxa	219
19	Smoke____	212
20	m_be9	194
21	noam464	187
22	joethahobo	186
23	kekhon	177
24	PhantomsGhost_	167
25	ImpavidArcher	162
26	sebastiensaborio	156
27	CalebDHawk	148
28	Dusk_95	147
29	YungJakobo	146
30	Merv__	144
31	Xclax101	136
31	Legendosh	136
33	_Dean_123	135
34	Enderslayerxz3	131
35	teslawolf38	130
35	Awyrlas	130
37	oxfordschool	127
38	Soplight	118
38	Eczbek	118
40	Truckoss	110
41	Inchef	107
42	Jackster03	103
42	KingMatthew506	103
44	KarlKaek	101
45	T045RTY	99
46	EfficientC52	95
47	Fullut	94
48	SvenskaHugo	93
49	12Magner05	88
50	Ezekson	87
51	EMC_	86
52	ShedJr_	85
53	soundad	84
53	YungMaki	84
55	rarrq	82
56	Blaiku	81
57	Mr_Byzantine	80
57	Aiko_Kawashima	80
57	Sky_light_KING	80
57	HellsSponge	80
61	MangoTheFish	77
61	TechnoNinja64	77
63	Slapface522	76
64	ApophisNova	75
64	MyNamaSheff	75
66	Akoot_	69
66	Kowcio_	69
68	diamondgolem35	67
69	Drlzyy	64
69	NomadicRobin_	64
71	Arceus1975	63
71	Factoroni	63
73	Quotary	60
74	thescout7	59
74	RodSerlingCringe	59
76	RatatJuice	57
76	Blackberry1310	57
76	thewindmillman	57
76	Inbefour	57
76	Hermanni__	57
81	XxCookiequeenxX	55
82	Spacewardharpy7	54
83	bloodbiter	53
83	Lord_Jord	53
85	Werbe	52
85	Meatlaugh	52
85	AssEatrAndLicker	52
88	Swexti	51
88	TheSecondLord	51
88	Rumpletaezer	51
88	DemTechAlpha	51
92	Winklepicker279	49
93	valkam13	48
93	Airem_Core	48
93	stahouo	48
93	jnp_gaming	48
97	PigDab	47
97	Groundler	47
97	sp00ky_ghost977	47
100	SammiWolfGirl	46
101	eitanzaki	45
102	SaucyDark	44
103	fkGrim	42
104	MyNameIsDakar	41
105	Dedalus36	40
105	TooManyDuck	40
105	Kamflame10	40
105	ROY4LE	40
105	John6970	40
105	Sheldor097	40
111	CoffeeNoir	39
111	titanlax	39
111	_Bguette_	39
111	07shiny	39
115	Sleek_Storm_721	37
115	Kubeusz2010	37
117	Cryptacity	36
117	Kim_Jong_eel	36
119	MyNameIsJobo	35
119	bpmm	35
119	NameGenerat0r	35
122	RobotMinion101	34
123	burbankbuilder28	33
124	Nycteus_	32
124	UltraZombie	32
124	ItsJunoIGuess	32
127	Prodiginus	31
128	Flores991	30
128	SuperPooch06	30
128	MakeHistory157	30
131	_stets	29
131	drompje	29
133	r123moore	28
133	Chromary	28
135	Myszoaz	27
135	ThePoliteG	27
135	Z3braYTIL	27
138	AuroraValkyrie	26
138	6king6colt6	26
140	MissCeleste7	25
141	youhjjhhhjj	24
141	wTXop	24
141	Nicserso	24
144	_Razar	23
144	BlueZabu	23
144	_Karmaa	23
144	YoshikageBites	23
148	Karetoko	22
148	Frozil12	22
148	CSG_Haru	22
148	Skippeh	22
148	diggydog67	22
153	2Stout	21
153	Kubelz	21
153	SlayerCrypto	21
153	yulgur1	21
153	Deathkob	21
153	MightyWertu	21
159	heckface	20
159	Skylord_Luke	20
159	_naturell	20
162	Bandito_Roamer	19
162	oreee	19
162	ehunt54	19
162	Wowful	19
162	lcvezra	19
167	livingdaydreams	18
167	Xalithia	18
167	wezzzi	18
167	audiocracked	18
167	felincaus	18
167	xorompole	18
167	Freedrik	18
174	Ardennes	17
174	JohnPrice	17
176	MSK__	16
176	Vizzoid	16
176	Kkanot	16
176	loveseeker	16
180	fanofbands101	15
180	Notta	15
180	UncreativeArtist	15
180	Covalents	15
180	victorLIE	15
180	ogoa	15
180	the_russell1611	15
187	CueMix	14
187	dabloons	14
187	Jackattack53	14
187	RoyalDorrr	14
187	MAns_44	14
187	AvaRosey	14
187	WYFYoyo	14
194	q_wq	13
194	Zlatovlas	13
194	shyshyannne	13
194	claivin	13
194	hdtpm	13
199	slkiey	12
199	GLLogan2	12
199	Bumpy419	12
199	BronkerBrum	12
199	Maenara	12
199	Blu3beast	12
199	Oxygen16	12
206	Euclidoris	11
206	Hiryu27	11
206	fred870d	11
206	Drewen24	11
206	rotten_mango	11
206	lillips	11
206	brofrickcheaters	11
206	stellarjay	11
206	TheOuterCore	11
206	AltnumberF4	11
206	kinas45y5	11
217	TheBiggestFeller	10
217	mimbo1211	10
217	Hoid_the_Roamer	10
220	rachcl	9
220	Hpdinosaur	9
220	Ozixar	9
220	ratglock	9
220	paranoid_plant	9
220	Stiar	9
220	Gamergirl420628	9
220	Kakolbus	9
220	Windo_licker	9
220	Zythose	9
220	_Boipl_	9
220	ChocolatePepsi	9
220	DarkS0L	9
220	WyngGoy	9
220	SSytex_X	9
220	pk1297	9
220	camando92	9
237	hm947	8
237	PegLegPete93	8
237	pappaberg	8
237	CACTUSLAD	8
237	MineMaster0012	8
242	Yatitay	7
242	Natty	7
242	Jokerman369	7
242	NoraTheYandere	7
242	XboxPanda	7
242	Purplehere	7
242	KeruNatsema	7
242	Darkgon	7
242	El_Jalapeno	7
242	Barlycorn	7
252	actuallysadie	6
252	H72l9w	6
252	cowgirlkasia	6
252	IforgotCS_Source	6
252	Diavri	6
252	V2Loon	6
252	_8man	6
252	WarMachina	6
252	Kokeech	6
252	Aangezet	6
252	Joestra	6
252	FreddyFart	6
252	LetsDoItLive	6
252	Ze_BaronKrigler	6
252	sadvavilloso	6
252	laron58	6
268	Cowison	5
