rank	username	minecraft:picked_up/minecraft:oak_stairs
1	FreakGenius	2801
2	El_Jalapeno	1994
3	EMC_	1802
4	TheShyPig	1472
5	Mr_Byzantine	1351
6	EveryonesUncle	1230
7	MyNameIsJobo	836
8	Myntsys	803
9	rarrq	801
10	hcb238	749
11	Burge_r	737
12	Onennon	713
13	_Dean_123	712
14	Alteriity	695
15	_Karmaa	680
16	Ezekson	652
17	OreTheBear	649
18	Mahoose	605
19	HellsSponge	586
20	kekhon	573
21	U_Mos_	525
22	j5ylim	517
23	excelsionprime	503
24	Ssor69	481
25	beeperbeeper5	460
26	Jovaphobic	458
27	fkGrim	444
28	KarlKaek	438
29	Lez_	409
30	skitzxo	406
31	luseis	395
32	Akoot_	392
33	Luigipunch989	391
34	Racengan	389
35	abdomera	375
36	FormulaNewt3627	364
37	Tyrannosplart	359
38	Blackberry1310	358
39	tsitrawhy	345
40	Megarboh	343
41	Winklepicker279	333
42	Manaateee	327
43	Reneedium	321
44	Yamdalorian	310
45	bloodbiter	304
46	ApophisNova	300
46	MyNamaSheff	300
48	ProfessorBee	292
49	crying_wolf_13	291
50	CoffeeNoir	287
51	CharlieButt	281
52	Stynxy	279
53	XboxPanda	275
54	Rumpletaezer	270
55	Huwulling	266
56	Kowcio_	259
57	m_be9	258
58	DarkS0L	254
59	jnp_gaming	246
60	Vol_Rod33	245
61	StinkyDiplomat	240
62	YungMaki	234
63	Skippeh	226
64	Soap_Bender	221
65	thewindmillman	217
66	pintsizedrogue	215
67	Skylord_Luke	211
67	Enderxz3	211
69	Natty	210
70	500am	209
71	xxPipperDipperxx	207
72	Ozixar	205
73	Steelynan	201
74	Gingayy	194
75	CarryLine	188
76	Lord_Jord	184
77	Sleepy_Time_	183
78	Legendosh	181
79	Pumpkin_P_Patch	178
80	emrekn	176
81	PhantomsGhost_	175
81	Smashic	175
83	SpacesickPrism	174
84	Stiar	172
85	00000000-0000-0000-0009-01ff0c3e5e4f	171
86	FiguraDei	170
87	Incinere	166
88	Arceus1975	165
89	fenkuu	164
90	Eraxa	163
91	ARandomHedge	161
92	FishisTTV	157
93	Merv__	150
94	DrGrant	149
95	Fildyr	143
96	TheKingK_	142
97	fr0stss	138
97	bloomkieren	138
99	picardred	136
99	Wowful	136
101	Hydro___________	135
101	Kakolbus	135
103	Inbefour	134
103	Eczbek	134
105	MakeHistory157	133
106	Lord_Zacler	131
106	Soplight	131
108	Krowuss	130
109	ganyuganyu	129
110	joethahobo	126
110	Warlord324	126
112	ReyTheLegend	124
112	TheWickedBird	124
114	toj__	123
114	Meatlaugh	123
116	RebytreGT	122
117	AlphaWolfPlaysMC	117
118	PazinGaming	116
119	HypixelForums	115
119	PlasticOtari	115
121	KingMatthew506	113
122	livingdaydreams	112
123	IamCL4SSY	111
124	Fuad_R	110
125	Snowflowe	109
125	CrazyPotater	109
127	MissCeleste7	106
128	Di_infiri	103
128	Dan_Scha	103
130	TheDankPlatypus	100
131	DanTheBuilderino	98
131	SammiWolfGirl	98
133	Matemkas	96
133	Mattesco	96
135	CalebDHawk	95
136	Malorn_Aetherius	94
136	TheSecondLord	94
138	07shiny	93
139	Archsam	91
139	Nekomin0	91
141	Calbo_	90
142	TableTim	89
143	laron58	88
144	Jimb0nat0r	87
145	Groovy_MoonBird	85
145	SvenskaHugo	85
147	Matorz	84
147	Shin69	84
149	TheFlfthHorseman	82
150	PlzNoBM	81
