rank	username	minecraft:picked_up/minecraft:mushroom_stew
1	joethahobo	94
2	Mahoose	72
3	Blackberry1310	23
4	xxPipperDipperxx	22
4	Werbe	22
4	AssEatrAndLicker	22
7	claivin	17
8	KingMatthew506	16
9	AvaRosey	10
9	Smoke____	10
11	Akoot_	8
12	rarrq	7
12	Ardennes	7
14	Fullut	6
14	XxCookiequeenxX	6
14	gaming4Naming	6
14	LeeMcGee30	6
18	dopplexd	5
18	ratglock	5
18	mimbo1211	5
18	AJplaysMC_	5
18	jnp_gaming	5
23	aa2x_	4
24	kekhon	3
24	lilsay	3
24	burbankbuilder28	3
24	Eraxa	3
24	Sank34	3
24	HAruSAme14	3
30	T045RTY	2
30	Mimiir345	2
30	MinttyFressh	2
30	shyshyannne	2
30	thescout7	2
30	Kubelz	2
30	TheShyPig	2
30	JollyDroopy52	2
30	marumochis	2
30	Toriankel	2
30	Soplight	2
30	kinas45y5	2
42	6king6colt6	1
42	bigstankyy	1
42	ImpavidArcher	1
42	eitanzaki	1
42	CoffeeNoir	1
42	gaziter10	1
42	tramizu	1
42	m_be9	1
42	GingerNeutron	1
42	_Nuf	1
42	_Dean_123	1
42	noam464	1
42	MyNameIsJobo	1
42	WET_WET_WET	1
42	_Boipl_	1
42	Wowful	1
42	Joestra	1
42	NomadicRobin_	1
42	fluddd	1
42	lordpipe	1
42	TheTommyGun63	1
42	CheifJumbo	1
42	babyjimmyneutron	1
42	airbkane	1
42	MineMaster0012	1
42	starbits140	1
42	ediballbearings	1
42	lcvezra	1
42	Luigipunch989	1
42	APS_Dan	1
42	CalebDHawk	1
42	alderban107	1
42	Ezekson	1
42	Legendosh	1
42	Sral7	1
42	WYFYoyo	1
42	Freedrik	1
