rank	username	minecraft:picked_up/minecraft:leather_horse_armor
1	KingMatthew506	19
2	oxfordschool	15
3	Soplight	14
4	binman420	6
4	MyNameIsDakar	6
6	WhosJPG	3
6	Luminad3	3
6	lillips	3
9	ImpavidArcher	2
9	lotarp	2
11	Bad_At_Names_Guy	1
11	T045RTY	1
11	Mahoose	1
11	jillian12345	1
11	Werbe	1
11	Freak_Genius	1
11	geekbird	1
11	AdiCatGaming	1
11	Ezekson	1
11	EcksD	1
11	PlasticOtari	1
