rank	username	minecraft:picked_up/minecraft:cyan_banner
1	Werbe	81
2	Spacewardharpy7	39
3	Fullut	36
4	m_be9	28
5	beeperbeeper5	22
6	EcksD	20
7	Jiminie	17
8	Onennon	15
9	ZeroKraken	13
9	Skippeh	13
11	EveryonesUncle	11
12	TheShyPig	8
13	kekhon	7
13	Akoot_	7
15	KarlKaek	6
15	Eraxa	6
15	SvenskaHugo	6
18	Historical_Sand	5
18	Blackberry1310	5
20	pintsizedrogue	4
20	joethahobo	4
20	Hiryu27	4
20	EcksDofficial	4
24	Ezekson	3
25	SaucyDark	2
25	Mahoose	2
25	noam464	2
25	Marbz_	2
25	ApophisNova	2
25	FishyBoy3811	2
25	HellsSponge	2
25	MyNamaSheff	2
33	LionelHutzESQ	1
33	_Hxdes_	1
33	GlitchMixed	1
33	Freak_Genius	1
33	Xclax101	1
33	moolerbooler	1
33	oxfordschool	1
33	Weepingbiel	1
33	Enderslayerxz3	1
