rank	username	minecraft:picked_up/minecraft:birch_planks
1	Hyp3rion_	189420
2	Jackattack53	31818
3	mihimihimihi	19565
4	thewindmillman	16326
5	Spacewardharpy7	16301
6	TheShyPig	9435
7	beeperbeeper5	5991
8	eitanzaki	5009
9	EveryonesUncle	4252
10	pintsizedrogue	3663
11	kekhon	2750
12	Smoke____	2623
13	Zoeyfortnite	2586
14	Esme_1	2304
15	fffMike	2076
16	Eczbek	2045
17	Lez_	1701
18	FreakGenius	1649
19	IAmTheWalrus910	1644
20	El_Jalapeno	1643
21	PigDab	1322
22	Kakolbus	1276
23	Akoot_	1179
24	Blackberry1310	1105
25	PuFY	1093
26	EMC_	1066
27	thescout7	1055
28	rarrq	1051
29	joethahobo	1038
30	Mahoose	1036
31	HellsSponge	1025
32	DkansK	1021
33	Onennon	968
34	xxPipperDipperxx	917
35	Cowison	808
36	mwrty	794
37	lordpipe	788
38	Legendosh	761
39	sp00ky_ghost977	740
40	RebelAndroid	733
41	Zythose	712
42	Rebytre	674
43	lcvezra	668
44	tuckerdoodle	663
45	CarltheCuck	657
46	RealGroot	644
47	natajimi	621
48	MangoTheFish	619
49	Di_infiri	612
50	luseis	603
51	YungMaki	579
52	Enderxz3	566
53	PazinGaming	561
54	BlancoFlaco	544
55	Merv__	529
56	xzvu	523
57	Hoid_the_Roamer	522
58	Ezekson	517
59	Lord_Jord	516
60	Hermanni__	512
61	Skylord_Luke	505
62	TechnoNinja64	503
63	Stiar	502
64	Sabby65	496
65	Jimb0nat0r	492
66	gusstationwerker	482
67	_Nuf	479
68	Snowflowe	477
69	ediballbearings	476
70	MelodyGaysharks	474
71	_Karmaa	468
72	dudcreeper	461
72	Inbefour	461
74	ROY4LE	450
75	Simon_Lowell	449
76	_Cloverbelle_	443
77	PlasticOtari	441
78	ANGIELUVSDWEAM	428
79	cichy096	427
80	KarlKaek	420
81	AlexStrange	415
82	SuperPooch06	411
83	livingdaydreams	410
84	Kokeech	409
85	ProfessorBee	408
86	noam464	400
87	YahooScreen9000	393
88	KlausVonStiglitz	389
89	PortlyPete69	385
90	Kuragari_	376
91	ItzYaBoiPicard	375
92	EcksD	371
93	fluddd	365
94	cedric72	345
95	SpacesickPrism	336
96	Nicky_H225	332
97	titanlax	327
97	Typadopoulos	327
97	djancak	327
100	Werbe	324
100	Fuad_R	324
102	AlexxO_o	323
103	CoffeeNoir	317
104	Rasmanden	315
105	ShedJr_	314
106	adeptius	308
106	NoChumpChange	308
108	Optiprimus	302
109	jimintyy	297
110	NotTrixi	292
111	Racengan	289
112	500am	286
113	surfinggiraffejp	285
114	UncreativeArtist	280
115	__tomato	273
116	MAns_44	272
116	Steelynan	272
118	Blu3beast	269
118	OfficerAnvil	269
118	Nicserso	269
121	bigstankyy	265
122	SkyHighSkier	263
123	The11thDoctor	260
124	set67	256
124	TeenMomTom	256
126	Huwulling	254
126	the_russell1611	254
128	xolstoi	253
129	Giannism	252
129	Tyrannosplart	252
131	Kyrum2169	249
132	PhantomsGhost_	247
133	Arceus1975	241
134	diamondgolem35	239
135	Winston_Ingram	238
136	FirsTimeGamingTV	237
137	Eraza	233
138	teslawolf38	231
139	LexMakesHistory	227
140	binman420	224
141	Kryktal	223
142	SaucyDark	222
143	AltnumberF4	219
144	Historical_Sand	211
144	Pootis11	211
146	FelixPSY375	209
147	seramalen	206
148	XboxPanda	205
149	parodypatient	204
150	4774	202
150	LeauVox4921	202
152	diggydog67	200
153	Alteriity	198
154	_Dean_123	195
154	MyNameIsJobo	195
156	censorsheep	194
157	ConnorDanky_	193
158	Rumpletaezer	185
159	Njensen7	178
160	SingedBread	177
161	E775	176
161	LeeMcGee30	176
163	ImpavidArcher	172
164	Kowcio_	170
165	Mr_Byzantine	168
165	SIRdrumroll	168
167	audiocracked	165
168	elleparo	164
168	ZeroKraken	164
170	SPUDonSTEROIDS	160
171	SKYPEX_	159
171	intropass	159
173	GingerNeutron	158
174	lizardfightclub	157
174	HesDemonPants	157
176	bloomkieren	155
177	Da_Boss_Rani	154
178	Frozil20	153
178	lorpus	153
180	smarticuno	148
180	ApophisNova	148
180	MyNamaSheff	148
183	PizzaJake	147
183	dendydoom	147
183	Hiryu27	147
186	TheTrueClipse	146
187	ThePoliteG	144
187	little_dUki	144
189	Iagoku	143
189	bloodbiter	143
191	Luminad3	142
192	DaviusMaximoose	141
193	InfernalMound	140
194	Inchef	139
194	swag_bro2004	139
194	CattSoup	139
197	T045RTY	136
197	DermeinUser	136
197	Shin69	136
200	dezxalo	135
200	BlankityMcBlank	135
202	Austinizzle	134
202	The_Quack_Dealer	134
204	brofrickcheaters	133
205	Diavri	131
206	TinMaster	129
206	hcb238	129
206	LilLizardWizard	129
206	KermitTheKripple	129
210	ibarker21	128
210	Wowful	128
212	The_Skramz	123
213	6king6colt6	122
213	groofles	122
213	Kijiki	122
216	SyntheticSurgeon	121
216	MinttyFressh	121
216	monky_irl	121
216	Eraxa	121
220	Ravenbie	120
220	00000000-0000-0000-0009-01f073f37a91	120
222	picardred	119
223	Bazongoman	118
223	CollinMH06	118
223	Soplight	118
226	killmeiamtraitor	115
226	Deathkob	115
226	Deguns123	115
229	impossibleteapot	113
230	masskedman	111
231	jessewegottacook	110
232	slkiey	108
232	bruh072	108
234	Tommhh	106
234	ooga47	106
236	Mattesco	105
236	IamCL4SSY	105
238	xPixelRainx	103
238	Boboczus	103
238	The_Fulgurator	103
238	calamariclam_I	103
242	Skyler_Diablo	101
242	SteveCraftBlocks	101
242	Sharkbyte0	101
245	SoftSix	100
245	Fuhrer_Teemo	100
245	Quotary	100
248	Blaiku	99
249	stellarjay	98
250	Jonafrog99	96
250	Nycteus_	96
250	blimpeey	96
253	burbankbuilder28	95
254	BumbleBeever	94
255	epiksk8erduck	93
256	Ssor69	92
256	MattieHD	92
258	SammiWolfGirl	91
258	Sheldor097	91
260	Astronicky	90
260	DBoydart303	90
262	Awyrlas	89
262	killerzant	89
262	Drewen24	89
262	Russiancat1	89
262	AvaRosey	89
262	TheEnderMan548	89
268	olliebollie48	88
268	tompup	88
270	Mariopreeet	87
270	eviltunix	87
270	WET_WET_WET	87
273	purpolepickle	86
274	EtherealEspresso	84
275	Killercatty78	83
275	Bumpy419	83
275	F_Uhre	83
275	stuy9	83
279	pumpfonzo	82
280	Kubelz	78
280	ChillenChiggen	78
280	ElderRifken	78
283	NameGenerat0r	77
283	_Wannabe_	77
285	Jackster03	76
285	IWorkAtIkea	76
285	DarkS0L	76
288	thebest_daniela	75
288	brycepants	75
288	Jimi7hits	75
291	jacxhadow	74
291	ashetrays	74
291	ProbsNotNova	74
294	301851	73
294	BreadBacon	73
296	Kkanot	72
296	The_slideV3	72
296	potatocan	72
299	himak1	71
299	Kubeusz2010	71
