rank	username	minecraft:picked_up/minecraft:diorite_stairs
1	skitzxo	366
2	rarrq	345
3	Stiar	344
4	Meatlaugh	342
5	Jokerman369	313
6	FreakGenius	283
7	Mahoose	256
8	Huwulling	199
9	Mr_Byzantine	195
10	TheShyPig	124
11	KarlKaek	119
12	Werbe	110
13	EMC_	109
14	Legendosh	95
15	eviltunix	65
16	fragrantmonke444	49
17	Kowcio_	47
18	MrExplorer	43
19	Crowman1	37
20	Maenara	34
20	PlasticOtari	34
22	ImpavidArcher	33
23	benediktine1	30
24	orxngejuice	28
25	crashomon	25
26	noam464	22
27	QuiCreans	20
27	Inbefour	20
29	DemTechAlpha	19
30	beeperbeeper5	17
31	ShedJr_	15
32	Frozil20	14
32	Xalithia	14
32	ApophisNova	14
32	Avocadogerms	14
32	Sheldor097	14
32	MyNamaSheff	14
38	SaucyDark	12
38	eiC_	12
38	Spacewardharpy7	12
41	joethahobo	11
41	Mattesco	11
41	Olib3ar	11
41	trexgb	11
45	annebolyn	10
46	k_ce	9
46	Saucepeh	9
46	Lord_Jord	9
46	Yamdalorian	9
50	Cryptacity	8
50	GamerDuck123	8
50	IamCL4SSY	8
53	avalan64	7
53	Eraxa	7
53	Soplight	7
56	kekhon	6
57	Paint	5
57	lotarp	5
57	SvenskaHugo	5
57	CattSoup	5
61	Natty	4
61	teqilas	4
61	GLLogan2	4
61	Jackattack53	4
61	Hyp3rion_	4
61	Studyhallsaver	4
61	Dakar_	4
61	HellsSponge	4
61	tartanboy	4
70	lorywithay	3
70	purpolepickle	3
70	bl1ss0	3
70	JESS_THE_RERE	3
70	Pumpkin_P_Patch	3
75	H0UNDFRMH3LL	2
75	Jindong	2
75	MattieHD	2
75	Xclax101	2
75	stavgod	2
75	starbits140	2
75	Snow_Blizzard	2
75	TechnoNinja64	2
83	maxdacatv2	1
83	Groovy_MoonBird	1
83	PazinGaming	1
83	IWorkAtIkea	1
83	Sleepy_Evelyn	1
83	Tiberonus	1
83	eclipseboi	1
83	Fullut	1
83	ImDisconnected_	1
83	Arceus1975	1
83	_p1ta_	1
83	pretty_pink_reno	1
83	sleepdrifter_	1
83	YungMaki	1
83	ZoomieZoomie	1
83	Enderxz3	1
83	WYFYoyo	1
