rank	username	minecraft:picked_up/minecraft:bowl
1	Akoot_	155
2	xxPipperDipperxx	136
3	Blackberry1310	120
4	Werbe	115
5	WyngGoy	113
6	bloodbiter	110
7	HellsSponge	104
8	TheShyPig	84
9	_Bguette_	80
10	FreakGenius	73
11	Malorn_Aetherius	72
11	kekhon	72
13	AdmiralSmoke	63
14	Onennon	56
15	Racengan	54
16	censorsheep	45
17	legal_tax_evader	42
18	YungMaki	38
19	LordSpeed37	35
20	djancak	31
21	pintsizedrogue	30
22	SvenskaHugo	27
23	Fullut	26
23	Sral7	26
25	TheSecondLord	25
25	Awyrlas	25
25	thgrocks	25
28	PlasticOtari	23
29	El_Jalapeno	21
30	skrongus	18
31	Kkanot	17
32	Mahoose	16
32	SvenskaAlvar	16
34	Myszoaz	15
34	MinerDec	15
36	luseis	13
37	Tiberonus	12
37	oscminus	12
37	claivin	12
37	Blu3beast	12
37	JayToe	12
42	beeperbeeper5	11
42	Kubelz	11
44	Groovy_MoonBird	10
44	Bumpy419	10
44	ayamefag	10
47	PhantomsGhost_	9
47	RebelAndroid	9
47	eitanzaki	9
47	tramizu	9
47	Di_infiri	9
47	Tyrannosplart	9
47	Soplight	9
47	Ezekson	9
47	EcksD	9
56	Wooptey	8
56	livingdaydreams	8
56	PhantomBionic	8
56	Ecplosive	8
56	shadowthemonkey	8
56	ImDisconnected_	8
56	Dreamdbr14	8
56	Legendosh	8
56	CrazyPotater	8
65	jacxhadow	7
65	12Magner05	7
65	Mewar	7
65	ooga47	7
65	starbits140	7
65	_TCARREIRA_	7
65	Skippeh	7
65	Jimb0nat0r	7
65	WYFYoyo	7
74	SmashingPump	6
74	Firecracker320	6
74	Natty	6
74	rarrq	6
74	boysnort	6
74	redikul	6
74	thescout7	6
74	Felenov	6
74	Maenara	6
74	rylikesrawtoast	6
74	SingedBread	6
74	ComplexSquirrel	6
74	Toriankel	6
74	LetsDoItLive	6
74	PortlyPete69	6
74	jnp_gaming	6
90	ssleepless	5
90	Sleepy_Time_	5
90	Megarboh	5
90	Inchef	5
90	Paintz	5
90	SuperPooch06	5
90	Rumpletaezer	5
90	Arceus1975	5
90	Snowflowe	5
90	ebanana	5
90	E775	5
90	AvaRosey	5
90	Kowcio_	5
90	Segotep999	5
90	ConnorDanky_	5
105	Froste131	4
105	Historical_Sand	4
105	Euclidoris	4
105	Notta	4
105	m_be9	4
105	_Nuf	4
105	500am	4
105	Smashic	4
105	xFaiithyX	4
105	mariominejedi	4
105	MyNameIsJobo	4
105	thewindmillman	4
105	Hyp3rion_	4
105	Nyxiom_	4
105	Fast_Turtle	4
105	Shavrin	4
105	wezzzi	4
105	NomadicRobin_	4
105	masskedman	4
105	KlausVonStiglitz	4
105	JESS_THE_RERE	4
105	ediballbearings	4
105	lcvezra	4
105	Powowowow	4
