rank	username	minecraft:picked_up/minecraft:black_stained_glass
1	Hyp3rion_	109583
2	PigDab	9225
3	Spacewardharpy7	9065
4	thewindmillman	8869
5	Jackattack53	3653
6	hanaryheatwave	3459
7	non089	3313
8	RebelAndroid	3251
9	mwrty	2592
10	Mattesco	1568
11	mihimihimihi	1440
12	MightyWertu	1406
13	beeperbeeper5	1110
14	pixelviolin	1066
15	YungMaki	961
16	Mahoose	946
17	noam464	938
18	joethahobo	786
19	pintsizedrogue	734
20	Legendosh	729
21	luseis	691
22	m_be9	626
23	500am	612
24	emreknugrlu	565
25	AuroraValkyrie	558
26	Kowcio_	515
27	CliffEmAll	514
28	2Stout	505
29	titanlax	419
30	33sudo	388
31	Manaateee	378
32	Avrelion	368
33	Lez_	364
34	MakeHistory157	353
35	TheWickedBird	349
36	EcksD	347
37	diamondgolem35	346
38	eitanzaki	336
39	Fuhrer_Teemo	330
40	ROY4LE	305
41	6king6colt6	300
42	Onennon	291
43	TheSecondLord	282
44	jnp_gaming	267
45	IvarEXE	264
46	ImpavidArcher	260
47	xzvu	245
48	The_slideV3	243
49	Enderxz3	239
50	_Karmaa	237
51	Marbz_	224
52	Xalithia	215
53	seramalen	212
54	BobDeBouwer1337	209
55	Jimb0nat0r	198
56	lordpipe	193
57	SmashingPump	188
58	Yamdalorian	180
59	Maenara	177
60	NameGenerat0r	170
61	NotMeanttoChange	159
62	skitzxo	155
63	oscminus	150
64	Werbe	143
65	EdGalbraith	140
66	Ssor69	135
66	fffMike	135
68	Groundler	134
69	rarrq	109
70	NomadicRobin_	106
71	Archsam	103
71	Krowuss	103
73	MAns_44	102
74	12Magner05	89
75	audiocracked	86
75	Blu3beast	86
77	Mr_Byzantine	84
78	FreakGenius	81
79	Historical_Sand	79
80	claivin	76
81	Steelynan	75
82	Crowman1	73
82	Di_infiri	73
84	h2p_emrld	72
85	StinkyDiplomat	67
86	imcombxt	66
87	fr_ser	65
87	Blaiku	65
89	Huwulling	60
90	The_SlideV5	58
91	miramyu	56
92	Merv__	53
93	cedric72	51
94	K_a__a_n	49
95	thescout7	47
96	MyNameIsJobo	45
97	Shogunite	43
97	Soplight	43
97	ZoomieZoomie	43
100	CLG_Kata	42
100	burbankbuilder28	42
102	MattieHD	37
103	_i_ERROR_i_	33
104	Kamflame	31
104	benediktine1	31
104	CattSoup	31
107	ConnorDanky_	29
108	Iagoku	28
109	Deathkob	26
110	fluddd	24
111	Ryan_GEMS	23
111	Snowflowe	23
111	BumbleBeever	23
114	ssleepless	22
114	Luminad3	22
116	ECstardust	20
116	TheKingK_	20
116	Iamthejo	20
119	skroobiez	19
119	SingedBread	19
119	Eraxa	19
122	k_ce	18
122	Sheldor097	18
124	Truckoss	17
125	_Virify_	16
125	TheShyPig	16
125	_3Stump_	16
128	Zythose	15
128	Akoot_	15
128	Zoeyfortnite	15
131	PazinGaming	14
132	Jovaphobic	13
132	RoskobiOne	13
132	Nostrom	13
135	Alteriity	12
135	PlasticOtari	12
135	Sral7	12
138	Frozil20	11
138	Franco093	11
138	Kakolbus	11
138	Dan_Scha	11
138	ogoa	11
143	Myszoaz	10
143	RebytreGT	10
145	ShedJr_	9
145	emrekn	9
145	LexMakesHistory	9
145	Segotep999	9
149	teslawolf38	8
149	MSK__	8
149	HUNTERmaun	8
149	NieToksikpl	8
149	Secret_Canary	8
149	Fullut	8
149	dartwaffle	8
149	El_Jalapeno	8
149	Pumpkin_P_Patch	8
158	SyK7	7
158	Wolf_Mauler_73	7
158	SaucyDark	7
161	Spenduh	6
161	Kubeusz2010	6
161	TechnoNinja64	6
164	SquadMonster	5
164	Blackberry1310	5
164	kekhon	5
164	pretty_pink_reno	5
168	asspharte	4
168	The_Fulgurator	4
168	Bumpy419	4
168	DTwenty	4
168	THEKINGLyric10	4
173	eclipseboi	3
173	xxPipperDipperxx	3
173	lahavmor	3
173	Hiryu27	3
173	HyperCave	3
173	Fuad_R	3
173	Buuck_	3
173	Quotary	3
181	Groovy_MoonBird	2
181	xyct	2
181	Incinere	2
181	KomputerDude	2
181	oreee	2
181	Crizma_	2
181	Smashic	2
181	HolyVenom	2
181	IamCL4SSY	2
181	EveryonesUncle	2
181	Xclax101	2
181	QuesoCrusaderIII	2
181	obzii	2
181	Ezekson	2
195	PhantomsGhost_	1
195	RatatJuice	1
195	Hpdinosaur	1
195	T045RTY	1
195	_Dean_123	1
195	r123moore	1
195	crashomon	1
195	fragrantmonke444	1
195	ibarker21	1
195	Posseth	1
195	FishyBoy3811	1
195	True_Clipse	1
195	fkGrim	1
195	MovingFish7	1
195	stavgod	1
195	_Mythic____	1
195	SvenskaHugo	1
195	ediballbearings	1
195	tsitrawhy	1
195	jcool7	1
195	hermmm_	1
195	TheOuterCore	1
195	BreadBacon	1
