rank	username	minecraft:picked_up/minecraft:deepslate_tile_stairs
1	500am	662
2	pintsizedrogue	251
3	kyouma777	243
4	Hyp3rion_	196
5	ImpavidArcher	191
6	Winklepicker279	190
7	rarrq	154
8	Kowcio_	140
9	RoskobiOne	139
10	thewindmillman	92
11	PlasticOtari	79
12	EMC_	75
12	Megarboh	75
14	Marbz_	68
15	lordpipe	67
16	hm947	65
17	Jiminie	50
18	MinttyFressh	44
19	TheSecondLord	33
19	fluddd	33
21	Mattesco	31
21	Smoke____	31
23	AltnumberF4	27
24	pixelviolin	24
25	RebelAndroid	23
25	Spacewardharpy7	23
27	12Magner05	18
27	YungMaki	18
29	Blackberry1310	17
29	sp00ky_ghost977	17
31	Mahoose	16
32	Lord_Doob	11
33	The_Fulgurator	10
33	PigDab	10
35	beeperbeeper5	9
36	Ryker	6
37	Inchef	4
37	CalebDHawk	4
39	_Boipl_	3
39	Steelynan	3
39	Enderslayerxz3	3
42	Merv__	2
42	Jackattack53	2
44	Spenduh	1
44	mobunni	1
44	RadarHz	1
44	Legendosh	1
