rank	username	minecraft:picked_up/minecraft:cherry_log
1	Hyp3rion_	15956
2	Apollo_993	9793
3	SpacesickPrism	7308
4	EveryonesUncle	4026
5	KarlKaek	2704
6	Mr_Byzantine	1580
7	Lez_	1468
8	Nekomin0	1344
9	Alteriity	1281
10	Enderxz3	1007
11	Manaateee	642
12	lillips	592
13	StarCookiees_	463
14	k_ce	456
15	Huwulling	451
16	xolstoi	373
17	lunathelemon	335
18	Kowcio_	317
19	Mattesco	240
20	pintsizedrogue	232
21	MineMaster0012	228
22	oscminus	214
23	j5ylim	202
24	OreTheBear	197
25	Hahaa_0	144
26	Reneedium	132
27	MadmanRaven	123
28	Merv__	119
29	beeperbeeper5	118
30	12Magner05	111
31	Steelynan	107
32	Krowuss	103
33	Myntsys	70
34	Kakolbus	66
34	KamFurnace	66
36	fw3xy74	64
37	MAns_44	60
38	Archsam	58
39	corvidpartyfor6	51
40	lorywithay	49
41	Buuck_	40
42	Fullut	38
43	ECstardust	34
44	pixelviolin	33
45	tuckerdoodle	32
46	excelsionprime	25
47	Napoleonpancake	23
48	SvenskaSara	22
49	Jackattack53	21
49	Mr_Sun15	21
51	hanaryheatwave	20
52	ScootOfBoot	19
53	Werbe	16
54	longappendage	12
55	powercas_gamer	9
55	TheBananaKat	9
57	PaperCanvas	8
58	pizzarel_	7
59	icim	6
60	lordpipe	5
61	TheSecondLord	4
62	luseis	3
63	Jimb0nat0r	2
64	SOA1RR	1
