rank	username	minecraft:picked_up/minecraft:diamond_boots
1	Hyp3rion_	63
2	rarrq	40
3	eitanzaki	36
4	Werbe	35
5	kekhon	33
6	Di_infiri	32
7	masskedman	31
8	Freak_Genius	27
9	TheSecondLord	26
10	EcksD	24
11	KarlKaek	22
11	joethahobo	22
13	CruncyIsTaken	21
13	El_Jalapeno	21
15	Akoot_	20
16	Legendosh	18
17	noam464	17
17	jnp_gaming	17
19	TheShyPig	16
19	Kyrum2169	16
21	mwrty	15
21	mimbo1211	15
21	Frozil12	15
21	Groundler	15
21	Soplight	15
26	pintsizedrogue	14
26	Blu3beast	14
28	beeperbeeper5	13
28	VentiHilton	13
28	laron58	13
31	Inbefour	12
31	lillips	12
31	Racengan	12
31	monky_irl	12
31	Kowcio_	12
31	TechnoNinja64	12
37	ImpavidArcher	11
37	thescout7	11
39	PhantomsGhost_	10
39	Mahoose	10
39	Sky_light_KING	10
39	djancak	10
39	stahouo	10
44	fluddd	9
44	Blaiku	9
44	Quotary	9
47	Blackberry1310	8
47	gabriels543	8
47	HellsSponge	8
47	Nagasaki_Riku	8
47	Enderslayerxz3	8
52	Groovy_MoonBird	7
52	ShedJr_	7
52	titanlax	7
52	_Dean_123	7
52	pallow	7
52	YungMaki	7
52	Steelynan	7
52	Hermanni__	7
52	kinas45y5	7
61	6king6colt6	6
61	I_Am_Mushkin	6
61	Jackster03	6
61	gcaisawesome	6
61	_Boipl_	6
61	fred870d	6
61	sxc_	6
61	RodSerlingCringe	6
61	wezzzi	6
61	yulgur1	6
61	MightyWertu	6
61	Hisiste	6
61	MovingFish7	6
61	__tomato	6
61	lcvezra	6
61	ProbsNotNova	6
61	jcool7	6
61	cichy096	6
61	Sral7	6
61	EcksDofficial	6
81	diamondgolem35	5
81	SaucyDark	5
81	_Razar	5
81	gaziter10	5
81	MattieHD	5
81	Fullut	5
81	Z3braYTIL	5
81	emrekn	5
81	Rumpletaezer	5
81	Arceus1975	5
81	gustarbite	5
81	Gryglu583	5
81	_Karmaa	5
81	claivin	5
81	stavgod	5
81	Spenduh	5
81	OfficerAnvil	5
98	nataliecool	4
98	MixerDixer	4
98	fanofbands101	4
98	JEWISHBadenBeele	4
98	Drlzyy	4
98	T045RTY	4
98	lotarp	4
98	oreee	4
98	bloodbiter	4
98	eclipseboi	4
98	xxPipperDipperxx	4
98	XboxPanda	4
98	WET_WET_WET	4
98	thewindmillman	4
98	ApophisNova	4
98	Onennon	4
98	chipklip	4
98	DarlaMeow	4
98	Shogunite	4
98	SingedBread	4
98	lordpipe	4
98	SammiWolfGirl	4
98	Skippeh	4
98	Ezekson	4
98	MyNamaSheff	4
98	Nicserso	4
124	Jovaphobic	3
124	seanitoo	3
124	strongman951753	3
