rank	username	minecraft:picked_up/minecraft:birch_sapling
1	Hyp3rion_	24874
2	Spacewardharpy7	17102
3	Smoke____	16777
4	Di_infiri	12507
5	thewindmillman	4981
6	Huwulling	4320
7	thescout7	4126
8	tuckerdoodle	2314
9	Blackberry1310	2238
10	pintsizedrogue	2214
11	HesDemonPants	1869
12	eitanzaki	1793
13	TheShyPig	1760
14	Snowflowe	1697
15	beeperbeeper5	1517
16	lordpipe	1112
17	El_Jalapeno	1046
18	EveryonesUncle	1041
19	noam464	1007
20	PortlyPete69	990
21	MyNameIsJobo	927
22	Legendosh	879
23	luseis	811
24	MightyWertu	779
25	kekhon	774
26	SteveCraftBlocks	770
27	PhantomsGhost_	666
27	sp00ky_ghost977	666
29	KarlKaek	644
30	Ezekson	640
31	_Nuf	637
32	CoffeeNoir	630
33	RebelAndroid	616
34	FreakGenius	614
35	diggydog67	610
36	Iamthejo	595
37	Cowison	589
38	joethahobo	547
39	HellsSponge	508
40	Mahoose	488
41	Kryktal	477
42	_Cloverbelle_	476
43	EcksD	463
44	NoChumpChange	446
45	SpacesickPrism	428
46	Giannism	425
47	Zythose	422
48	Malorn_Aetherius	395
48	Lord_Jord	395
50	legal_tax_evader	382
51	Mr_Byzantine	378
52	Akoot_	360
53	_Virify_	342
54	LeeMcGee30	341
55	eiC_	336
56	_Karmaa	332
57	Rasmanden	330
58	KingMatthew506	325
59	Jimb0nat0r	316
60	Skylord_Luke	314
61	ProfessorBee	305
62	BlancoFlaco	287
63	TooManyDuck	276
64	PazinGaming	270
65	eviltunix	256
66	brycepants	252
67	rarrq	251
68	Blaiku	244
69	nocturne78	242
70	Quotary	239
71	Hoid_the_Roamer	235
71	Steelynan	235
73	cheerytomato	233
74	Kakolbus	227
75	Zedducius	224
76	BumbleBeever	216
77	Onennon	207
78	Hermanni__	206
79	seramalen	203
80	LordSpeed37	202
81	NotMeanttoChange	197
81	YungMaki	197
83	Ryker	191
84	Groundler	186
85	Simon_Lowell	177
86	ZeroAbyssTTV	175
87	Deerfoot	172
88	Meatlaugh	169
89	The_slideV3	167
90	Esme_1	166
91	LeauVox4921	165
92	AlexStrange	163
93	Felenov	158
94	ShedJr_	155
95	dendydoom	154
95	Werbe	154
97	Zielo2017PL	150
98	Arceus1975	149
98	natajimi	149
100	Stiar	147
100	The11thDoctor	147
102	purpolepickle	146
102	M_Patata	146
102	MasterNueve	146
102	PlasticOtari	146
106	ImpavidArcher	145
107	TechnoNinja64	142
108	Soplight	140
109	DTwenty	138
110	ooga47	137
111	Human_Resource	135
112	RoofTyler	134
113	PeteO1995	132
113	Jimi7hits	132
115	PizzaJake	131
115	ReflexCode	131
117	Bumpy419	130
118	Wooptey	127
118	Katsuragi0243218	127
120	q_wq	126
121	Jonafrog99	124
122	Blu3beast	119
123	XboxPanda	118
123	grislgrobl	118
123	Mattesco	118
126	Wowful	117
127	MrKrabOnCoke	115
127	SPUDonSTEROIDS	115
129	Racengan	112
129	lcvezra	112
131	Drewen24	111
132	Nicky_H225	110
133	DkansK	107
134	hcb238	106
134	Enderxz3	106
136	Kowcio_	105
137	Inbefour	104
138	Bandito_Roamer	102
138	xPixelRainx	102
140	shineh10	101
141	SyntheticSurgeon	100
141	stuy9	100
143	500am	98
143	Elastiq	98
145	ApophisNova	96
145	MyNamaSheff	96
147	ediballbearings	95
147	jnp_gaming	95
149	SuperPooch06	94
150	BlueZabu	91
150	coobert42	91
152	Marbz_	90
152	LilLizardWizard	90
152	OfficerAnvil	90
155	TheSecondLord	89
156	EMC_	88
156	walll	88
158	djancak	86
159	burbankbuilder28	85
160	set67	84
161	Inchef	83
161	jaimshae	83
163	ItzYaBoiPicard	82
163	DubDoesGams	82
165	bladeefan2009	80
166	KlausVonStiglitz	79
167	wwwwinnebagoooo	78
167	monky_irl	78
169	Truckoss	77
169	07shiny	77
171	bigstankyy	76
172	Skippeh	75
173	DSYisDizzy	73
173	SunsetwolfGG	73
175	Krasnal1337	72
175	xxPipperDipperxx	72
175	UCP_TheKingK	72
178	Jovaphobic	71
178	12Magner05	71
180	SingedBread	70
181	UncreativeArtist	68
181	Gamergirl420628	68
181	Kynigito	68
181	AlexxO_o	68
185	Adlair	67
185	intropass	67
185	TheEnderMan548	67
188	Ozixar	66
188	Winklepicker279	66
188	kyouma777	66
191	RadarHz	65
192	Ravenbie	64
192	MattieHD	64
192	audiocracked	64
195	crying_wolf_13	63
195	MissCeleste7	63
197	Rebytre	62
197	MAns_44	62
199	wobn	60
199	Kijiki	60
201	Frozil20	59
201	TheThomas69	59
201	AlphaWolfPlaysMC	59
204	NatalieTW	58
205	gcaisawesome	57
205	__Fanda__	57
205	claivin	57
208	Swalt	56
208	ROY4LE	56
208	CattSoup	56
211	SaintJosie	55
212	CharlieButt	54
212	KeruNatsema	54
212	ADEXTV	54
215	CliffEmAll	53
215	Heisenbberrg	53
217	picardred	52
217	DermeinUser	52
217	WyngGoy	52
217	anbbang	52
221	parodypatient	51
222	Groovy_MoonBird	50
222	ashetrays	50
222	Lutres_Torane	50
222	Winston_Ingram	50
226	SHAOBADMAN	49
226	ori0le	49
228	DemTechAlpha	48
