rank	username	minecraft:picked_up/minecraft:blaze_rod
1	thewindmillman	202212
2	Spacewardharpy7	84424
3	Frozil20	20911
4	HellsSponge	6209
5	noam464	5440
6	Segotep999	3255
7	AdmiralSmoke	2601
8	Hyp3rion_	2587
9	Di_infiri	2411
10	ConnorDanky_	2249
11	bloodbiter	2100
12	thescout7	2062
13	ProfessorDiaper	1920
14	rarrq	1559
15	_lildarki3	1280
16	EcksD	1070
17	xolstoi	896
18	PhantomsGhost_	795
19	Lutres_	738
20	Jimb0nat0r	712
21	EMC_	706
22	eitanzaki	658
23	joethahobo	653
24	pintsizedrogue	586
25	luseis	521
26	Njensen7	520
27	Smashic	493
28	RebelAndroid	488
29	PigDab	463
30	IamCL4SSY	457
31	Myszoaz	448
32	dudcreeper	447
33	eiC_	433
34	6king6colt6	428
35	Blaiku	425
36	YungMaki	423
37	Tyrannosplart	407
38	Lord_Jord	396
39	kekhon	395
40	Bumpy419	388
41	FreakGenius	385
42	SteveCraftBlocks	384
43	jnp_gaming	376
44	Arceus1975	369
45	Nicserso	365
46	TheShyPig	322
47	oscminus	285
47	claivin	285
49	yulgur1	273
50	Euclidoris	266
51	vandmanden	265
52	rpmm	256
53	wezzzi	255
54	Fildyr	253
55	Vorlice	252
56	500am	251
57	lordpipe	247
58	TechnoNinja64	243
59	peach0s	242
60	Merv__	241
61	EveryonesUncle	239
62	NomadicRobin_	231
62	calamariclam_I	231
64	beeperbeeper5	229
65	lizardfightclub	228
66	4774	227
67	Mahoose	221
68	Lez_	217
69	Quincannon	203
70	Eraxa	199
71	Steelynan	193
72	sp00ky_ghost977	191
73	Flores991	186
74	yheece	184
75	Rasmanden	183
75	ReSynced	183
77	_Meow_Mix	172
78	SaucyDark	168
78	Kyrum2169	168
80	Snowflowe	166
81	I_Am_Mushkin	165
82	_TCARREIRA_	161
83	BobDeBouwer1337	160
83	WYFYoyo	160
85	Cocoamallows	159
86	Ezekson	156
87	diamondgolem35	152
87	TooManyDuck	152
89	M_Patata	151
89	MightyWertu	151
89	MasterNueve	151
92	MilleGrug	150
93	Alteriity	148
94	T045RTY	146
95	Inbefour	143
96	m_be9	141
97	CollinMH06	139
97	TheSeismicDuck	139
99	SingedBread	137
100	Hisiste	135
101	Rumpletaezer	133
101	Akoot_	133
101	monky_irl	133
104	SmashingPump	131
105	Kakolbus	130
106	Zoeyfortnite	129
107	Butternutsquatch	125
107	El_Jalapeno	125
109	Bandito_Roamer	123
110	gaziter10	121
111	F_Uhre	118
112	hanaryheatwave	114
113	Blackberry1310	113
113	whoaluv	113
113	Maenara	113
116	Xclax101	112
117	PlasticOtari	110
118	Huwulling	109
119	DTwenty	108
120	Comma__	105
120	Jackattack53	105
122	H72l9w	104
123	gcaisawesome	103
123	Groundler	103
125	mimbo1211	102
125	Iamthejo	102
125	Legendosh	102
128	Hoid_the_Roamer	101
129	ROY4LE	97
129	SaintJosie	97
129	__tomato	97
132	Manaateee	94
132	Skippeh	94
134	Jovaphobic	93
135	jimintyy	92
135	Razzgriz	92
135	Winston_Ingram	92
138	RefluxRatio	89
139	surfinggiraffejp	88
140	set67	87
140	Zaridey	87
140	_8man	87
140	Quotary	87
144	Cowison	86
144	mihimihimihi	86
144	pixelviolin	86
147	stellarjay	85
148	Fullut	83
149	MyNameIsJobo	81
150	TheSecondLord	80
150	djancak	80
150	PortlyPete69	80
153	livingdaydreams	79
154	AlphaWolfPlaysMC	78
155	LeonelSalamanca	77
155	skrongus	77
157	UrbanPlanningEx	76
157	diggydog67	76
159	mwrty	75
160	MattieHD	74
161	fanofbands101	72
161	youhjjhhhjj	72
163	ApophisNova	71
163	MyNamaSheff	71
165	Zythose	70
166	Groovy_MoonBird	69
167	BPTY4618	68
167	crying_wolf_13	68
167	OfficerAnvil	68
170	xxPipperDipperxx	67
171	r123moore	66
172	h2p_emrld	65
173	Swexti	64
173	Giannism	64
173	Sh4bby	64
173	2blox_	64
177	SellyZ	63
178	Deodorante	62
178	_Karmaa	62
178	xzvu	62
181	slkiey	60
182	q_wq	59
182	himak1	59
184	Dakar_	58
185	fw3xy74	57
185	fluddd	57
185	stavgod	57
188	pappaberg	56
189	ougstur	55
189	GooseWithin	55
191	Historical_Sand	53
191	JayToe	53
193	Guillemet	52
193	Blu3beast	52
195	Ninzyyy	50
195	SexcMf	50
197	12Magner05	49
197	Barlycorn	49
197	Enderxz3	49
200	laron58	48
201	ECstardust	47
201	censorsheep	47
201	tartanboy	47
204	Wanjibon	46
205	ColeSnyder	45
205	RobotMinion101	45
207	k_ce	43
207	Killercatty78	43
207	ThePoliteG	43
210	Nach0Bear	42
210	TheOnlyRake	42
212	MintyTuna	41
212	Mattesco	41
212	TheTrueClipse	41
215	Malorn_Aetherius	40
215	ProfessorBee	40
217	King_Pancake1	39
217	Karbl	39
217	SSytex_X	39
220	Vizzoid	38
220	Inchef	38
220	masskedman	38
223	CarsonDoesMine	37
223	Toriankel	37
225	33sudo	36
225	Heisenbberrg	36
227	zorin123	35
227	tobinwilliams	35
227	Corbsman	35
227	Druid95	35
227	PlzNoBM	35
232	KingFaenor	33
232	AlexxO_o	33
232	DanTheBuilderino	33
232	07shiny	33
236	Tolhart	32
236	J4k__	32
236	HolyVenom	32
236	FishisTTV	32
240	Apollo_993	31
240	Paleshield	31
240	paranoid_plant	31
240	godipose	31
240	Racengan	31
240	_AAZAR	31
246	DarlaMeow	30
246	ReflexCode	30
246	lcvezra	30
249	Mewar	29
249	Bazongoman	29
249	GoofyBread	29
249	Deguns123	29
249	FelixPSY375	29
254	CLG_Kata	28
254	RatatJuice	28
254	301851	28
254	heckface	28
254	GLLogan2	28
254	Soplight	28
260	Megarboh	27
260	Secret_Canary	27
260	RadarHz	27
263	lotarp	26
263	Hiryu27	26
263	xDraggin	26
266	tuckerdoodle	25
266	HollieDaNugget	25
266	lorpus	25
266	Paintz	25
266	Onennon	25
266	Soap_Bender	25
266	AssFullaCum	25
273	Winklepicker279	24
273	LetsDoItLive	24
273	Kowcio_	24
273	Sral7	24
277	_Virify_	23
277	shadowthemonkey	23
277	MirielThePastor	23
280	FujiBS	22
280	Ryker	22
280	TheDiamondCG	22
280	ebanana	22
280	Typadopoulos	22
280	IdeallyGrey	22
280	striker90333	22
280	MandenR1	22
288	Xalithia	21
288	mariominejedi	21
288	The11thDoctor	21
288	ClemenPine	21
288	AssassinAshton	21
293	ITDV	20
293	LilyNova	20
293	EngagedGrub41	20
296	SuperSkrull	19
296	ThatBurritoTh0	19
298	H0UNDFRMH3LL	18
298	corvidpartyfor6	18
298	UncreativeArtist	18
