rank	username	minecraft:picked_up/minecraft:pink_banner
1	lordpipe	41
2	kekhon	34
3	beeperbeeper5	19
4	Legendosh	15
5	Ezekson	9
6	eitanzaki	7
7	Werbe	5
7	Akoot_	5
7	chipklip	5
7	AssEatrAndLicker	5
11	Incinere	4
11	ShedJr_	4
11	EcksDofficial	4
14	Smoke____	3
15	pintsizedrogue	2
15	Simon_Lowell	2
15	pr33tu	2
15	500am	2
15	noam464	2
15	Tkraack	2
15	The_slideV3	2
15	Blu3beast	2
15	Blaiku	2
15	MakeHistory157	2
15	Eraxa	2
15	starbits140	2
15	mobunni	2
28	PhantomsGhost_	1
28	joethahobo	1
28	Blackberry1310	1
28	xxPipperDipperxx	1
28	claivin	1
28	Spacewardharpy7	1
28	LordSpeed37	1
28	sadvavilloso	1
28	stahouo	1
28	SammiWolfGirl	1
28	VentiHilton	1
