rank	username	minecraft:picked_up/minecraft:candle
1	Hyp3rion_	43781
2	thewindmillman	38482
3	AdmiralSmoke	3684
4	NomadicRobin_	1026
5	Mahoose	553
6	Manaateee	326
7	TheSecondLord	314
8	CattSoup	284
9	Nicserso	237
10	noam464	232
11	MineMaster0012	224
12	LeonelSalamanca	204
13	PlasticOtari	202
14	Kowcio_	200
15	pintsizedrogue	138
16	Crowman1	136
17	Lez_	100
18	ImpavidArcher	98
19	YungMaki	95
20	diamondgolem35	84
21	_Dean_123	82
22	SquadMonster	73
23	Z3braYTIL	71
24	Lord_Jord	70
25	SvenskaHugo	69
26	2Stout	66
27	KarlKaek	65
27	Inchef	65
29	Kakolbus	64
30	xxPipperDipperxx	59
31	fluddd	57
32	Legendosh	56
33	Pineapplesugr	46
34	Prismyst	45
35	12Magner05	44
36	joethahobo	42
37	luseis	38
38	Ezekson	34
39	Jimb0nat0r	33
40	MrKrabOnCoke	31
40	Sleepy_Time_	31
42	500am	28
42	EtherealEspresso	28
44	rachcl	27
45	CoffeeNoir	23
46	SuperPooch06	21
47	ZoomieZoomie	19
47	Enderxz3	19
49	k_ce	17
49	Apollo_993	17
49	Skylord_Luke	17
52	RatatJuice	16
52	Mattesco	16
54	SmashingPump	12
54	olliebollie48	12
56	pixelviolin	11
56	SpacesickPrism	11
58	jessewegottacook	10
58	_Nat666	10
58	Jackattack53	10
58	_Karmaa	10
58	mihimihimihi	10
63	CarryLine	9
63	CheifJumbo	9
65	orxngejuice	8
65	Dakar_	8
65	Njensen7	8
68	Blackberry1310	7
68	EveryonesUncle	7
68	MAns_44	7
71	Mr_Byzantine	6
71	beeperbeeper5	6
71	StinkyDiplomat	6
71	Lord_Doob	6
75	Merv__	5
75	Eczbek	5
77	xvphmura	4
77	Krasnal1337	4
77	SpaceCor3_	4
77	rarrq	4
77	thebaddruid	4
77	AlexxO_o	4
77	Akoot_	4
77	AuroraSkies	4
77	Hermanni__	4
86	_Huge_Male_	3
86	RoskobiOne	3
86	PazinGaming	3
86	EMC_	3
86	drunkeeez	3
86	Krowuss	3
86	Joestra	3
86	FreakGenius	3
86	UCP_TheKingK	3
95	CaracolCxnt	2
95	Papudron	2
95	Smashic	2
95	Arceus1975	2
95	Spacewardharpy7	2
100	Myszoaz	1
100	MrExplorer	1
100	lorpus	1
100	Btabtab	1
100	Luminad3	1
100	groofles	1
100	secondstepsis	1
100	_Mythic____	1
100	Segotep999	1
100	starbits140	1
100	EcksD	1
