rank	username	minecraft:picked_up/minecraft:lime_shulker_box
1	beeperbeeper5	898
2	pintsizedrogue	610
3	sp00ky_ghost977	373
4	Euclidoris	339
5	Eraxa	328
6	Fullut	309
7	T045RTY	303
8	Inbefour	295
9	joethahobo	273
10	HellsSponge	265
11	Racengan	197
12	Skippeh	196
13	Deathkob	191
14	NameGenerat0r	167
15	Merv__	163
16	Skylord_Luke	154
17	Mahoose	153
18	Xalithia	152
18	Quaintster	152
20	Blaiku	148
21	Hyp3rion_	140
22	500am	133
22	EcksD	133
24	jnp_gaming	132
25	pixelviolin	125
26	Smoke____	124
27	ApophisNova	123
27	MyNamaSheff	123
29	Werbe	119
30	mwrty	112
31	titanlax	109
32	SaucyDark	107
33	eitanzaki	97
33	Bumpy419	97
35	claivin	95
35	Fizznut909	95
37	thewindmillman	94
38	rarrq	90
39	Historical_Sand	84
40	Groundler	78
41	kekhon	74
42	stellarjay	73
42	PlasticOtari	73
44	MightyWertu	72
45	noam464	71
46	Chromary	70
47	intropass	68
48	gcaisawesome	66
49	chipklip	64
50	fluddd	60
51	lillips	59
52	Zythose	54
53	Snowflowe	52
54	Enderslayerxz3	48
55	oxfordschool	47
56	TheSecondLord	43
57	Xclax101	37
57	TechnoNinja64	37
59	YungMaki	36
60	stahouo	34
61	fr0stss	31
62	Arceus1975	29
63	ProfessorBee	28
63	Sky_light_KING	28
63	Dogcorn69420	28
66	MattieHD	27
67	r123moore	26
68	Akoot_	25
68	Quotary	25
70	_Bguette_	23
71	Myszoaz	22
71	Ecplosive	22
71	Jiminie	22
71	Soplight	22
75	MyNameIsJobo	21
76	Zoeyfortnite	20
77	TheShyPig	19
77	Nicserso	19
79	xxPipperDipperxx	17
79	Marbz_	17
79	Blu3beast	17
79	EcksDofficial	17
83	MSK__	16
83	lordpipe	16
85	_Virify_	15
86	MixerDixer	14
86	SammiWolfGirl	14
88	jcool7	13
88	Njensen7	13
90	__tomato	12
90	Eczbek	12
92	JEWISHBadenBeele	11
92	12Magner05	11
92	Lord_Jord	11
92	TheSeismicDuck	11
92	Spacewardharpy7	11
92	ZeroKraken	11
98	pappaberg	10
98	EveryonesUncle	10
98	Hisiste	10
98	felincaus	10
102	pZygh0st	9
102	jushykins	9
104	Jovaphobic	8
104	Cryptacity	8
104	Rumpletaezer	8
104	King_Pancake1	8
104	Hoid_the_Roamer	8
104	sebastiensaborio	8
110	_Dean_123	7
110	MangoTheFish	7
110	Razzgriz	7
113	Incinere	6
113	Katthaj	6
113	ElKaySVK	6
113	K_a__a_n	6
113	Sral7	6
118	seanitoo	5
118	Di_infiri	5
118	Freak_Genius	5
118	BlueWyvern5170	5
118	Miko_Fullbuster	5
118	Ezekson	5
118	Legendosh	5
125	teslawolf38	4
125	SpaceGrenadier	4
125	emrekn	4
125	Steven1282598	4
125	SexcMf	4
130	PhantomsGhost_	3
130	NomadicRobin_	3
130	audiocracked	3
130	PortlyPete69	3
134	6king6colt6	2
134	KarlKaek	2
134	ssleepless	2
134	BoraMC	2
134	noodlepack	2
134	NotKaden_	2
134	gabriels543	2
134	SuperPooch06	2
134	PigDab	2
134	wezzzi	2
134	Soap_Bender	2
134	Shogunite	2
134	Cyntrical	2
134	Smiguli_	2
134	WyngGoy	2
134	sadvavilloso	2
150	Wolf_Mauler_73	1
150	IronArshXS	1
150	ExtraDumb	1
150	Sebastiannlol	1
150	_Nuf	1
150	SteveCraftBlocks	1
150	G1ldor	1
150	Masssonnn	1
150	XboxPanda	1
150	TheDankPlatypus	1
150	Jackattack53	1
150	drompje	1
150	DAD_1996	1
150	k1ngGilgamesh	1
150	sxc_	1
150	censorsheep	1
150	Frozil12	1
150	MovingFish7	1
150	Xovalt_	1
150	obzii	1
150	_3Stump_	1
150	2blox	1
150	kinas45y5	1
