rank	username	minecraft:picked_up/minecraft:smooth_quartz_stairs
1	lordpipe	1186
2	Freak_Genius	1070
3	wwwwinnebagoooo	925
4	noam464	775
5	himak1	665
6	Ezekson	644
7	Di_infiri	538
8	Snowflowe	489
9	Mahoose	480
10	Hyp3rion_	445
11	kekhon	395
12	pintsizedrogue	371
12	eitanzaki	371
14	EveryonesUncle	329
15	YungMaki	299
16	Eczbek	292
17	ImpavidArcher	288
18	Frozil12	281
19	EcksDofficial	274
20	_Karmaa	263
21	Blaiku	234
22	lillips	224
23	beeperbeeper5	221
24	Sral7	211
25	AltnumberF4	201
26	Spacewardharpy7	150
26	jnp_gaming	150
28	NameGenerat0r	130
29	The_slideV3	124
30	Blu3beast	106
31	Deerfoot	87
32	Marbz_	80
33	Merv__	75
34	TheSecondLord	69
34	ooga47	69
36	PigDab	66
37	Chromary	64
38	fffMike	59
39	MakeHistory157	51
40	Prismyst	49
41	Soplight	48
42	thescout7	47
43	joethahobo	46
44	stavgod	44
45	LexMakesHistory	43
46	Arceus1975	40
47	ApophisNova	36
47	MyNamaSheff	36
49	Akoot_	33
50	Lord_Jord	30
51	oxfordschool	29
52	FishyBoy3811	27
53	NotMeanttoChange	25
54	Cowison	24
54	Spenduh	24
56	m_be9	23
57	Kubeusz2010	19
58	egglapras	18
59	_Dean_123	17
59	fluddd	17
59	Eraxa	17
62	RodSerlingCringe	14
62	KG1999	14
64	ColeSnyder	13
64	paranoid_plant	13
64	cedric72	13
64	VentiHilton	13
68	Lutres_Torane	12
68	SingedBread	12
70	Incinere	11
70	Smashic	11
70	NomadicRobin_	11
73	Jackattack53	10
73	mobunni	10
75	Historical_Sand	9
75	oreee	9
77	Steelynan	8
78	thewindmillman	6
78	HellsSponge	6
80	TheTommyGun63	5
80	cichy096	5
80	TechnoNinja64	5
83	hm947	4
83	PlasticOtari	4
85	EMC_	3
85	rarrq	3
85	ROY4LE	3
85	M_Patata	3
85	MangoTheFish	3
85	Rocco_Lane	3
85	Truckoss	3
85	MAns_44	3
85	MasterNueve	3
85	jcool7	3
95	SpaceGrenadier	2
95	Zythose	2
95	Sky_light_KING	2
95	chipklip	2
95	sadvavilloso	2
95	obzii	2
101	PhantomsGhost_	1
101	Huwulling	1
101	Blackberry1310	1
101	eclipseboi	1
101	SteveCraftBlocks	1
101	set67	1
101	loveseeker	1
101	TheShyPig	1
101	fw3xywashere	1
101	_Bguette_	1
101	__Auspicious	1
101	Nagasaki_Riku	1
101	Optiprimus	1
101	stahouo	1
101	The_SlideV5	1
101	Zoeyfortnite	1
101	Smoke____	1
