rank	username	minecraft:picked_up/minecraft:piglin_head
1	ECstardust	7
2	beeperbeeper5	3
3	Enderxz3	2
4	TheSecondLord	1
4	oscminus	1
4	AlexxO_o	1
4	Manaateee	1
