rank	username	minecraft:picked_up/minecraft:chiseled_tuff_bricks
1	Enderxz3	1172
2	pixelviolin	240
3	thewindmillman	214
4	Buuck_	213
5	Secret_Canary	152
6	CLG_Kata	104
7	Spaghettatron	51
8	k_ce	44
9	Eczbek	41
10	oscminus	37
11	Yamdalorian	34
12	MyMawgDonaldsGon	32
13	Mr_Byzantine	31
14	00000000-0000-0000-0009-01fe065167f0	10
15	MattieHD	9
16	MAns_44	6
17	net_flex	5
18	Soplight	4
19	Werbe	3
20	Merv__	2
20	lumiscosity	2
20	beeperbeeper5	2
20	cutelilreno	2
20	_Mythic____	2
25	lpinfinity	1
25	TheKingK_	1
25	KamFurnace	1
