rank	username	minecraft:picked_up/minecraft:brain_coral
1	Di_infiri	133
2	El_Jalapeno	129
3	Kouridragon	117
4	Legendosh	93
5	kekhon	65
6	Enderslayerxz3	64
7	ImpavidArcher	41
8	TheShyPig	37
9	12Magner05	24
10	beeperbeeper5	23
10	Fullut	23
10	Hyp3rion_	23
13	pintsizedrogue	21
14	livingdaydreams	19
14	lordpipe	19
16	_Dean_123	17
17	Mahoose	15
17	ApophisNova	15
17	MyNamaSheff	15
20	500am	14
20	YungMaki	14
22	Blackberry1310	12
22	Mewar	12
22	Xalithia	12
22	HellsSponge	12
26	SaucyDark	11
27	Jovaphobic	10
27	Vetral1	10
29	Merv__	8
29	AuroraValkyrie	8
29	TheSecondLord	8
29	Bumpy419	8
33	Ssor69	7
33	noam464	7
33	__tomato	7
33	Luigipunch989	7
37	Quotary	6
37	Smoke____	6
39	Bandito_Roamer	5
39	thewindmillman	5
39	balin55	5
39	Quaintster	5
39	oxfordschool	5
39	TechnoNinja64	5
45	eiC_	4
45	Rumpletaezer	4
45	Jiminie	4
45	Blaiku	4
45	IdeallyGrey	4
45	djancak	4
51	Iagoku	3
51	tsohomie	3
51	urbeans	3
51	surfinggiraffejp	3
51	Marbz_	3
51	MyNameIsJobo	3
51	Snowflowe	3
51	Onennon	3
51	HolyVenom	3
51	Maenara	3
51	Inbefour	3
51	Dusk_95	3
51	Nagasaki_Riku	3
51	lcvezra	3
51	sebastiensaborio	3
51	EcksD	3
67	Stynxy	2
67	bloodbiter	2
67	TheDankPlatypus	2
67	Arceus1975	2
67	Werbe	2
67	RobotMinion101	2
67	aec9	2
67	KeruNatsema	2
67	Akoot_	2
67	AssEatrAndLicker	2
67	Factoroni	2
67	WyngGoy	2
67	Soplight	2
67	KingMatthew506	2
67	YoshikageBites	2
67	h2p_emrld	2
67	diggydog67	2
84	abramgray	1
84	6king6colt6	1
84	KarlKaek	1
84	joethahobo	1
84	H72l9w	1
84	Cryptacity	1
84	Covalents	1
84	M_Patata	1
84	Kakolbus	1
84	Winklepicker279	1
84	Jackattack53	1
84	burbankbuilder28	1
84	Donutt	1
84	PigDab	1
84	OtariCharlie	1
84	Eerini	1
84	TheSeismicDuck	1
84	Deathkob	1
84	Karbl	1
84	NameGenerat0r	1
84	Freak_Genius	1
84	Typadopoulos	1
84	MasterNueve	1
84	MakeHistory157	1
84	PortlyPete69	1
84	laron58	1
84	HesDemonPants	1
84	Powowowow	1
84	Sral7	1
