rank	username	minecraft:picked_up/minecraft:salmon_bucket
1	Blackberry1310	14
2	Mahoose	13
3	TheSecondLord	8
3	Hyp3rion_	8
5	kekhon	4
5	luseis	4
5	lcvezra	4
8	joethahobo	3
8	500am	3
8	pappaberg	3
8	HellsSponge	3
12	Guillemet	2
12	oscminus	2
12	Mattesco	2
12	Akoot_	2
12	NomadicRobin_	2
12	claivin	2
12	TechnoNinja64	2
19	eitanzaki	1
19	Alteriity	1
19	beeperbeeper5	1
19	Prodiginus	1
19	ProfessorBee	1
19	_Dean_123	1
19	himak1	1
19	Inchef	1
19	Werbe	1
19	F_Uhre	1
19	Maenara	1
19	natajimi	1
19	_Bguette_	1
19	FreakGenius	1
19	Blu3beast	1
19	Airem_Core	1
19	YungMaki	1
19	Segotep999	1
19	Soplight	1
19	xzvu	1
19	EcksD	1
19	Enderxz3	1
