rank	username	minecraft:picked_up/minecraft:gray_stained_glass
1	thewindmillman	2844
2	mwrty	2773
3	thescout7	2689
4	joethahobo	1530
5	cog	958
6	MixerDixer	881
7	noam464	666
8	Mahoose	604
9	Spacewardharpy7	355
10	non089	326
11	AdmiralSmoke	291
12	eitanzaki	264
13	jnp_gaming	249
14	beeperbeeper5	236
15	Merv__	200
16	PlasticOtari	194
17	Enderxz3	186
18	Zoeyfortnite	170
19	Deathkob	168
20	Blackberry1310	158
21	TheSecondLord	156
22	rarrq	130
23	Di_infiri	119
24	Ryan_GEMS	117
25	_Virify_	111
26	oreee	99
27	Blaiku	95
28	Groundler	93
29	Soplight	90
30	500am	83
31	mihimihimihi	71
32	Mattesco	67
33	MattieHD	64
34	Arceus1975	59
35	pixelviolin	57
36	_Mythic____	54
37	JETrotter	52
38	kekhon	51
39	Secret_Canary	44
40	Rebytre	37
40	Manaateee	37
42	MyNameIsJobo	36
43	Huwulling	34
44	ApophisNova	33
44	MyNamaSheff	33
46	skrongus	32
47	ImpavidArcher	30
47	NomadicRobin_	30
49	M_Patata	24
49	MasterNueve	24
51	lorpus	23
52	xzvu	21
53	ZeroKraken	19
54	Inchef	18
55	Skippeh	17
56	the__Reaper4999	16
57	CLG_Kata	15
57	Jorrdi	15
59	pintsizedrogue	12
59	EMC_	12
61	Historical_Sand	9
61	Stynxy	9
61	MonitorLizards	9
61	LeonelSalamanca	9
61	lcvezra	9
66	CliffEmAll	8
66	Zythose	8
66	XxCookiequeenxX	8
66	Xclax101	8
70	_Dean_123	7
70	Werbe	7
70	Akoot_	7
70	Fuad_R	7
70	Spenduh	7
75	Lez_	6
75	SuperPooch06	6
75	PigDab	6
75	masskedman	6
75	El_Jalapeno	6
75	fluddd	6
81	Frozil20	5
81	HyperCave	5
81	GooseWithin	5
84	emrekn	4
84	F_Uhre	4
84	TheShyPig	4
84	ogoa	4
84	ConnorDanky_	4
84	Quotary	4
84	MirielThePastor	4
84	Jimb0nat0r	4
92	BobDeBouwer1337	3
92	EveryonesUncle	3
92	LexMakesHistory	3
92	Eraxa	3
96	teslawolf38	2
96	Hpdinosaur	2
96	Chromary	2
96	Skylord_Luke	2
96	Maenara	2
96	SexcMf	2
96	YungMaki	2
96	FelixPSY375	2
104	PazinGaming	1
104	xxPipperDipperxx	1
104	Marbz_	1
104	Hoid_the_Roamer	1
104	IamCL4SSY	1
104	Inbefour	1
104	luseis	1
104	lillips	1
104	StinkyDiplomat	1
104	Blu3beast	1
104	lordpipe	1
104	TheTommyGun63	1
104	Kura2218	1
104	KingMatthew506	1
104	h2p_emrld	1
