rank	username	minecraft:picked_up/minecraft:crimson_stairs
1	beeperbeeper5	463
2	Segotep999	431
3	Awyrlas	392
4	shadowthemonkey	358
5	12Magner05	198
6	rarrq	135
7	Lord_Jord	124
8	Steelynan	120
9	Mattesco	111
10	_Razaria	96
11	Legendosh	91
12	xxPipperDipperxx	89
13	Mahoose	79
14	lunathelemon	78
15	Marbz_	72
16	FreakGenius	58
17	livingdaydreams	47
18	Billious	46
19	AdmiralSmoke	39
20	Manaateee	37
21	Jonafrog99	34
22	Kowcio_	31
22	Nicserso	31
24	Rebytre	30
25	Enderxz3	28
26	Dakar_	26
27	Werbe	25
28	Lutres_	24
29	lordpipe	20
30	RebelAndroid	19
30	Jackattack53	19
32	pintsizedrogue	16
33	kyouma777	15
33	Luigipunch989	15
35	Mr_Byzantine	14
35	Syropatathe	14
35	Optiprimus	14
38	himak1	13
39	ShedJr_	12
40	Jindong	11
40	kekhon	11
40	noam464	11
43	PazinGaming	10
43	PlasticOtari	10
45	soundad	9
45	Lez_	9
45	set67	9
48	EveryonesUncle	8
49	KarlKaek	7
49	Touched_Bread	7
49	HellsSponge	7
49	weabis	7
53	TheSecondLord	5
53	thewindmillman	5
55	BobDeBouwer1337	4
55	luseis	4
57	jessewegottacook	3
57	r123moore	3
57	breadbowlgamer	3
57	MAns_44	3
57	BiggieDawg	3
62	0Vyp_	2
62	Skylord_Luke	2
62	TheWildMateo	2
62	TheShyPig	2
66	k_ce	1
66	ChumpyCat	1
66	_Huge_Male_	1
66	Frozil20	1
66	joethahobo	1
66	SteveCraftBlocks	1
66	fReE_bAtWiNg	1
66	lillips	1
66	shrimp_flips	1
66	Eraxa	1
66	SvenskaHugo	1
66	obzii	1
