rank	username	minecraft:picked_up/minecraft:red_sandstone
1	thewindmillman	701
2	SDMNAEK	503
3	Freak_Genius	458
4	Xclax101	433
5	TheShyPig	354
6	Wowful	302
7	ImpavidArcher	195
8	TheWildMateo	180
9	Parcc	131
10	lordpipe	83
11	Steelynan	70
12	Fullut	66
13	The_Quack_Dealer	64
14	PhantomsGhost_	55
15	El_Jalapeno	51
16	Frozil20	49
17	Groovy_MoonBird	41
17	RobotMinion101	41
19	Eraxa	40
19	Smoke____	40
21	Lori_Jenkinss	29
22	ProfessorBee	21
23	audiocracked	17
24	bloodbiter	16
25	Merv__	13
26	RatatJuice	11
26	Jackattack53	11
28	oxfordschool	7
29	wwwwinnebagoooo	6
30	Onennon	5
30	HellsSponge	5
32	pintsizedrogue	4
32	eitanzaki	4
32	ROY4LE	4
32	Sral7	4
36	TrollerYT	3
37	joethahobo	2
37	MrKrabOnCoke	2
37	noam464	2
37	Di_infiri	2
37	Moofyman	2
42	lotarp	1
42	loveseeker	1
42	ItsDeltaMC	1
42	KingMatthew506	1
