rank	username	minecraft:picked_up/minecraft:oak_sapling
1	Hyp3rion_	37640
2	Spacewardharpy7	33868
3	thewindmillman	11121
4	Di_infiri	10813
5	Blackberry1310	9745
6	noam464	9326
7	thescout7	7184
8	Smoke____	6790
9	EveryonesUncle	6727
10	HesDemonPants	4823
11	eitanzaki	4800
12	Freak_Genius	4067
13	Legendosh	4048
14	TheShyPig	3716
15	_Virify_	3411
16	El_Jalapeno	3375
17	CoffeeNoir	2847
18	HellsSponge	2829
19	m_be9	2547
20	PhantomsGhost_	2123
21	Snowflowe	2023
22	PigDab	2007
23	lordpipe	1923
24	Marbz_	1915
25	Dogcorn69420	1883
26	MyNameIsJobo	1772
27	Quotary	1539
28	2Stout	1518
29	Miko_Fullbuster	1454
30	Bumpy419	1425
31	Lord_Jord	1379
32	LordSpeed37	1370
33	Werbe	1363
34	Mahoose	1358
35	fkGrim	1227
36	Ezekson	1217
37	Kakolbus	1193
38	eiC_	1150
39	joethahobo	1143
40	beeperbeeper5	1133
41	Mr_Byzantine	1112
42	Onennon	1094
43	MightyWertu	1082
44	Hermanni__	1074
45	gcaisawesome	1040
46	CharlieButt	1038
47	Kouridragon	999
48	TechnoNinja64	992
49	cowgirlkasia	991
50	ROY4LE	990
51	Winklepicker279	985
52	pintsizedrogue	981
53	KingMatthew506	976
54	rarrq	971
55	burbankbuilder28	950
56	Euclidoris	934
57	YungMaki	925
58	Jovaphobic	875
59	TheThomas69	855
60	Blu3beast	835
61	Hisiste	824
62	Akoot_	788
63	Malorn_Aetherius	785
64	Skylord_Luke	779
65	_Karmaa	773
66	Jiminie	752
67	Cocoamallows	739
68	BumbleBeever	737
69	SteveCraftBlocks	723
70	ooga47	712
71	EMC_	702
72	Racengan	679
73	ApophisNova	666
73	MyNamaSheff	666
75	hcb238	648
76	set67	621
77	Inchef	608
78	RadarHz	606
79	Ssor69	605
80	mwrty	598
81	OfficerAnvil	589
82	Blaiku	587
83	Prodiginus	586
84	Arceus1975	582
85	crying_wolf_13	576
86	RebelAndroid	569
87	oxfordschool	546
88	djancak	543
89	Wooptey	541
90	jnp_gaming	539
91	EcksD	537
92	awesomeoneme	529
92	IWorkAtIkea	529
94	anbbang	523
95	TheFlfthHorseman	517
96	Lutres_Torane	515
97	kekhon	510
97	WET_WET_WET	510
99	Katsuragi0243218	505
100	WyngGoy	494
101	PeteO1995	493
102	cedric72	461
103	PortlyPete69	456
104	__tomato	452
105	Enderslayerxz3	451
106	Matemaks2137	448
107	claivin	445
108	Cowison	435
109	AlphaWolfPlaysMC	425
110	TastyPorkchop	422
111	SlayerCrypto	415
112	Darkgon	413
113	Steelynan	407
114	Merv__	399
115	fr0stss	398
116	Cryptacity	393
117	ewsophie	390
117	masskedman	390
119	Xclax101	389
120	PlzNoBM	387
121	Frozil12	384
122	wobn	381
123	Inbefour	379
124	NotMeanttoChange	378
124	Warlord324	378
126	youhjjhhhjj	371
127	Paleshield	370
128	07shiny	369
129	Eraxa	367
130	DanTheBuilderino	366
131	Drewen24	361
132	jacxhadow	359
133	bloodbiter	358
134	GingerNeutron	355
135	ProfessorBee	354
136	Fullut	350
137	Truckoss	345
138	Sral7	344
139	Vizzoid	341
140	TheDankPlatypus	339
141	Bandito_Roamer	338
141	Zythose	338
143	Njensen7	336
144	Megarboh	332
145	Groundler	329
146	_Dean_123	325
147	jaimshae	323
148	The11thDoctor	316
149	XboxPanda	306
149	The_slideV3	306
151	ori0le	305
152	q_wq	303
152	_Nuf	303
154	himak1	302
154	Jimi7hits	302
156	NomadicRobin_	300
157	CarltheCuck	299
158	Smaldo	298
159	DemTechAlpha	296
159	ReyTheLegend	296
161	Historical_Sand	295
162	Nycteus_	291
163	sp00ky_ghost977	290
164	Rebytre	289
165	Meatlaugh	284
166	Comma__	280
166	ThePoliteG	280
168	oreee	279
168	Zaridey	279
170	ShedJr_	276
171	wwwwinnebagoooo	275
172	lcvezra	261
173	PegLegPete93	259
173	Deathkob	259
175	SammiWolfGirl	257
176	ssleepless	256
176	Kijiki	256
176	Soplight	256
176	Powowowow	256
180	6king6colt6	254
181	laron58	246
182	TheSecondLord	244
182	wiqor	244
184	Fuhrer_Teemo	243
185	TableTim	241
185	Rumpletaezer	241
185	avalan64	241
188	AvaRosey	235
189	Leyna3	234
190	500am	233
190	Kowcio_	233
192	ExtraDumb	230
193	Menthas	226
193	Soap_Bender	226
195	ehunt54	225
196	markaus77	221
196	CalebDHawk	221
198	Airem_Core	220
199	master9067	216
199	SvenskaHugo	216
199	Nicserso	216
202	MissCeleste7	215
203	xxPipperDipperxx	214
204	Quincannon	212
204	CoryJJ	212
206	SuperPooch06	208
207	KingFaenor	207
208	Purplehere	206
209	MattieHD	202
210	Karetoko	199
211	MixerDixer	196
211	Hoid_the_Roamer	196
211	DanielMmm	196
214	Shogunite	194
215	SyK7	192
215	ogoa	192
217	Rainaldus	191
218	ColeSnyder	189
218	seramalen	189
218	natajimi	189
221	mariominejedi	187
222	Z3braYTIL	185
223	titanlax	182
224	SexcMf	181
225	TheEnderman548	180
226	Nicky19	179
226	diggydog67	179
228	livingdaydreams	178
229	slkiey	176
229	Vorlice	176
231	wezzzi	175
232	KlausVonStiglitz	174
233	RodSerlingCringe	173
234	yulgur1	170
235	RefluxRatio	168
235	MilleGrug	168
237	BlancoFlaco	166
238	Groovy_MoonBird	165
239	fanofbands101	164
240	Swexti	163
240	Ecplosive	163
242	UncreativeArtist	161
243	mawileite	160
244	Felenov	158
244	_Bguette_	158
246	Hiryu27	155
247	chlorinex	151
248	Stiar	150
248	Nekomin0	150
248	jcool7	150
251	Ryker	149
252	Mewar	148
252	CarryLine	148
254	Skomo	147
254	Fildyr	147
254	SkateboardR6	147
257	TheSeismicDuck	146
258	Freedrik	145
259	wrinkledpiglet	144
260	Invisie	143
261	WarHammer3	142
261	moertymoertan	142
263	Quaintster	141
264	stellarjay	140
265	whoaluv	139
265	impossibleteapot	139
267	ZaneABrain	137
268	seanitoo	134
268	DarkS0L	134
270	KarlKaek	133
270	Lumien_	133
272	TooManyDuck	132
272	GLLogan2	132
274	Vellu21	131
275	Ozixar	130
275	BobDeBouwer1337	130
275	blimpeey	130
278	ratglock	129
278	ElderRifken	129
280	momis24	128
281	BodaciousCake	127
282	SHAOBADMAN	126
283	LeeMcGee30	124
283	EcksDofficial	124
285	SSytex_X	123
286	tortillatitan	122
286	Drawgirll	122
288	FishisTTV	121
289	_NieToksikpl_	120
289	FroggoTheDoggo	120
289	PabloGonza02	120
292	kyouma777	118
293	Eman__1	117
293	OG_Songsee	117
293	stavgod	117
296	chipklip	115
296	MAns_44	115
296	Kyrum2169	115
299	Toiton	114
299	Lowjinx	114
