rank	username	minecraft:picked_up/minecraft:bamboo_block
1	Hyp3rion_	366453
2	Jackattack53	4487
3	Alteriity	1792
4	k_ce	660
5	BTL_craft	578
6	_Duckery	555
7	Mr_Byzantine	420
8	Hoid_the_Roamer	244
9	robonya_	218
10	Mr_Sun15	212
11	Buuck_	196
12	fragrantmonke444	167
13	Penguinllama517	145
14	Fullbit_	138
15	KarlKaek	129
16	Yamdalorian	88
17	Synthoum	77
18	Enderxz3	73
19	akap47	70
20	EveryonesUncle	65
21	Dark_Crusader21	62
22	Werbe	44
23	pretty_pink_reno	43
24	Mr_Froxy	41
25	Manaateee	27
26	Pandarus_	24
27	Mattesco	22
28	Napoleonpancake	21
28	TheWickedBird	21
30	MattieHD	16
31	Pumpkin_P_Patch	13
32	Bambuino	8
33	Merv__	7
34	pintsizedrogue	6
34	cyuar	6
36	hanaryheatwave	4
36	MAns_44	4
38	Lazy_geniusig	3
38	beeperbeeper5	3
38	Steelynan	3
41	j5ylim	2
41	Lez_	2
41	bl1ss0	2
41	Cache3	2
41	SpacesickPrism	2
46	PazinGaming	1
46	TheSecondLord	1
46	nstuartwilliams1	1
46	crashomon	1
46	Reneedium	1
46	pixelviolin	1
46	Jimb0nat0r	1
