rank	username	minecraft:picked_up/minecraft:cyan_glazed_terracotta
1	lordpipe	196
2	LeauVox4921	147
3	Skylord_Luke	128
4	noam464	113
5	ImpavidArcher	91
6	Inbefour	68
7	eitanzaki	64
8	Mahoose	48
9	AdmiralSmoke	41
10	Lutres_	35
11	rarrq	34
12	joethahobo	30
13	Hyp3rion_	25
13	Hermanni__	25
15	FreakGenius	24
16	MakeHistory157	15
17	Merv__	8
17	Arceus1975	8
17	Werbe	8
17	StinkyDiplomat	8
21	Soplight	6
22	Fullut	4
22	Di_infiri	4
22	Jackattack53	4
22	TheShyPig	4
22	MineMaster0012	4
27	QuiCreans	2
28	Razzgriz	1
28	Enderxz3	1
