rank	username	minecraft:picked_up/minecraft:crimson_slab
1	noam464	15331
2	YungMaki	1373
3	thewindmillman	1091
4	Freak_Genius	976
5	12Magner05	843
6	Legendosh	700
7	Mr_Byzantine	535
8	Lord_Jord	472
9	Smoke____	462
10	anbbang	164
11	beeperbeeper5	127
12	Awyrlas	124
13	PigDab	120
14	EveryonesUncle	115
14	lordpipe	115
16	Steelynan	101
17	rarrq	93
18	Mahoose	83
19	djancak	69
20	Snowflowe	60
21	Syropatathe	52
22	_Razar	44
23	MyNameIsDakar	33
24	livingdaydreams	32
25	Marbz_	27
25	Optiprimus	27
27	egglapras	24
28	RebelAndroid	18
28	Werbe	18
30	kekhon	17
31	Jiminie	12
31	Luigipunch989	12
33	pintsizedrogue	9
33	fluddd	9
35	Akoot_	7
35	Gryglu583	7
37	KarlKaek	6
37	Blackberry1310	6
39	gcaisawesome	5
40	soundad	4
40	SvenskaHugo	4
42	Lutres_Torane	3
42	Spacewardharpy7	3
42	kyouma777	3
45	CliffEmAll	2
45	Rocco_Lane	2
45	Eczbek	2
48	_NieToksikpl_	1
48	Kowcio_	1
48	Hermanni__	1
