rank	username	minecraft:picked_up/minecraft:red_tulip
1	noam464	19283
2	PlasticOtari	2303
3	eitanzaki	1992
4	El_Jalapeno	583
5	LeauVox4921	550
6	Snowflowe	366
7	YungMaki	316
8	lordpipe	312
9	Freak_Genius	268
10	500am	267
11	StinkyDiplomat	262
12	Ezekson	256
13	pintsizedrogue	250
14	HellsSponge	218
15	00000000-0000-0000-0009-01ff0c3e5e4f	216
16	xxPipperDipperxx	199
16	Rasmanden	199
18	Legendosh	180
19	Di_infiri	169
20	Akoot_	165
21	Steelynan	148
22	Mahoose	144
23	TheShyPig	134
24	Fullut	124
25	Hyp3rion_	116
26	SaucyDark	114
26	wezzzi	114
28	Onennon	113
29	beeperbeeper5	112
30	Killswitch_RW	111
30	Smoke____	111
32	AnnieBathory	110
33	ImpavidArcher	97
33	Malorn_Aetherius	97
35	kekhon	92
35	Rumpletaezer	92
37	Skylord_Luke	89
38	Njensen7	86
39	Merv__	82
39	BlancoFlaco	82
41	Blackberry1310	76
41	oxfordschool	76
43	6king6colt6	75
44	DAD_1996	73
45	Bandito_Roamer	72
46	PhantomsGhost_	68
47	Racengan	67
48	Werbe	66
49	Huwulling	64
49	KeruNatsema	64
51	DarlaMeow	61
51	sadvavilloso	61
53	TechnoNinja64	59
54	XxCookiequeenxX	57
55	SSytex_X	53
56	toetagnyc	52
57	Truckoss	51
58	IAmTheWalrus910	47
59	Marbz_	46
60	Xclax101	44
61	KlausVonStiglitz	42
61	Frozil12	42
63	__tomato	40
63	EcksDofficial	40
65	PeteO1995	39
66	Inbefour	37
67	TheWildMateo	36
67	_zzoe	36
69	Sheldor097	35
69	BiggieDawg	35
71	Groovy_MoonBird	34
72	Deathkob	32
72	_k2x	32
74	Xovalt_	29
75	Kubelz	28
75	Lirael42	28
77	titanlax	26
77	Awyrlas	26
77	beeleg	26
80	Cowison	24
80	SuperPooch06	24
80	Arceus1975	24
80	Zoeyfortnite	24
84	_Boipl_	23
84	Soplight	23
84	lcvezra	23
87	surfinggiraffejp	22
87	Winklepicker279	22
87	Teebone15	22
87	diggydog67	22
91	vampgey	21
91	jnp_gaming	21
93	Wooptey	20
93	CoffeeNoir	20
93	Kakolbus	20
93	Bumpy419	20
93	UCP_TheKingK	20
98	Hermanni__	19
99	DinoDoctor_	18
99	Windo_licker	18
99	fred870d	18
99	TheSeismicDuck	18
99	HesDemonPants	18
104	thescout7	17
104	LotusProject	17
104	ClemenPine	17
104	Bawbman	17
108	Vicemaniac	16
109	Scathra	15
109	pappaberg	15
109	LordSpeed37	15
109	Shin69	15
113	epiksk8erduck	14
113	StormPool	14
113	AuroraSkies	14
113	MyNameIsDakar	14
117	Zippyzam	13
117	jushykins	13
117	kars0n	13
117	SammiWolfGirl	13
117	GlitchyPlate810	13
122	RebelAndroid	12
122	set67	12
122	master9067	12
122	wobn	12
126	Nab3rius	11
126	Hiryu27	11
126	sufjanlover	11
126	Quincannon	11
130	KarlKaek	10
130	Reamdin	10
130	Prismyst	10
130	_HoneySlime_	10
130	_Dean_123	10
130	emrekn	10
130	XboxPanda	10
130	Jackattack53	10
130	Jeteight	10
130	fluddd	10
130	cringenaynaybaby	10
130	TrollerYT	10
130	obtusely	10
143	fanofbands101	9
143	ABUSNA1996	9
143	TheDiamondCG	9
143	Z3braYTIL	9
143	MyNameIsJobo	9
143	ApophisNova	9
143	Hemartunity	9
143	gabbyeden	9
143	MyNamaSheff	9
143	UrbanPlanner1978	9
153	AuroraValkyrie	8
153	Sleek_Storm_721	8
153	MrMattyPatt	8
153	m_be9	8
153	KillerNekoRain	8
153	grislgrobl	8
153	RodSerlingCringe	8
153	Jiminie	8
153	Blu3beast	8
153	Mistruth	8
153	mountaingirl311	8
164	SlowMoNinja1994	7
164	TheSecondLord	7
164	purpolepickle	7
164	0nly_sn1per	7
164	CARGOESVROOM_7	7
164	Big_Nate_36	7
170	heckface	6
170	jacxhadow	6
170	mwrty	6
170	LitoDelvito	6
170	TheDankPlatypus	6
170	__Fanda__	6
170	Kynigito	6
170	binman420	6
170	Karbl	6
170	NameGenerat0r	6
170	halfbakedlasagna	6
170	lolpoottoot	6
170	PortlyPete69	6
170	Sral7	6
184	SugarMyNuggets	5
184	Myszoaz	5
184	joethahobo	5
184	rarrq	5
184	Zaridey	5
184	BigMoneyH	5
184	mshs94	5
184	burbankbuilder28	5
184	CaptainDeadBread	5
184	Leyna3	5
184	PartyPhoenix	5
184	djancak	5
196	rats_life	4
196	ratglock	4
196	Cortexia	4
196	SharpDev	4
196	2Stout	4
196	PigDab	4
196	Meatlaugh	4
196	censorsheep	4
196	Warlord324	4
196	Dusk_95	4
196	ScarmedLeft	4
196	kinas45y5	4
196	561cool	4
209	spaece	3
209	MSK__	3
209	301851	3
209	DarkFisto	3
209	corvidpartyfor6	3
209	boog4loo	3
209	Xalithia	3
209	Avrelion	3
209	Nicole_Plus	3
209	Rebytre	3
209	seramalen	3
209	PhoenixAlpha	3
209	Lord_Jord	3
209	Dabatha	3
209	privatemeekly	3
209	MangoSalad316	3
209	Barlycorn	3
209	The_Arma	3
209	Spacewardharpy7	3
209	AvaRosey	3
209	LetsDoItLive	3
209	OG_Songsee	3
209	sp00ky_ghost977	3
209	_Tilariel_	3
209	Western_1	3
209	KingMatthew506	3
209	Enderslayerxz3	3
209	Powowowow	3
237	strongman951753	2
237	I_Am_Mushkin	2
237	Iagoku	2
237	AES784	2
237	ShedJr_	2
237	TheMaster972	2
237	TastyPorkchop	2
237	Digcove	2
237	Sparky_KT	2
237	Notta	2
237	Adlair	2
237	GingerNeutron	2
237	CarbonatedCola	2
237	mrnosetackle	2
237	fade_emerge78823	2
237	kensli	2
237	ROY4LE	2
237	RedbreadPiracy	2
237	M_Patata	2
237	mariominejedi	2
237	sarahlynn00	2
237	Fast_Turtle	2
237	Donutt	2
237	drompje	2
237	Revwood	2
237	The11thDoctor	2
237	Shiirazuku	2
237	ptweezy	2
237	ToastedGamingYT	2
237	NormanFetus	2
237	lizardfightclub	2
237	Maenara	2
237	parodypatient	2
237	ElderRifken	2
237	_Bguette_	2
237	The_slideV3	2
237	GeromeMerris	2
237	MasterNueve	2
237	MakeHistory157	2
237	IdeallyGrey	2
237	bloomkieren	2
237	Kyrum2169	2
237	OfficerAnvil	2
237	RadarHz	2
237	PlebTier	2
237	_AAZAR	2
237	Oxygen16	2
237	wirelessbread	2
237	h2p_emrld	2
286	MunkaKris	1
286	Jovaphobic	1
286	RoskobiOne	1
286	pZygh0st	1
286	Minimize501	1
286	Hpdinosaur	1
286	Incinere	1
286	Whiterooster001	1
286	Ssor69	1
286	ccormacs	1
286	picardred	1
286	tablebryce	1
286	Comma__	1
286	Jokerman369	1
286	Austine6698	1
