rank	username	minecraft:picked_up/minecraft:smooth_sandstone_stairs
1	Steelynan	1646
2	Frozil20	767
3	2Stout	621
4	500am	605
5	Soplight	601
6	SteveCraftBlocks	415
7	__tomato	401
8	FreakGenius	365
9	Mahoose	359
10	KarlKaek	296
11	Enderxz3	293
12	kekhon	276
13	Merv__	265
14	_stets	253
15	Di_infiri	210
16	eitanzaki	193
17	TheShyPig	192
18	himak1	190
19	WyngGoy	180
20	ImpavidArcher	175
21	jnp_gaming	162
22	Blackberry1310	158
23	Creativebuilder2	135
24	Hyugo	123
25	TechnoNinja64	119
26	KamFurnace	114
27	Onennon	113
28	John6970	107
29	LeEricc	90
30	xolstoi	88
31	Kim_Jong_eel	84
32	QuacksonThe3rd	82
33	IamCL4SSY	81
34	luseis	79
35	joethahobo	74
36	Hermanni__	72
37	Sral7	71
38	DarlaMeow	70
39	Groovy_MoonBird	69
40	peach0s	65
41	Waffleman258	64
42	Akoot_	62
43	Ssor69	61
44	TheDankPlatypus	60
45	Legendosh	58
46	SkateboardR6	57
47	Eraxa	52
48	NameGenerat0r	51
49	EveryonesUncle	50
50	RebelAndroid	48
51	Jakobo1337	47
52	Buuck_	44
52	Kowcio_	44
54	XxCookiequeenxX	43
55	Hpdinosaur	40
55	Studyhallsaver	40
57	Felenov	38
58	Wowful	37
59	PazinGaming	36
59	Saucepeh	36
61	Werbe	33
62	CoffeeNoir	32
63	SpacesickPrism	31
64	Fullut	28
64	Septemb3r	28
66	Wooptey	27
67	LeGold	26
67	groofles	26
69	Cryptacity	24
69	Inbefour	24
69	_Bguette_	24
72	Inchef	23
73	thescout7	21
73	SexcMf	21
75	AuroraValkyrie	19
76	MeowMeowMcmuffin	17
76	ooga47	17
78	ActualPatbaf	16
78	ApophisNova	16
78	MyNamaSheff	16
81	Vizzoid	15
81	FreddyFart	15
81	lillips	15
84	andy_rex	14
84	victorLIE	14
84	MineMaster0012	14
87	Mr_Byzantine	13
87	Winklepicker279	13
87	Racengan	13
90	Skylord_Luke	12
90	duqboy	12
90	Meatlaugh	12
93	Dakar_	11
94	pintsizedrogue	10
94	WarMachina	10
94	Mattesco	10
94	Nicserso	10
98	mwrty	9
98	Kakolbus	9
98	The_slideV3	9
98	SwooshBoi	9
98	Biites	9
103	TheSecondLord	8
103	SuperPooch06	8
103	CarryLine	8
103	Fuad_R	8
107	ECstardust	7
107	Tyrannosplart	7
107	ReyTheLegend	7
110	Lez_	6
110	jessewegottacook	6
110	rarrq	6
110	Secret_Canary	6
110	YungMaki	6
110	ConnorDanky_	6
110	AltnumberF4	6
110	PlasticOtari	6
118	Kyrum2169	5
118	xzvu	5
120	Jindong	4
120	noam464	4
120	MyNameIsJobo	4
120	burbankbuilder28	4
120	LeonelSalamanca	4
120	El_Jalapeno	4
120	fluddd	4
127	NatalieTW	3
127	Alteriity	3
127	SeverianOfUrth	3
127	mariominejedi	3
127	Hiryu27	3
127	Manaateee	3
127	Warlord324	3
127	ElectricDragon81	3
127	jcool7	3
127	Jimb0nat0r	3
137	PhantomsGhost_	2
137	I_Am_Mushkin	2
137	bigstankyy	2
137	Sleepy_Time_	2
137	beeperbeeper5	2
137	SDMNAEK	2
137	Awyrlas	2
137	Karetoko	2
137	Jackattack53	2
137	Deathkob	2
137	silverpopcorn	2
137	Winston_Ingram	2
137	AdmiralSmoke	2
137	Calbo_	2
151	Bandito_Roamer	1
151	KingFaenor	1
151	EMC_	1
151	ZaneABrain	1
151	jacxhadow	1
151	Lor1113	1
151	CarltheCuck	1
151	Doom_melon	1
151	RobotMinion101	1
151	PigDab	1
151	MousePlays	1
151	Nycteus_	1
151	MightyWertu	1
151	_3Stump_	1
151	erkada	1
151	Ezekson	1
151	skrongus	1
