rank	username	minecraft:picked_up/minecraft:bookshelf
1	500am	4265
2	pintsizedrogue	3179
3	Kowcio_	2691
4	Ezekson	2423
5	joethahobo	2213
6	Lez_	1507
7	Legendosh	1341
8	thewindmillman	1331
9	Hyp3rion_	1164
10	HellsSponge	1133
11	skitzxo	1047
12	Tyrannosplart	932
13	Xclax101	869
14	Pumpkin_P_Patch	825
15	MattieHD	734
16	kekhon	703
17	beeperbeeper5	691
18	Mahoose	610
18	EveryonesUncle	610
20	crashomon	609
21	PazinGaming	597
22	TheSecondLord	509
23	Steelynan	429
24	FreakGenius	421
25	SmashingPump	407
26	Mattesco	400
27	Yamdalorian	371
28	Inchef	357
29	diamondgolem35	343
30	EMC_	319
31	EdGalbraith	298
32	SvenskaHugo	293
33	JayToe	284
34	Kakolbus	273
35	SirPiccardo	270
36	_witch_craft_	266
37	xxPipperDipperxx	250
38	Gzrdy	245
39	livingdaydreams	242
40	j5ylim	237
41	shadowthemonkey	232
42	pixelviolin	223
43	Eczbek	221
44	burbankbuilder28	198
45	weabis	197
46	El_Jalapeno	186
46	_Meow_Mix	186
48	TheKingK_	183
49	Smashic	182
50	MAns_44	181
51	miramyu	170
52	TheShyPig	167
53	DarkDescent2392	160
53	Zythose	160
55	mwrty	155
56	Marbz_	148
57	YungMaki	134
58	ImpavidArcher	130
59	RatatJuice	129
60	CaracolCxnt	128
61	DarlaMeow	124
62	hanaryheatwave	120
63	thescout7	117
64	12Magner05	114
65	Euclidoris	113
66	Manaateee	104
67	SpicyMeatballs	101
67	Enderxz3	101
69	Merv__	97
70	royal_2	93
71	mihimihimihi	91
72	Kubeusz2010	90
73	luseis	86
73	Fuad_R	86
75	picardred	85
75	Juansinmiedo18	85
75	MightyWertu	85
78	Historical_Sand	84
78	Akoot_	84
80	tuckerdoodle	82
81	Iamthejo	81
82	wezzzi	80
83	skroobiez	79
84	wwwwinnebagoooo	78
85	titanlax	75
85	Racengan	75
87	Rumpletaezer	74
88	NameGenerat0r	73
89	Lord_Jord	72
89	fffMike	72
91	Vizzoid	69
92	KarlKaek	68
92	Onennon	68
94	SpartanNamor	67
94	ROY4LE	67
94	brofrickcheaters	67
97	HUNTERmaun	66
97	Olib3ar	66
99	6king6colt6	65
100	SaucyDark	64
100	lotarp	64
100	HAruSAme14	64
100	Dr0xzy	64
100	AltnumberF4	64
105	WYFYoyo	63
106	Secret_Canary	62
106	XxCookiequeenxX	62
108	oscminus	59
108	stellarjay	59
110	claivin	58
110	Blaiku	58
110	TechnoNinja64	58
113	shineh10	56
114	Blu3beast	55
114	TheWickedBird	55
116	Mr_Byzantine	54
116	Natty	54
116	Crowman1	54
119	ShedJr_	53
120	DinoDoctor_	52
121	Blackberry1310	51
122	__Fanda__	50
123	Jovaphobic	49
123	k_ce	49
123	Werbe	49
126	fr0stss	48
126	corvidpartyfor6	48
128	Di_infiri	46
129	Saucepeh	45
129	gcaisawesome	45
129	TheDankPlatypus	45
129	Luminad3	45
129	Jimb0nat0r	45
134	XboxPanda	44
134	Druid95	44
134	Soplight	44
137	ApophisNova	43
137	MyNamaSheff	43
139	Fullut	42
139	HoltGrim	42
139	SSytex_X	42
142	LazySupport00	41
143	Huwulling	40
143	RebytreGT	40
145	xzvu	39
146	Krowuss	38
147	NieToksikpl	37
147	Chromary	37
147	Sral7	37
150	Tolhart	36
150	QuiCreans	36
150	SpacesickPrism	36
153	Zee_zey	35
154	Hpdinosaur	34
154	DASH_X7	34
156	hm947	33
156	jacxhadow	33
158	FishyBoy3811	32
158	Maenara	32
160	Kkanot	31
160	Hoid_the_Roamer	31
160	Skippeh	31
160	PlasticOtari	31
164	Eczbox	30
164	NoChumpChange	30
164	wobn	30
167	kars0n	29
168	TooPure2	28
169	Malorn_Aetherius	27
169	yheece	27
169	Jackattack53	27
169	Quincannon	27
169	hermmm_	27
174	TheSeismicDuck	26
174	NATE_the_HALO	26
176	r123moore	25
176	U_Mos_	25
178	UncreativeArtist	24
178	True_Clipse	24
178	_Karmaa	24
181	excelsionprime	23
181	Kamflame	23
181	noam464	23
181	WET_WET_WET	23
181	OfficerAnvil	23
186	MSK__	22
186	SUN_DREAM	22
186	zOnlyKroks	22
189	Ryan_GEMS	21
189	Z3braYTIL	21
189	yaboo88	21
189	lordpipe	21
189	IvarEXE	21
194	himak1	20
194	CharlieButt	20
194	PaperCanvas	20
194	Jiminbub	20
194	CalebDHawk	20
194	UrbanPlanningEx	20
200	CLG_Kata	19
200	eitanzaki	19
200	Zaridey	19
200	legal_tax_evader	19
200	zToasty69z	19
200	Leyna3	19
200	DennyKai	19
207	Snowflowe	18
207	CaptainDeadBread	18
207	AssFullaCum	18
210	Xalithia	17
210	selectrix	17
210	DanTheBuilderino	17
210	StarCookiees_	17
210	Eraxa	17
210	starbits140	17
216	IWorkAtIkea	16
216	Cryptacity	16
216	theonlymagikarp	16
216	Skylord_Luke	16
216	Kynigito	16
216	MovingFish7	16
216	stavgod	16
216	remmisrat	16
224	CoffeeNoir	15
224	chlorinex	15
224	dopplexd	15
224	Comma__	15
224	Eraza	15
224	SuperStreetCat	15
224	Burge_r	15
224	Segotep999	15
224	coobert42	15
233	SDMNAEK	14
233	Megarboh	14
233	bloomkieren	14
233	robonya_	14
237	bloodbiter	13
237	GooseWithin	13
239	Gregward_Smith	12
239	2Stout	12
239	RefluxRatio	12
239	Wowful	12
239	Spacewardharpy7	12
239	diggydog67	12
245	PhantomsGhost_	11
245	Cowison	11
245	gaziter10	11
245	whoaluv	11
245	Donutt	11
245	Dakar_	11
245	PlzNoBM	11
245	Rainaldus	11
245	TheBananaKat	11
245	CattSoup	11
255	ZaneABrain	10
255	TinMaster	10
255	_Dean_123	10
255	fragrantmonke444	10
255	Shiirazu	10
255	Factoroni	10
255	__tomato	10
262	H0UNDFRMH3LL	9
262	rarrq	9
262	_Nuf	9
262	Awyrlas	9
262	Fast_Turtle	9
262	Kouridragon	9
262	nonarso	9
262	KingMatthew506	9
262	ConnorDanky_	9
271	Julmish	8
271	LeauVox4921	8
271	BronkerBrum	8
271	LilLizardWizard	8
271	ogoa	8
271	blackeemperor	8
271	tsitrawhy	8
271	Njensen7	8
271	2blox_	8
280	AuroraValkyrie	7
280	myaccountwasgone	7
280	Myszoaz	7
280	ratglock	7
280	The11thDoctor	7
280	Warlord324	7
280	TheTommyGun63	7
287	Alteriity	6
287	Swexti	6
287	Nach0Bear	6
287	wTXop	6
287	HolyVenom	6
287	kubinek69	6
287	IamCL4SSY	6
287	AspenLightVT	6
287	fluddd	6
287	PixelatedBoss	6
287	Hisiste	6
287	HesDemonPants	6
287	00000000-0000-0000-0009-01faf4342590	6
300	soundad	5
