rank	username	minecraft:picked_up/minecraft:lava_bucket
1	noam464	2451
2	Hyp3rion_	1276
3	HellsSponge	421
4	FreakGenius	268
5	joethahobo	264
6	Yamdalorian	128
7	El_Jalapeno	115
8	Jackattack53	111
9	thewindmillman	109
10	MilleGrug	107
11	pintsizedrogue	103
12	Iamthejo	93
13	Manaateee	91
14	PigDab	90
15	Blaiku	85
15	EcksD	85
17	eitanzaki	81
17	censorsheep	81
19	Mahoose	59
20	CliffEmAll	57
21	PlasticOtari	51
22	Marbz_	50
22	jcool7	50
24	Werbe	49
25	PhantomsGhost_	47
26	Kakolbus	44
27	Akoot_	41
27	mihimihimihi	41
29	non089	39
29	Nicserso	39
31	Soplight	37
32	Blackberry1310	36
32	gcaisawesome	36
32	Kyrum2169	36
35	__Auspicious	35
36	k_ce	33
37	TheSecondLord	27
37	GingerNeutron	27
37	luseis	27
40	Alteriity	25
41	Wowful	24
42	skroobiez	23
42	TheBananaKat	23
42	Ezekson	23
45	YungMaki	22
45	calamariclam_I	22
47	Di_infiri	21
48	Hyugo	20
48	Skippeh	20
50	Smashic	19
50	Hiryu27	19
52	BobDeBouwer1337	18
52	Zythose	18
52	Bumpy419	18
52	Pumpkin_P_Patch	18
52	jnp_gaming	18
57	beeperbeeper5	17
58	PazinGaming	16
58	prizm_	16
58	Powowowow	16
61	Franco093	15
61	lotarp	15
61	MoistMicrowave	15
64	Ryan_GEMS	14
64	SpacesickPrism	14
66	Cowison	13
66	Jorrdi	13
66	Jindong	13
69	j5ylim	12
70	Sleek_Storm_721	11
70	hanaryheatwave	11
70	Spacewardharpy7	11
70	__tomato	11
74	kekhon	10
74	MattieHD	10
76	CLG_Kata	9
76	Ssor69	9
76	PaperCanvas	9
76	IamCL4SSY	9
76	Segotep999	9
81	Krowuss	8
81	Inbefour	8
81	Kowcio_	8
84	SaphLaseer	7
84	RebelAndroid	7
84	lorywithay	7
84	Cryptacity	7
84	500am	7
84	cedric72	7
84	GooseWithin	7
84	KingMatthew506	7
84	TheWickedBird	7
84	00000000-0000-0000-0009-01ff0c3e5e4f	7
94	12Magner05	6
94	Queen_Jalapeno	6
94	ApophisNova	6
94	seramalen	6
94	TJawesome09	6
94	Tyrannosplart	6
94	Warlord324	6
94	SvenskaHugo	6
94	MyNamaSheff	6
103	T045RTY	5
103	HUNTERmaun	5
103	Secret_Canary	5
103	philandr	5
103	thescout7	5
103	NotMeanttoChange	5
103	Mewar	5
103	CarltheCuck	5
103	Chromary	5
103	groofles	5
103	Fuad_R	5
103	greatimes	5
103	Buuck_	5
103	monky_irl	5
103	PlzNoBM	5
103	fffMike	5
103	Jimb0nat0r	5
120	bloodbiter	4
120	excelsionprime	4
120	lorpus	4
120	eviltunix	4
120	Kubelz	4
120	RebytreGT	4
120	ooga47	4
120	Maenara	4
120	Lord_Zacler	4
120	Blu3beast	4
120	deleteduser3c11b	4
120	AssFullaCum	4
120	starbits140	4
120	bitsplease	4
120	Vellu21	4
135	Frozil20	3
135	SaucyDark	3
135	royal_2	3
135	InfernalMound	3
135	Xalithia	3
135	ROY4LE	3
135	xxPipperDipperxx	3
135	TheShyPig	3
135	Nicky19	3
135	ILoveCarrot	3
135	Hahaa_0	3
135	The_Quack_Dealer	3
135	lordpipe	3
135	stavgod	3
135	StarCookiees_	3
150	Bandito_Roamer	2
150	Apollo_993	2
150	EMC_	2
150	Creativebuilder2	2
150	ImpavidArcher	2
150	tuckerdoodle	2
150	SyntheticSurgeon	2
150	Malorn_Aetherius	2
150	cheerytomato	2
150	Saucepeh	2
150	Tiberonus	2
150	ProfessorBee	2
150	Fullut	2
150	ConcretePirate	2
150	mwrty	2
150	Paintz	2
150	RocketRidge	2
150	oscminus	2
150	Mattesco	2
150	Forcolp	2
150	Mr_Froxy	2
150	MrQuanQuan	2
150	fw3xy74	2
150	Fuhrer_Teemo	2
150	sufjanlover	2
150	Vol_Rod33	2
150	emreknugrlu	2
150	claivin	2
150	Fildyr	2
150	bruh072	2
150	Ze_BaronKrigler	2
150	Cocoamallows	2
150	IvarEXE	2
150	Sank34	2
150	Luigipunch989	2
150	kaiwill0w	2
150	FormulaNewt3627	2
150	Legendosh	2
150	momis24	2
189	ItsGrayWolf	1
189	Groovy_MoonBird	1
189	NatalieTW	1
189	_Virify_	1
189	SpartanNamor	1
189	Mr_Byzantine	1
189	No_Bena	1
189	_Huge_Male_	1
189	TooPure2	1
189	fanofbands101	1
189	CloroxBleach385	1
189	BadenStayFly	1
189	Napoleonpancake	1
189	Merv__	1
189	EKUG	1
189	ECstardust	1
189	Minehrider	1
189	q_wq	1
189	IEatBooty	1
189	I_Am_Mushkin	1
189	diamondgolem35	1
189	ssleepless	1
189	RatatJuice	1
189	Furiuosbeast0404	1
189	Ryker	1
189	ZaneABrain	1
189	SOA1RR	1
189	CoffeeNoir	1
189	Kuragari_	1
189	tsohomie	1
189	301851	1
189	fr0stss	1
189	Historical_Sand	1
189	teqilas	1
189	Whiterooster001	1
189	rarrq	1
189	Valoth	1
189	TinMaster	1
189	yoyonovice63	1
189	Notta	1
189	Comma__	1
189	m_be9	1
189	TheThomas69	1
189	SteveCraftBlocks	1
189	groggregg42	1
189	Nach0Bear	1
189	himak1	1
189	Inchef	1
189	2Stout	1
189	Covalents	1
189	Purplehere	1
189	bl1ss0	1
189	Karetoko	1
189	crashomon	1
189	shadowthemonkey	1
189	mariominejedi	1
189	fr_ser	1
189	yheece	1
189	MyNameIsJobo	1
189	mick407	1
189	AJplaysMC_	1
189	Jonafrog99	1
189	WET_WET_WET	1
189	Anhedonist	1
189	Arceus1975	1
189	_8man	1
189	U_Mos_	1
189	ScootOfBoot	1
189	RobotMinion101	1
189	MinerDec	1
189	BRRRN179	1
189	goldyx	1
189	Olib3ar	1
189	MonitorLizards	1
189	KeruNatsema	1
189	Luminad3	1
189	HoldThatPee	1
189	Lord_Jord	1
189	Choco_Spy	1
189	TheSeismicDuck	1
189	audiocracked	1
189	aldplaysmc	1
189	rotten_mango	1
189	the_russell1611	1
189	Meatlaugh	1
189	ebanana	1
189	moaka8	1
189	fluddd	1
189	AssassinAshton	1
189	lolpoottoot	1
189	SkateboardR6	1
189	ItsDeltaMC	1
189	ZoharGoldMine	1
189	Kura2218	1
189	Eraxa	1
189	_Mythic____	1
189	07shiny	1
189	yatsuta	1
189	EtherealEspresso	1
189	brofrickcheaters	1
189	SSytex_X	1
189	Kymarmalade	1
189	annoyingenderman	1
189	UltraZombie	1
189	CalebDHawk	1
189	_3Stump_	1
189	Eczbek	1
189	hermmm_	1
189	laron58	1
189	erkada	1
189	EngagedGrub41	1
189	11Brewer	1
