rank	username	minecraft:picked_up/minecraft:cherry_fence
1	Lez_	453
2	11Brewer	158
3	Enderxz3	131
4	LuvLuvLove	123
5	bl1ss0	85
5	Kowcio_	85
7	Mr_Byzantine	65
8	Alteriity	60
9	mymayowasgone	49
10	OreTheBear	32
11	emreknugrlu	28
12	royal_2	25
13	MattieHD	24
13	LovableFemboy	24
15	robonya_	23
16	cuddlyMonster	19
16	StarCookiees_	19
18	luseis	15
19	Werbe	14
20	lordpipe	13
21	k_ce	12
22	Alex_Hansen	11
23	pintsizedrogue	9
24	Napoleonpancake	8
25	FiguraDei	7
26	Nach0Bear	6
27	icim	5
28	Mattesco	4
28	MisfitsMike	4
30	RatatJuice	3
30	_witch_craft_	3
30	craaaash	3
30	Krowuss	3
30	Rebytre	3
35	KarlKaek	2
35	Koalander	2
37	Reneedium	1
37	oscminus	1
37	XxCookiequeenxX	1
37	Pumpkin_P_Patch	1
37	KamFurnace	1
