rank	username	minecraft:picked_up/minecraft:cake
1	Mahoose	282
2	joethahobo	139
3	kekhon	78
4	KarlKaek	77
5	pintsizedrogue	66
6	TechnoNinja64	63
7	luseis	62
8	FreakGenius	60
9	xxPipperDipperxx	58
10	Akoot_	47
11	Blackberry1310	40
12	Fuad_R	28
13	eviltunix	26
14	Frozil20	22
14	Lez_	22
14	500am	22
14	DarlaMeow	22
18	eitanzaki	21
18	Syropatathe	21
20	SteveCraftBlocks	18
21	_Dean_123	17
21	Fullut	17
21	Eraxa	17
24	6king6colt6	16
24	noam464	16
24	Soplight	16
27	lordpipe	15
27	PlasticOtari	15
29	beeperbeeper5	14
29	legal_tax_evader	14
29	pappaberg	14
29	YungMaki	14
33	Werbe	13
33	Smoke____	13
35	burbankbuilder28	12
35	AlphaWolfPlaysMC	12
35	NomadicRobin_	12
35	fluddd	12
35	RadarHz	12
40	PhantomsGhost_	11
40	SaintJosie	11
40	_Bguette_	11
43	Enderxz3	10
44	Kamflame10	9
44	ROY4LE	9
44	2Stout	9
44	TheShyPig	9
44	thgrocks	9
44	RoofTyler	9
44	SammiWolfGirl	9
44	ConnorDanky_	9
52	CoffeeNoir	8
52	Kakolbus	8
52	Tyrannosplart	8
52	claivin	8
56	Hyp3rion_	7
56	Blaiku	7
56	Kowcio_	7
56	xolstoi	7
60	Merv__	6
60	Ryker	6
60	rarrq	6
60	Smashic	6
60	Travka100	6
60	Jimb0nat0r	6
66	Natty	5
66	TheSecondLord	5
66	bloodbiter	5
66	shadowthemonkey	5
66	Zythose	5
66	Spacewardharpy7	5
66	pixelviolin	5
66	alderban107	5
66	Ezekson	5
75	SaucyDark	4
75	ShedJr_	4
75	Euclidoris	4
75	Ardennes	4
75	thescout7	4
75	Inchef	4
75	Lotvailer	4
75	thewindmillman	4
75	_Boipl_	4
75	Lord_Jord	4
75	xzvu	4
75	PortlyPete69	4
87	Mr_Byzantine	3
87	ImNotYuqii	3
87	Wooptey	3
87	T045RTY	3
87	Huwulling	3
87	Awyrlas	3
87	Resner	3
87	Marbz_	3
87	fr_ser	3
87	Di_infiri	3
87	Fergusoncurly	3
87	ougstur	3
87	Maenara	3
87	Lord_Zacler	3
87	El_Jalapeno	3
87	CornOnTheCobalt	3
87	Azazel_Echo	3
87	lcvezra	3
87	Chihuahua_Fan	3
87	EcksD	3
87	Legendosh	3
87	bladeefan2009	3
109	RoskobiOne	2
109	SoosAmongus	2
109	ImpavidArcher	2
109	Hpdinosaur	2
109	KomputerDude	2
109	Butternutsquatch	2
109	IWorkAtIkea	2
109	heckface	2
109	keksandra	2
109	set67	2
109	NotMeanttoChange	2
109	r123moore	2
109	zcrk	2
109	Jackattack53	2
109	Rumpletaezer	2
109	Arceus1975	2
109	Snowflowe	2
109	drompje	2
109	Rebytre	2
109	iElijah	2
109	738b4f65-6cbd-4ead-ba31-c14211abfb06	2
109	Waffleman258	2
109	fxiryglitch	2
109	fw3xywashere	2
109	lillips	2
109	NameGenerat0r	2
109	Xclax101	2
109	Fildyr	2
109	wwwwinnebagoooo	2
109	mihimihimihi	2
109	Cocoamallows	2
109	Kura2218	2
109	SvenskaHugo	2
109	ediballbearings	2
109	gusstationwerker	2
109	ItsJunoIGuess	2
109	fffMike	2
109	LeeMcGee30	2
109	BurgerKnight	2
109	Steelynan	2
109	mobunni	2
109	Serval2000	2
151	NatalieTW	1
151	ganyuganyu	1
151	teslawolf38	1
151	EMC_	1
151	I_Am_Mushkin	1
151	Dusty_Duc894	1
151	DinoDoctor_	1
151	erickor2d2	1
151	RebelAndroid	1
151	Spaghettatron	1
151	Jahara	1
151	Caystelly	1
151	Alteriity	1
151	Rox_The_Box	1
151	Reamdin	1
151	ThiccExotic	1
151	Myszoaz	1
151	jjekyll	1
151	jessewegottacook	1
151	Historical_Sand	1
151	tramizu	1
151	Yellowpowr	1
151	titanlax	1
151	Crowman1	1
151	Auseawesome	1
151	BobDeBouwer1337	1
151	Rich_Kat	1
151	MinttyFressh	1
151	ProfessorBee	1
151	thebest_daniela	1
151	switchNat	1
151	himak1	1
151	orxngejuice	1
151	Halsam_six	1
151	intropass	1
151	gcaisawesome	1
151	olliebollie48	1
151	John6970	1
151	Theo34	1
151	Karetoko	1
151	Windo_licker	1
151	gabriels543	1
151	Chromary	1
151	LAVA129	1
151	MustardDrinker	1
151	Sheellky	1
151	Felenov	1
151	ApophisNova	1
151	NNikitas	1
151	PigDab	1
151	AlexxO_o	1
151	SvenskaAlvar	1
151	Cattoh	1
151	lizardfightclub	1
151	TheTrueClipse	1
151	FlashDad	1
151	AuroraSkies	1
151	Inbefour	1
151	JoeSaysBingBong	1
151	DarkS0L	1
151	Meatlaugh	1
151	MyNameIsDakar	1
151	The_slideV3	1
151	Shogunite	1
151	MAns_44	1
151	Not_Insom	1
151	Blu3beast	1
151	GravitySaint	1
151	Groundler	1
151	Racengan	1
151	3_Solar_3	1
151	Warlord324	1
151	Factoroni	1
151	Godspirit249	1
151	Lord_Doob	1
151	IAmTheWalrus910	1
151	Ozztopus	1
151	toos1esl1de	1
151	Mythic1130	1
151	somegirl12_	1
151	EtherealEspresso	1
151	djancak	1
151	obzii	1
151	CalebDHawk	1
151	jcool7	1
151	Dreamdbr14	1
151	Eczbek	1
151	erkada	1
151	blimpeey	1
151	MissCeleste7	1
151	OfficerAnvil	1
151	Iamthejo	1
151	Quotary	1
151	MyNamaSheff	1
151	Nicserso	1
151	jnp_gaming	1
151	Sral7	1
151	mediumBev	1
151	Kateesaur	1
151	h2p_emrld	1
