rank	username	minecraft:picked_up/minecraft:cherry_wood
1	Steelynan	268
2	11Brewer	203
3	KarlKaek	181
4	Dynamic_wolf_1	174
5	Merv__	160
6	StarCookiees_	110
7	SpacesickPrism	68
8	PazinGaming	51
9	lordpipe	37
10	Apollo_993	21
11	Mr_Sun15	15
11	Pumpkin_P_Patch	15
13	Mr_Byzantine	14
14	Enderxz3	12
15	OreTheBear	9
15	Yamdalorian	9
17	LovableFemboy	7
18	SirSpace	6
18	Rebytre	6
20	pintsizedrogue	5
20	Alteriity	5
20	LuvLuvLove	5
23	Aakvaa	4
24	PaperCanvas	3
24	emreknugrlu	3
26	oscminus	2
27	craaaash	1
27	albus0x	1
