rank	username	minecraft:picked_up/minecraft:powder_snow_bucket
1	thewindmillman	85
2	Yamdalorian	64
3	Kowcio_	53
4	PlasticOtari	37
5	Alteriity	20
6	Enderxz3	14
7	Hydro___________	8
7	_witch_craft_	8
9	noam464	5
10	TJawesome09	4
10	Segotep999	4
12	BPTY4618	3
13	pintsizedrogue	2
13	excelsionprime	2
13	Inchef	2
13	floodjon	2
17	hm947	1
17	eitanzaki	1
17	CoffeeNoir	1
17	skroobiez	1
17	Blackberry1310	1
17	TheSecondLord	1
17	12Magner05	1
17	Kakolbus	1
17	HolyVenom	1
17	NomadicRobin_	1
17	pixelviolin	1
17	Pumpkin_P_Patch	1
