rank	username	minecraft:picked_up/minecraft:flowering_azalea
1	Hyp3rion_	5045
2	EMC_	2367
3	thewindmillman	2313
4	Alteriity	1656
5	pintsizedrogue	931
6	Yamdalorian	915
7	noam464	830
8	LuvLuvLove	569
9	luseis	521
10	Iamthejo	422
11	Lez_	390
12	Krowuss	359
13	Jackattack53	353
14	NomadicRobin_	336
15	Mahoose	331
16	00000000-0000-0000-0009-01ff0c3e5e4f	298
17	cuddlyMonster	290
18	Kakolbus	228
19	beeperbeeper5	227
20	Enderxz3	226
21	PlasticOtari	201
22	Mr_Byzantine	178
23	Steelynan	172
24	Marbz_	168
24	Manaateee	168
26	Mattesco	166
27	TheSecondLord	164
27	SvenskaHugo	164
29	k_ce	155
30	Gus2005	148
31	SteveCraftBlocks	138
32	Blackberry1310	136
33	Hoid_the_Roamer	135
33	SpacesickPrism	135
35	mymayowasgone	128
36	Jimi7hits	125
37	Inchef	114
37	PigDab	114
37	Jimb0nat0r	114
40	Kowcio_	113
41	xxPipperDipperxx	111
42	Flores991	106
43	TheWickedBird	105
44	Rebytre	101
45	PazinGaming	96
46	12Magner05	95
47	Sleepy_Time_	91
48	KarlKaek	90
49	EcksD	88
50	shadowthemonkey	85
51	Pumpkin_P_Patch	83
52	mihimihimihi	78
53	eitanzaki	76
53	Sleepy_Evelyn	76
53	EveryonesUncle	76
56	AuroraSkies	75
57	Huwulling	74
58	Galactic_Badger	72
58	Legendosh	72
60	oscminus	69
60	pixelviolin	69
62	WYFYoyo	67
63	Dakar_	64
64	EngagedGrub41	63
65	lorywithay	58
66	j5ylim	57
67	Buuck_	55
68	AlexxO_o	54
69	PaperCanvas	52
69	XxCookiequeenxX	52
71	H0UNDFRMH3LL	50
71	Mr_Sun15	50
73	hanaryheatwave	49
74	Ryker	48
74	skroobiez	48
76	doublemaki	40
77	Gzrdy	39
78	Crowman1	37
79	_Huge_Male_	35
79	LeeMcGee30	35
81	lordpipe	34
82	MSK__	32
83	craaaash	30
84	Merv__	29
84	Moofyman	29
86	CoffeeNoir	28
86	JETrotter	28
86	Lutres_	28
86	kalzor	28
90	robertsnose	27
91	FiguraDei	26
92	Reneedium	25
92	Boipl	25
92	11Brewer	25
95	milltesco	24
95	MAns_44	24
97	_witch_craft_	23
97	thatbeanyboi	23
97	Segotep999	23
100	MattieHD	22
100	Moss_2006	22
100	PortlyPete69	22
103	U_Mos_	21
103	Spacewardharpy7	21
103	CattSoup	21
106	TheDankPlatypus	20
106	MC_Skribble	20
108	SuperPooch06	19
108	wwwwinnebagoooo	19
110	CLG_Kata	18
111	corvidpartyfor6	17
111	Quotary	17
113	RebelAndroid	16
113	Avocadogerms	16
