rank	username	minecraft:picked_up/minecraft:chainmail_leggings
1	Hyp3rion_	128
2	diamondgolem35	102
3	SmashingPump	20
4	Enderxz3	18
5	Mahoose	16
5	AdmiralSmoke	16
7	beeperbeeper5	15
8	4774	13
8	thewindmillman	13
8	luseis	13
8	Kowcio_	13
12	joethahobo	12
12	HellsSponge	12
14	TheShyPig	11
15	Blackberry1310	10
15	jacxhadow	10
15	Akoot_	10
15	FreakGenius	10
19	Gundam_Steven	9
19	Kakolbus	9
19	El_Jalapeno	9
22	PigDab	8
22	Dan_Scha	8
22	StinkyDiplomat	8
22	censorsheep	8
22	SingedBread	8
22	djancak	8
28	ShedJr_	7
28	500am	7
28	eviltunix	7
28	EveryonesUncle	7
28	Tyrannosplart	7
28	YungMaki	7
28	Ezekson	7
35	pintsizedrogue	6
35	Frozil20	6
35	Smashic	6
35	fluddd	6
35	Spacewardharpy7	6
35	fffMike	6
35	TechnoNinja64	6
35	PlasticOtari	6
43	Jovaphobic	5
43	eitanzaki	5
43	TheSecondLord	5
43	kekhon	5
43	ProfessorBee	5
43	Kkanot	5
43	set67	5
43	legal_tax_evader	5
43	Di_infiri	5
43	Manaateee	5
43	cichy096	5
43	Legendosh	5
43	diggydog67	5
56	NatalieTW	4
56	KarlKaek	4
56	Ryan_GEMS	4
56	Alteriity	4
56	tsohomie	4
56	Historical_Sand	4
56	rarrq	4
56	NieToksikpl	4
56	jushykins	4
56	Arceus1975	4
56	Blaiku	4
56	ProfessorDiaper	4
56	sp00ky_ghost977	4
56	Segotep999	4
56	Steelynan	4
56	RadarHz	4
72	Cowison	3
72	EMC_	3
72	Jindong	3
72	RebelAndroid	3
72	livingdaydreams	3
72	SyntheticSurgeon	3
72	Euclidoris	3
72	Fullut	3
72	intropass	3
72	Matek_	3
72	Zythose	3
72	Hoid_the_Roamer	3
72	Mattesco	3
72	cedric72	3
72	SaintJosie	3
72	Lord_Jord	3
72	AlphaWolfPlaysMC	3
72	Wowful	3
72	Tiktola01	3
72	AstreaTSS	3
72	MAns_44	3
72	Druid95	3
72	Eraxa	3
72	Kubeusz2010	3
72	laron58	3
72	Skippeh	3
72	ConnorDanky_	3
72	jnp_gaming	3
100	fanofbands101	2
100	q_wq	2
100	Tolhart	2
100	MoistMicrowave	2
100	H72l9w	2
100	Da_Boss_Rani	2
100	Malorn_Aetherius	2
100	ItsHydroMC	2
100	bloodbiter	2
100	m_be9	2
100	12Magner05	2
100	Nostrom	2
100	ConcretePirate	2
100	Kamflame10	2
100	Masssonnn	2
100	Mewar	2
100	Septemb3r	2
100	Diavri	2
100	gcaisawesome	2
100	noam464	2
100	Kubelz	2
100	XboxPanda	2
100	ehunt54	2
100	TheDankPlatypus	2
100	SeverianOfUrth	2
100	mariominejedi	2
100	nitram49b	2
100	Jackattack53	2
100	Chromary	2
100	Rebytre	2
100	Corbsman	2
100	Werbe	2
100	selectrix	2
100	AlexxO_o	2
100	spellmre	2
100	CarryLine	2
100	LeonelSalamanca	2
100	masskedman	2
100	Deathkob	2
100	ebanana	2
100	Dakar_	2
100	DarlaMeow	2
100	NameGenerat0r	2
100	BumbleBeever	2
100	_Meow_Mix	2
100	ItsDeltaMC	2
100	_Mythic____	2
100	MineMaster0012	2
100	__tomato	2
100	Soplight	2
100	tsitrawhy	2
100	SSytex_X	2
100	SammiWolfGirl	2
100	Luigipunch989	2
100	obzii	2
100	CalebDHawk	2
100	jcool7	2
100	Njensen7	2
100	ZoomieZoomie	2
100	anbbang	2
100	xolstoi	2
100	trexgb	2
162	k_ce	1
162	seanitoo	1
162	Mr_Byzantine	1
162	CLG_Kata	1
162	chipklip	1
162	RoskobiOne	1
162	Badenbeele	1
162	NibPicker	1
162	SaphLaseer	1
162	Merv__	1
162	lewieinnit	1
162	ECstardust	1
162	Jackywho	1
162	bigstankyy	1
162	Creativebuilder2	1
162	ImpavidArcher	1
162	BlancoFlaco	1
162	TooManyDuck	1
162	Killercatty78	1
162	Incinere	1
162	openatheclose	1
162	nattybears	1
162	lotarp	1
162	CoffeeNoir	1
162	Huwulling	1
162	MLG_Kirby69	1
162	ivorico	1
162	Lez_	1
162	Myszoaz	1
162	301851	1
162	Swexti	1
162	DBoydart303	1
162	SquadMonster	1
162	ccwildfire1	1
162	TheFlfthHorseman	1
162	chlorinex	1
162	heckface	1
162	DirtyDalle	1
162	Vizzoid	1
162	Ozixar	1
162	Valoth	1
162	bAk5tAb	1
162	Crowman1	1
162	Auseawesome	1
162	Arch3lia	1
162	dawerty	1
162	Ravenbie	1
162	catandmoose	1
162	TheThomas69	1
162	corvidpartyfor6	1
162	SteveCraftBlocks	1
162	TheDiamondCG	1
162	BilboBaggins23	1
162	slkiey	1
162	excelsionprime	1
162	crying_wolf_13	1
162	GLLogan2	1
162	Scathra	1
162	thescout7	1
162	Bobby808	1
162	IforgotCS_Source	1
162	himak1	1
162	PegLegPete93	1
162	Inchef	1
162	Hoshi	1
162	ROY4LE	1
162	Cellcorgi649	1
162	platinumzero	1
162	Kawaii_Haxor_L	1
162	M_Patata	1
162	mrminer11403	1
162	Ecplosive	1
162	0nly_sn1per	1
162	CollinMH06	1
162	__Fanda__	1
162	RocketRidge	1
162	Itz_DuongVN	1
162	yheece	1
162	jedi_george	1
162	whoaluv	1
162	Jonafrog99	1
162	Rumpletaezer	1
162	Queen_Jalapeno	1
162	Snowflowe	1
162	burbankbuilder28	1
162	andy_rex	1
162	_Boipl_	1
162	WarMachina	1
162	CasperHxly	1
162	JETrotter	1
162	oscminus	1
162	Skylord_Luke	1
162	k1ngGilgamesh	1
162	The_Cruncy	1
162	Onennon	1
162	KartivGal	1
162	F_Uhre	1
162	Shiirazu	1
162	Moofyman	1
162	epiksk8erduck	1
162	Matyyy15	1
162	dartwaffle	1
162	aec9	1
162	Cattoh	1
162	KeruNatsema	1
162	Leyna3	1
162	Elastiq	1
162	IamCL4SSY	1
162	stuy9	1
162	fw3xy74	1
162	ogoa	1
162	Katsuragi0243218	1
162	SpouHn	1
162	_Bguette_	1
162	KlausVonStiglitz	1
162	madderfall	1
162	lillips	1
162	LexMakesHistory	1
162	CuzIm2Kev	1
162	jambvds	1
162	The_Quack_Dealer	1
162	drumine	1
162	shrimp_flips	1
162	_Karmaa	1
162	Shogunite	1
162	claivin	1
162	weabis	1
162	ReflexCode	1
162	EfficientC52	1
162	Templar_David	1
162	carpet4_69	1
162	Steve897	1
162	marumochis	1
162	GravitySaint	1
162	RedcatVII	1
162	Groundler	1
162	ChronoSounds	1
162	LordAurum	1
162	VilsSwag	1
