rank	username	minecraft:picked_up/minecraft:compass
1	Hyp3rion_	384
2	12Magner05	352
3	MirielThePastor	272
4	HellsSponge	240
5	EMC_	201
6	fffMike	151
7	beeperbeeper5	73
8	EcksD	66
9	Chromary	64
10	kekhon	49
11	Apollo_993	44
12	Deathkob	34
13	rarrq	31
14	Steelynan	29
14	xolstoi	29
16	Jackattack53	22
16	Werbe	22
18	PigDab	18
19	RebelAndroid	16
19	Akoot_	16
21	FreakGenius	13
22	Spacewardharpy7	12
23	Di_infiri	11
23	Nicserso	11
25	thewindmillman	10
25	oscminus	10
25	Tyrannosplart	10
25	claivin	10
25	Kowcio_	10
30	Sleepy_Time_	9
30	MineMaster0012	9
32	TheSecondLord	8
32	Hoid_the_Roamer	8
34	Mahoose	7
34	Blackberry1310	7
34	noam464	7
34	legal_tax_evader	7
34	Manaateee	7
34	CalebDHawk	7
40	pintsizedrogue	6
40	eviltunix	6
40	Touched_Bread	6
40	Maenara	6
40	luseis	6
40	TechnoNinja64	6
46	_Virify_	5
46	Mr_Byzantine	5
46	xxPipperDipperxx	5
46	AdmiralSmoke	5
50	eitanzaki	4
50	SaintJosie	4
50	NomadicRobin_	4
50	ProbsNotNova	4
50	00000000-0000-0000-0009-01f570995a20	4
55	PazinGaming	3
55	Sleek_Storm_721	3
55	T045RTY	3
55	Lez_	3
55	picardred	3
55	Tiberonus	3
55	Kubelz	3
55	Voxin2K	3
55	HyperCave	3
55	AlexxO_o	3
55	J4k__	3
55	Blu3beast	3
55	kyouma777	3
55	Segotep999	3
55	SammiWolfGirl	3
55	KingMatthew506	3
55	Ezekson	3
72	Groovy_MoonBird	2
72	CoffeeNoir	2
72	MoistMicrowave	2
72	MOSS000	2
72	ITDV	2
72	Euclidoris	2
72	ItsHydroMC	2
72	_Dean_123	2
72	Arceus1975	2
72	Rebytre	2
72	ApophisNova	2
72	F_Uhre	2
72	MousePlays	2
72	TheShyPig	2
72	CarryLine	2
72	zToasty69z	2
72	sufjanlover	2
72	The_slideV3	2
72	El_Jalapeno	2
72	Eraxa	2
72	starbits140	2
72	lcvezra	2
72	MyNamaSheff	2
72	Enderxz3	2
96	bur1su	1
96	SmashingPump	1
96	teslawolf38	1
96	TildaAndrea	1
96	TemoraScorpendra	1
96	Jindong	1
96	ImpavidArcher	1
96	SaucyDark	1
96	Meteora4	1
96	Incinere	1
96	imthatpikachu	1
96	Base_Tempest	1
96	YairZaki	1
96	joethahobo	1
96	H72l9w	1
96	oreee	1
96	FirsTimeGamingTV	1
96	Vizzoid	1
96	cheerytomato	1
96	bloodbiter	1
96	Jakobo1337	1
96	Guillemet	1
96	_Nuf	1
96	500am	1
96	Smashic	1
96	TerraVl	1
96	Commander_Ange	1
96	Pineapplesugr	1
96	ARandomHedge	1
96	XboxPanda	1
96	John6970	1
96	Winklepicker279	1
96	Bumpy419	1
96	seramalen	1
96	Onennon	1
96	Kynigito	1
96	jewbacaman	1
96	TheTrueClipse	1
96	Lord_Jord	1
96	LeonelSalamanca	1
96	EveryonesUncle	1
96	Russiancat1	1
96	fkGrim	1
96	lillips	1
96	Quaintster	1
96	fluddd	1
96	Racengan	1
96	silverpopcorn	1
96	Toriankel	1
96	Airem_Core	1
96	sp00ky_ghost977	1
96	stavgod	1
96	Kyrum2169	1
96	Slapface522	1
96	Kubeusz2010	1
96	TheBananaKat	1
96	OfficerAnvil	1
96	Legendosh	1
96	PlasticOtari	1
96	MandenR1	1
