rank	username	minecraft:picked_up/minecraft:cherry_stairs
1	Lez_	724
2	StarCookiees_	251
3	OreTheBear	94
4	bl1ss0	77
5	Kowcio_	51
6	Mattesco	45
7	skitzxo	35
8	k_ce	27
8	Werbe	27
10	Napoleonpancake	24
11	Moofyman	21
12	pretty_pink_reno	17
13	Archsam	15
13	oscminus	15
15	Reneedium	14
16	Apollo_993	11
16	Alteriity	11
18	Tersea_	8
19	emreknugrlu	7
20	TheSecondLord	6
20	noam464	6
20	Krowuss	6
23	Mr_Byzantine	5
24	pintsizedrogue	4
25	_Huge_Male_	3
25	Pumpkin_P_Patch	3
25	TheWickedBird	3
28	PazinGaming	2
28	fragrantmonke444	2
30	SteveCraftBlocks	1
30	Jackattack53	1
30	luseis	1
30	Myrulfan3	1
30	Steelynan	1
30	Jimb0nat0r	1
