rank	username	minecraft:picked_up/minecraft:experience_bottle
1	Hyp3rion_	15594
2	noam464	6149
3	TheSecondLord	1559
4	Shogunite	1536
5	Blaiku	1064
6	Smashic	707
7	EcksD	532
8	Frozil20	505
9	pintsizedrogue	495
10	eitanzaki	486
11	xolstoi	320
12	Jackattack53	306
13	SmashingPump	275
14	YungMaki	116
15	Mattesco	112
16	Inbefour	104
17	Chromary	99
18	diamondgolem35	97
19	Krowuss	96
19	FreakGenius	96
21	Blackberry1310	72
22	KGTV	64
22	Snowflowe	64
22	NomadicRobin_	64
22	PlasticOtari	64
26	ECstardust	60
27	Alteriity	47
27	AdmiralSmoke	47
29	luseis	46
30	Kowcio_	36
31	OffWithTheirHead	33
32	Eraxa	32
33	bloodbiter	26
33	hanaryheatwave	26
33	Akoot_	26
36	ConnorDanky_	25
37	Kkanot	21
38	Sleepy_Time_	20
38	lillips	20
40	Jimb0nat0r	19
41	JollyDroopy52	18
42	StarCookiees_	13
43	Papersock	12
43	beeperbeeper5	12
45	Apollo_993	10
45	TheBananaKat	10
47	thewindmillman	9
48	smogfrog	8
49	PhantomsGhost_	7
50	_Bguette_	5
50	_Karmaa	5
50	TechnoNinja64	5
53	Mahoose	4
53	Ecplosive	4
53	Onennon	4
56	EMC_	3
56	kekhon	3
56	Awyrlas	3
56	ARandomHedge	3
56	NATE_the_HALO	3
61	SaucyDark	2
61	Cryptacity	2
61	500am	2
61	mwrty	2
61	ApophisNova	2
61	Deodorante	2
61	Quaintster	2
61	sp00ky_ghost977	2
61	Soplight	2
61	MyNamaSheff	2
61	Legendosh	2
72	Bandito_Roamer	1
72	6king6colt6	1
72	KarlKaek	1
72	joethahobo	1
72	MattieHD	1
72	pr33tu	1
72	Megarboh	1
72	excelsionprime	1
72	intropass	1
72	xxPipperDipperxx	1
72	ALegendsTale	1
72	olek_kosa2009pvp	1
72	Hiimdeath	1
72	AlphaWolfPlaysMC	1
72	Tyrannosplart	1
72	_Meow_Mix	1
72	SpacesickPrism	1
72	Enderxz3	1
