rank	username	minecraft:picked_up/minecraft:activator_rail
1	Hyp3rion_	30805
2	noam464	3458
3	Alteriity	3124
4	eitanzaki	1168
5	El_Jalapeno	926
6	Jackattack53	502
7	pixelviolin	311
8	Di_infiri	307
9	Quincannon	257
10	Spacewardharpy7	253
11	Akoot_	250
12	pintsizedrogue	243
13	gcaisawesome	210
14	Werbe	200
15	kekhon	163
16	LuvLuvLove	145
17	Studio4x32	127
18	jnp_gaming	110
19	SteveCraftBlocks	109
20	mihimihimihi	107
21	vandmanden	99
22	oscminus	95
23	j5ylim	84
24	beeperbeeper5	74
25	thewindmillman	72
26	MightyWertu	71
27	NotMeanttoChange	67
28	4774	66
29	Shogunite	65
30	FiguraDei	64
31	The_slideV3	56
32	Historical_Sand	53
32	Yamdalorian	53
34	craaaash	51
35	Groundler	42
36	Ezekson	36
37	joethahobo	35
37	HellsSponge	35
39	hydrothebot	31
39	12Magner05	31
39	The_SlideV5	31
42	EMC_	29
43	Jovaphobic	27
43	FreakGenius	27
45	Nicserso	25
46	sp00ky_ghost977	23
46	non089	23
48	Mahoose	22
49	Enderxz3	20
50	andy_rex	19
50	EcksD	19
52	Mr_Byzantine	16
52	Kakolbus	16
54	wiqor	12
54	eviltunix	12
54	Rumpletaezer	12
54	Blaiku	12
54	Soplight	12
54	TheSandwhich_	12
60	corvidpartyfor6	11
60	PigDab	11
60	Maenara	11
60	DemTechAlpha	11
60	Airem_Core	11
60	MakeHistory157	11
66	MSK__	10
66	Snowflowe	10
66	Eraxa	10
66	FadedSpade82	10
66	ConnorDanky_	10
71	bloodbiter	9
71	IamCL4SSY	9
71	Xclax101	9
71	BumbleBeever	9
71	doublemaki	9
71	starbits140	9
77	PhantomsGhost_	8
77	TerraVl	8
77	TheDankPlatypus	8
77	SullivanNephew	8
77	Deodorante	8
77	Kowcio_	8
77	Jimb0nat0r	8
77	00000000-0000-0000-0009-01fa5d833510	8
85	Huwulling	7
85	Blackberry1310	7
85	_MeowMix	7
85	_Mythic____	7
85	TheKingK_	7
85	K_a__a_n	7
85	DairyNickel756	7
92	SygnalX	6
92	RoskobiOne	6
92	Merv__	6
92	ShedJr_	6
92	PegLegPete93	6
92	F_Uhre	6
92	Blu3beast	6
92	Toriankel	6
92	SkateboardR6	6
92	WyngGoy	6
92	PortlyPete69	6
92	bungalowbeet	6
92	fffMike	6
105	theonlymagikarp	5
105	Krowuss	5
105	Hiryu27	5
105	jewbacaman	5
105	SvenskaHugo	5
110	BPTY4618	4
110	_witch_craft_	4
110	Pandarus_	4
110	Doom_melon	4
110	Zythose	4
110	U_Mos_	4
110	ougstur	4
110	Kim_Jong_eel	4
110	Luminad3	4
110	TJawesome09	4
110	Lord_Jord	4
110	TheSeismicDuck	4
110	sufjanlover	4
110	MinuteMira	4
110	LexMakesHistory	4
110	balin55	4
110	Tyrannosplart	4
110	claivin	4
110	censorsheep	4
110	_i_ERROR_i_	4
110	robonya_	4
110	CattSoup	4
110	TheWickedBird	4
133	_Virify_	3
133	Apollo_993	3
133	dudcreeper	3
133	ImpavidArcher	3
133	Literally_Rat	3
133	CliffEmAll	3
133	Sleepy_Evelyn	3
133	TheSecondLord	3
133	ConcretePirate	3
133	thescout7	3
133	platinumzero	3
133	bl1ss0	3
133	Galactic_Badger	3
133	The11thDoctor	3
133	DJzombiehunter	3
133	Darkgon	3
133	shrimp_flips	3
133	ThatMan_Dave	3
133	Juh1s	3
133	Spenduh	3
133	mawileite	3
133	MisfitsMike	3
133	EngagedGrub41	3
133	FormulaNewt3627	3
133	Iamthejo	3
133	UrbanPlanningEx	3
133	TechnoNinja64	3
133	diggydog67	3
133	00000000-0000-0000-0009-01faf4342590	3
162	Lorcout	2
162	Bandito_Roamer	2
162	soundad	2
162	NotMyLucKMC	2
162	Slinkyy7071	2
162	maliraspberry	2
162	lorywithay	2
162	Julmish	2
162	_Nat666	2
162	Smashic	2
162	lpinfinity	2
162	Inchef	2
162	TableTim	2
162	victorLIE	2
162	ClemenPine	2
162	DrGrant	2
162	Fuad_R	2
162	MAns_44	2
162	Barlycorn	2
162	SUN_DREAM	2
162	stavgod	2
162	taengoos	2
162	RadarHz	2
162	HelloIamSora	2
186	CLG_Kata	1
186	fanofbands101	1
186	ECstardust	1
186	Creativebuilder2	1
186	Hyugo	1
186	ZaneABrain	1
186	Lez_	1
186	Chickenchaser2	1
186	Secret_Canary	1
186	fade_emerge78823	1
186	SharpDev	1
186	M_Patata	1
186	Ecplosive	1
186	MyNameIsJobo	1
186	chank_	1
186	hanaryheatwave	1
186	King_Pancake1	1
186	LordZacler	1
186	RobotMinion101	1
186	AlexxO_o	1
186	LilLizardWizard	1
186	AuroraSkies	1
186	Inbefour	1
186	Lord_Zacler	1
186	AspenLightVT	1
186	JESS_THE_RERE	1
186	Manaateee	1
186	Hisiste	1
186	Pumpkin_P_Patch	1
186	TheBananaKat	1
186	tompup	1
186	FishisTTV	1
186	00000000-0000-0000-0009-01faecbeb522	1
