rank	username	minecraft:picked_up/minecraft:tuff_bricks
1	Enderxz3	15179
2	Secret_Canary	3213
3	thewindmillman	2948
4	Buuck_	2711
5	pixelviolin	1261
6	CLG_Kata	868
7	Spaghettatron	345
8	k_ce	344
9	oscminus	264
10	Yamdalorian	242
11	Mr_Byzantine	129
12	MyMawgDonaldsGon	102
13	LeCavalier636	97
14	00000000-0000-0000-0009-01fe065167f0	80
15	Merv__	57
15	MAns_44	57
17	beeperbeeper5	46
18	MattieHD	43
19	GGabrielSauce	42
19	net_flex	42
21	_Mythic____	39
21	Eczbek	39
23	Soplight	37
24	TheKingK_	29
25	Umprella	24
26	lpinfinity	22
27	Werbe	19
28	Pumpkin_P_Patch	10
29	cutelilreno	7
29	KamFurnace	7
31	Lorcout	1
31	nev_s	1
31	Steelynan	1
