rank	username	minecraft:picked_up/minecraft:mud_brick_stairs
1	MineMaster0012	277
2	Kowcio_	82
3	jessewegottacook	60
4	pixelviolin	52
5	Merv__	43
6	Mr_Byzantine	38
7	Dakar_	24
8	Soplight	23
9	Steelynan	16
10	j5ylim	14
11	_Huge_Male_	12
11	luseis	12
13	Hyp3rion_	11
13	Mattesco	11
13	SpacesickPrism	11
16	rarrq	10
16	Enderxz3	10
18	pintsizedrogue	9
18	PazinGaming	9
20	Mahoose	8
20	Roenfire	8
22	Manaateee	7
23	Lez_	6
23	Werbe	6
23	PlasticOtari	6
23	MadmanRaven	6
27	Archsam	3
27	oscminus	3
27	Iamthejo	3
30	Secret_Canary	2
30	Smashic	2
32	EMC_	1
32	_Mythic____	1
