rank	username	minecraft:picked_up/minecraft:spore_blossom
1	thewindmillman	62
1	Enderslayerxz3	62
3	Hyp3rion_	30
4	PlasticOtari	21
5	Smoke____	20
6	500am	18
7	TheSecondLord	13
7	12Magner05	13
7	pixelviolin	13
7	Legendosh	13
11	SammiWolfGirl	11
12	_Razar	9
13	EMC_	6
13	beeperbeeper5	6
13	Rebytre	6
16	Yahir091	3
16	_Dri_	3
18	Mahoose	2
18	MinttyFressh	2
18	Marbz_	2
18	Dan_Scha	2
18	TheALV	2
23	pintsizedrogue	1
23	RoskobiOne	1
23	ShedJr_	1
23	dimitri0s	1
23	Jackattack53	1
23	Arceus1975	1
23	RustyBr0	1
23	PigDab	1
23	lizardfightclub	1
23	Deathkob	1
23	Soplight	1
23	MilleGrug	1
