rank	username	minecraft:picked_up/minecraft:polished_blackstone_button
1	gcaisawesome	10459
2	Hyp3rion_	5643
3	joethahobo	2265
4	thewindmillman	2250
5	mihimihimihi	1927
6	Jackattack53	573
7	noam464	347
8	pintsizedrogue	207
9	Huwulling	204
10	Mahoose	167
11	AdmiralSmoke	154
12	Crowman1	116
13	Jimb0nat0r	100
14	beeperbeeper5	88
15	500am	84
16	Lord_Jord	70
17	PigDab	65
18	Mr_Byzantine	62
18	luseis	62
20	CattSoup	60
21	TheSecondLord	51
22	Lutres_	40
22	pixelviolin	40
24	ShedJr_	39
25	FreakGenius	36
26	SteveCraftBlocks	34
27	Hermanni__	31
28	lordpipe	28
29	rarrq	26
29	PlasticOtari	26
31	PazinGaming	24
31	Lez_	24
33	HellsSponge	20
34	Eczbek	18
35	Manaateee	15
36	ImpavidArcher	14
36	The_Cruncy	14
38	RoskobiOne	13
39	Fuad_R	12
40	YungMaki	11
41	Zythose	10
41	HolyVenom	10
41	wwwwinnebagoooo	10
44	eitanzaki	9
44	Mattesco	9
46	AlexxO_o	7
46	_Mythic____	7
48	lorpus	6
48	Kakolbus	6
48	Arceus1975	6
48	EveryonesUncle	6
52	Marbz_	5
52	Quotary	5
52	Legendosh	5
55	corpsecity	4
55	MAns_44	4
55	Blaiku	4
58	CLG_Kata	3
58	_Huge_Male_	3
58	SmashingPump	3
58	DinoDoctor_	3
58	RebelAndroid	3
58	Alteriity	3
58	Fullut	3
58	himak1	3
58	Di_infiri	3
58	Krowuss	3
58	Rebytre	3
58	YahooScreen9000	3
58	KliBeast21	3
58	GooseWithin	3
58	Deathkob	3
58	Kowcio_	3
74	ExtraDumb	2
74	Archsam	2
74	Myszoaz	2
74	jessewegottacook	2
74	IgnoredBee	2
74	SnowyAvi	2
74	Smashic	2
74	Solar_Power	2
74	HyperCave	2
74	TruestTurnip	2
74	StinkyDiplomat	2
74	Spacewardharpy7	2
74	KujikawaRisechi	2
74	Soplight	2
74	Spenduh	2
74	EcksD	2
90	Apollo_993	1
90	BPTY4618	1
90	Merv__	1
90	Gundam_Steven	1
90	ITDV	1
90	kekhon	1
90	Secret_Canary	1
90	mwrty	1
90	thatbeanyboi	1
90	Antek_Kicek	1
90	Jonafrog99	1
90	Snowflowe	1
90	FishyBoy3811	1
90	Akoot_	1
90	StarCookiees_	1
90	Daedalus342	1
90	UCP_TheKingK	1
90	__tomato	1
90	xzvu	1
90	ConnorDanky_	1
90	Enderxz3	1
90	FishisTTV	1
