rank	username	minecraft:picked_up/minecraft:fermented_spider_eye
1	noam464	1857
2	PigDab	491
3	kekhon	275
4	eitanzaki	159
5	HellsSponge	56
6	Freak_Genius	47
7	Smoke____	45
8	MilleGrug	34
9	beeperbeeper5	30
10	FishisTTV	28
11	Nicserso	26
12	set67	22
13	Inchef	19
13	pixelviolin	19
15	mwrty	16
15	_naturell	16
15	Blaiku	16
15	jnp_gaming	16
19	Inbefour	14
20	thewindmillman	13
21	Spacewardharpy7	12
22	Snowflowe	9
23	joethahobo	8
23	xo_Marren_xo	8
25	fred870d	6
26	loveseeker	5
26	Di_infiri	5
28	Jackattack53	4
29	_Boipl_	3
29	Werbe	3
29	AssEatrAndLicker	3
32	xxPipperDipperxx	2
32	The_slideV3	2
32	TechnoNinja64	2
35	PhantomsGhost_	1
35	Mahoose	1
35	Ao_Ken	1
35	Euclidoris	1
35	Prodiginus	1
35	TheSecondLord	1
35	M_Patata	1
35	Windo_licker	1
35	Rumpletaezer	1
35	Arceus1975	1
35	Hoid_the_Roamer	1
35	Hiryu27	1
35	victorLIE	1
35	AlphaWolfPlaysMC	1
35	EfficientC52	1
35	fluddd	1
35	monky_irl	1
35	MasterNueve	1
35	Juh1s	1
35	LeeMcGee30	1
35	Ezekson	1
