rank	username	minecraft:picked_up/minecraft:observer
1	noam464	44933
2	thewindmillman	11391
3	eitanzaki	7450
4	Di_infiri	5521
5	thescout7	4777
6	Hyp3rion_	1814
7	Spacewardharpy7	1614
8	Smoke____	1581
9	EcksD	1512
10	HellsSponge	1501
11	Mahoose	1369
12	Jackattack53	1361
13	Eczbek	1149
14	PigDab	915
15	Awyrlas	864
15	Werbe	864
17	EMC_	834
18	Freak_Genius	663
19	MangoTheFish	571
20	Blaiku	558
21	WyngGoy	535
22	m_be9	529
23	beeperbeeper5	511
24	fffMike	473
25	Sky_light_KING	412
26	Historical_Sand	384
27	FreddyFart	374
28	El_Jalapeno	359
29	joethahobo	336
29	TechnoNinja64	336
31	Nicserso	326
32	MightyWertu	322
33	KG1999	319
34	Hiryu27	307
35	Sral7	301
36	Racengan	286
37	Blu3beast	278
38	Akoot_	268
39	ProfessorBee	259
40	Frozil12	258
41	Warlord324	248
42	pintsizedrogue	246
42	Xalithia	246
44	Lord_Jord	245
45	Snowflowe	234
46	Enderslayerxz3	211
47	ApophisNova	208
47	MyNamaSheff	208
49	kekhon	204
50	jnp_gaming	200
51	PlasticOtari	199
52	EveryonesUncle	196
53	YungMaki	189
54	MilleGrug	181
55	set67	178
56	eiC_	173
57	Zoeyfortnite	167
58	eviltunix	152
59	Inbefour	151
60	Rebytre	142
60	Soplight	142
62	UrbanPlanner1978	140
63	SkateboardR6	133
64	T045RTY	126
64	Legendosh	126
66	Inchef	125
67	ImpavidArcher	118
67	Masssonnn	118
67	pixelviolin	118
70	Kakolbus	117
71	PhantomsGhost_	113
71	gcaisawesome	113
73	Ezekson	110
74	Powowowow	105
75	oxfordschool	104
76	obzii	102
77	kinas45y5	101
78	xxPipperDipperxx	98
79	TheShyPig	95
80	vandmanden	92
81	Hoid_the_Roamer	91
82	geekbird	90
83	_Nuf	89
84	The_slideV3	88
85	Arceus1975	87
86	Nesquiczek	85
87	mwrty	81
88	PortlyPete69	80
89	12Magner05	79
90	FishyBoy3811	78
90	sp00ky_ghost977	78
92	NoChumpChange	75
93	Fullut	73
94	Dedalus36	71
94	SteveCraftBlocks	71
94	Fuad_R	71
97	Winston_Ingram	70
98	domagawha	67
98	Soul_Atreus	67
98	Freedrik	67
101	Deathkob	66
101	FishisTTV	66
103	ShedJr_	65
103	Shogunite	65
105	_Virify_	64
105	Groundler	64
105	Steelynan	64
108	_Bguette_	63
109	Ssor69	62
109	mariominejedi	62
109	TheSeismicDuck	62
112	awesomeoneme	61
112	Sheldor097	61
114	RebelAndroid	60
114	Hermanni__	60
114	Quotary	60
117	Kijiki	59
