rank	username	minecraft:picked_up/minecraft:magenta_stained_glass
1	beeperbeeper5	1161
2	eiC_	619
3	Swexti	579
4	jnp_gaming	401
5	Winklepicker279	380
6	Smoke____	302
7	Frozil20	242
8	lordpipe	240
9	mafiKiwi	234
10	6king6colt6	233
11	ImpavidArcher	217
12	Mahoose	197
13	EcksD	195
14	Bandito_Roamer	193
15	ROY4LE	181
16	TheSecondLord	174
17	Freak_Genius	146
18	YungMaki	134
19	Blu3beast	121
20	Sral7	116
21	TechnoNinja64	113
22	Mewar	100
23	Ecplosive	98
24	PigDab	84
25	eitanzaki	80
26	masskedman	78
26	TheEnderman548	78
28	PhantomsGhost_	74
29	Inbefour	71
30	mihimihimihi	57
31	egglapras	56
32	Ezekson	49
33	Comma__	47
34	_naturell	43
35	madderfall	40
36	Marbz_	37
36	OG_Songsee	37
38	Werbe	34
39	MinttyFressh	33
40	Fullut	32
41	awesomeoneme	31
41	fred870d	31
43	Blaiku	30
44	Groundler	29
45	Di_infiri	27
46	lillips	26
47	mwrty	23
48	gcaisawesome	22
49	seramalen	21
49	NameGenerat0r	21
51	BodaciousCake	18
51	XboxPanda	18
51	Hermanni__	18
54	DC_XII	17
55	CoffeeNoir	16
55	500am	16
55	Covalents	16
55	El_Jalapeno	16
55	Racengan	16
55	iSammael	16
61	Ailmast	15
61	RodSerlingCringe	15
63	set67	14
63	Hisiste	14
63	Physics_Breaker	14
63	UrbanPlanner1978	14
67	Awyrlas	13
68	thescout7	12
68	noam464	12
68	Kowcio_	12
71	HellsSponge	11
72	NotMeowMix	10
72	stahouo	10
74	Historical_Sand	9
74	claivin	9
76	AuroraValkyrie	8
76	Onennon	8
76	Maenara	8
76	Fizznut909	8
80	kekhon	7
80	pappaberg	7
80	PlasticOtari	7
83	Lepthymo	6
83	ssleepless	6
83	tuckerdoodle	6
83	ShedJr_	6
83	SellyZ	6
83	thewindmillman	6
83	Ender_Souls	6
83	Jiminie	6
83	MakeHistory157	6
83	Steelynan	6
83	AltnumberF4	6
94	Scathra	5
94	Bumpy419	5
94	Spacewardharpy7	5
94	Dogcorn69420	5
94	trexgb	5
99	Myszoaz	4
99	r123moore	4
99	Zaridey	4
99	Jackattack53	4
99	Hyp3rion_	4
99	AlexxO_o	4
99	lizardfightclub	4
99	Sky_light_KING	4
99	Nagasaki_Riku	4
99	underscore_2	4
99	_TCARREIRA_	4
110	Wooptey	3
110	Inchef	3
110	TheShyPig	3
110	fw3xywashere	3
110	PortlyPete69	3
110	kinas45y5	3
116	EMC_	2
116	IronArshXS	2
116	SaucyDark	2
116	Incinere	2
116	bloodbiter	2
116	MattieHD	2
116	shyshyannne	2
116	Kakolbus	2
116	Donutt	2
116	Akoot_	2
116	Quincannon	2
116	SingedBread	2
116	Segotep999	2
116	Spenduh	2
116	Quotary	2
116	Enderslayerxz3	2
132	pintsizedrogue	1
132	Houstonion	1
132	ExtraDumb	1
132	SpaceGrenadier	1
132	Blackberry1310	1
132	gabriels543	1
132	Rumpletaezer	1
132	Zythose	1
132	MangoTheFish	1
132	binman420	1
132	Gab4101	1
132	DTwenty	1
132	MAns_44	1
132	MightyWertu	1
132	Aezekial	1
132	Dusk_95	1
132	Razzgriz	1
132	stavgod	1
132	SvenskaHugo	1
132	Sheldor097	1
132	MilleGrug	1
132	striker90333	1
132	Eczbek	1
132	laron58	1
132	its_lupus	1
132	FishisTTV	1
