rank	username	minecraft:picked_up/minecraft:dead_tube_coral
1	Di_infiri	52
2	noam464	8
3	AdmiralSmoke	3
4	Mahoose	2
4	eclipseboi	2
6	ECstardust	1
6	titanlax	1
6	HellsSponge	1
